Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Центральная № 16																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК  1765	УИК  1766	УИК №5294					
1	"Число избирателей, внесенных в списки"	105843	1361	1912	2442	2208	2410	1944	1986	2254	1925	1942	1900	1270	2084	1902	1993	1839	2254	1983	2121	1894	1489	1984	1919	1959	1706	1785	1972	1573	3014	2216	2019	2546	1901	2376	2251	2363	2217	2403	1968	2588	2443	1892	2591	2310	2665	1741	2027	2579	2043	2771	315	18	575					
2	"Число бюллетеней, полученных участковыми комиссиями"	135537	1200	1700	2400	2000	2400	1900	1900	2200	1900	1900	1900	1200	2000	1900	1900	1799	2200	2000	2000	1800	1500	2000	1900	2000	1700	1800	1900	1500	3000	2199	2000	2500	1800	2300	2200	2300	2200	2400	1900	2600	2400	1800	2600	2200	2500	1700	2000	2500	2000	2800	314	25	32800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41349	632	885	1009	871	887	774	912	919	757	643	654	484	741	756	839	744	862	727	881	735	643	802	682	826	678	728	716	547	1260	899	786	876	659	787	795	929	854	833	857	978	1026	642	1036	862	1097	598	645	918	787	1006	292	18	575					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1010	25	12	21	35	37	13	15	28	18	23	7	14	29	18	18	17	16	21	20	27	19	10	19	17	15	31	16	13	22	24	21	31	17	15	11	28	20	37	20	24	19	17	20	13	39	15	16	24	16	7	0	0	0					
6	Число погашенных бюллетеней	93177	543	803	1370	1094	1476	1113	973	1253	1125	1234	1239	702	1230	1126	1043	1038	1321	1252	1099	1038	838	1188	1199	1157	1007	1041	1168	940	1718	1276	1193	1593	1124	1498	1394	1343	1326	1530	1023	1598	1355	1141	1544	1325	1364	1087	1339	1558	1197	1787	22	7	32225					
7	Число бюллетеней в переносных ящиках для голосования	1010	25	12	21	35	37	13	15	28	18	23	7	14	29	18	18	17	16	21	20	27	19	10	19	17	15	31	16	13	22	24	21	31	17	15	11	28	20	37	20	24	19	17	20	13	39	15	16	24	16	7	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	41293	631	881	1008	869	884	770	912	917	757	643	654	484	740	756	837	744	861	727	881	731	643	802	682	826	678	728	715	546	1253	899	786	876	657	784	795	929	850	833	857	976	1024	641	1036	862	1093	598	643	918	785	1006	292	18	575					
9	Число недействительных бюллетеней	201	1	8	3	2	7	4	4	2	4	2	0	2	2	6	3	7	3	2	11	3	0	4	4	1	3	3	3	4	8	2	7	4	1	6	2	10	2	5	4	10	8	4	5	2	3	4	3	3	2	6	1	0	1					
10	Число действительных бюллетеней	42102	655	885	1026	902	914	779	923	943	771	664	661	496	767	768	852	754	874	746	890	755	662	808	697	842	690	756	728	555	1267	921	800	903	673	793	804	947	868	865	873	990	1035	654	1051	873	1129	609	656	939	799	1007	291	18	574					
