Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Глазовская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422					
1	"Число избирателей, внесенных в списки"	14683	744	726	981	1520	518	346	337	673	559	845	753	311	414	431	847	276	405	492	1269	331	897	1008					
2	"Число бюллетеней, полученных участковыми комиссиями"	13509	675	645	905	1400	460	318	302	630	535	766	710	285	395	405	740	240	398	450	1180	305	845	920					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9678	440	382	537	1087	410	198	227	425	353	534	491	232	386	360	626	189	328	382	694	198	582	617					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	998	37	34	171	121	15	9	36	94	37	64	26	39	0	6	43	32	25	24	34	37	90	24					
6	Число погашенных бюллетеней	2833	198	229	197	192	35	111	39	111	145	168	193	14	9	39	71	19	45	44	452	70	173	279					
7	Число бюллетеней в переносных ящиках для голосования	998	37	34	171	121	15	9	36	94	37	64	26	39	0	6	43	32	25	24	34	37	90	24					
8	Число бюллетеней в стационарных ящиках для голосования	9678	440	382	537	1087	410	198	227	425	353	534	491	232	386	360	626	189	328	382	694	198	582	617					
9	Число недействительных бюллетеней	254	10	7	24	24	0	3	8	4	15	19	10	10	4	19	7	9	8	5	18	13	11	26					
10	Число действительных бюллетеней	10422	467	409	684	1184	425	204	255	515	375	579	507	261	382	347	662	212	345	401	710	222	661	615					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	230	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	93	10	3	8	11	1	7	0	0	7	4	5	4	0	7	2	0	3	2	5	1	9	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	142	3	3	0	12	3	1	3	5	3	6	4	1	4	6	3	7	1	4	6	13	8	46					
14	Число погашенных открепительных удостоверений	137	0	7	2	9	9	3	10	10	3	6	5	6	10	3	8	10	7	8	5	9	1	6					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	214	13	1	17	31	2	6	4	11	5	7	6	6	10	14	22	6	7	6	9	10	12	9					
		2.00%	2.72%	0.24%	2.40%	2.56%	0.47%	2.89%	1.52%	2.11%	1.28%	1.17%	1.16%	2.21%	2.59%	3.82%	3.28%	2.71%	1.98%	1.47%	1.23%	4.25%	1.78%	1.40%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	117	19	16	0	16	1	0	1	5	4	2	8	0	5	3	5	1	3	1	9	2	7	9					
