Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Биробиджанская городская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40					
1	"Число избирателей, внесенных в списки"	54026	2515	2489	2293	1646	2341	2319	2059	2338	1560	2202	1578	1382	1336	341	403	1395	1720	888	330	1230	642	1045	1540	585	579	1733	639	1264	477	2249	2180	1318	292	1121	27	1313	1625	1249	1414	369					
2	"Число бюллетеней, полученных участковыми комиссиями"	48320	2100	2150	1950	1450	2150	2100	1800	2000	1450	2000	1400	1200	1250	300	350	1200	1450	850	300	1000	550	1000	1400	500	500	1550	550	1150	400	2050	2050	1100	550	1050	60	1150	1450	1200	1250	360					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28650	1191	1206	1163	885	1409	1296	1149	1291	909	1121	872	745	687	142	126	689	1052	482	164	702	206	537	924	219	262	924	273	640	176	1325	1233	660	274	494	24	659	873	614	830	222					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1337	28	69	37	39	28	43	24	29	20	41	34	34	40	9	17	18	31	19	95	68	16	30	30	14	10	19	62	27	39	47	41	27	18	26	0	17	12	9	161	9					
6	Число погашенных бюллетеней	18233	881	875	750	526	713	761	627	680	521	838	494	421	523	149	207	393	367	349	41	230	328	433	446	267	228	607	215	483	185	678	776	413	258	530	36	474	565	577	259	129					
7	Число бюллетеней в переносных ящиках для голосования	1337	28	69	37	39	28	43	24	29	20	41	34	34	40	9	17	18	31	19	95	68	16	30	30	14	10	19	62	27	39	47	41	27	18	26	0	17	12	9	161	9					
8	Число бюллетеней в стационарных ящиках для голосования	28647	1189	1206	1163	885	1409	1296	1149	1291	909	1121	872	745	687	142	126	689	1052	482	164	702	205	537	924	219	262	924	273	640	176	1325	1233	660	274	494	24	659	873	614	830	222					
9	Число недействительных бюллетеней	350	10	11	17	9	20	8	22	11	17	21	6	13	8	5	0	6	7	3	4	9	3	3	14	1	4	9	7	8	9	14	10	6	7	7	0	8	12	5	13	3					
10	Число действительных бюллетеней	29634	1207	1264	1183	915	1417	1331	1151	1309	912	1141	900	766	719	146	143	701	1076	498	255	761	218	564	940	232	268	934	328	659	206	1358	1264	681	285	513	24	668	873	618	978	228					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	765	45	20	20	20	30	20	20	30	25	25	20	15	15	10	15	15	40	10	0	60	10	20	35	10	10	20	10	10	10	40	25	15	10	10	0	10	15	20	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	464	29	20	11	11	16	18	16	19	14	22	11	11	12	2	1	11	26	3	0	51	1	10	20	1	3	11	2	7	0	30	18	13	4	7	0	3	11	13	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	228	6	8	3	4	8	12	8	8	8	9	5	6	3	3	1	1	14	11	14	4	1	1	3	3	4	15	1	6	2	7	4	3	0	4	24	4	2	6	1	1					
14	Число погашенных открепительных удостоверений	301	16	0	9	9	14	2	4	11	11	3	9	4	3	8	14	4	14	7	0	9	9	10	15	9	7	9	8	3	10	10	7	2	6	3	0	7	4	7	14	10					
15	Число открепительных удостоверений выданных ТИК	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	287	13	8	11	10	12	12	20	13	7	9	9	4	5	0	0	0	5	2	7	14	3	4	5	2	3	6	1	3	2	15	9	3	1	6	0	17	15	8	20	3					
		0.95%	1.06%	0.62%	0.91%	1.08%	0.83%	0.89%	1.70%	0.98%	0.75%	0.77%	0.99%	0.51%	0.68%	0.0%	0.0%	0.0%	0.46%	0.39%	2.70%	1.81%	1.35%	0.70%	0.52%	0.85%	1.10%	0.63%	0.29%	0.44%	0.93%	1.09%	0.70%	0.43%	0.34%	1.15%	0.0%	2.51%	1.69%	1.28%	2.01%	1.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1217	45	62	41	35	62	64	32	48	44	48	46	33	29	0	3	33	71	31	12	20	7	29	45	13	11	61	10	27	5	55	58	18	4	14	2	10	20	26	40	3					
		4.05%	3.69%	4.86%	3.41%	3.78%	4.31%	4.77%	2.72%	3.63%	4.73%	4.13%	5.07%	4.23%	3.98%	0.0%	2.09%	4.66%	6.55%	6.18%	4.63%	2.59%	3.16%	5.11%	4.71%	5.57%	4.04%	6.46%	2.98%	4.04%	2.32%	4.00%	4.55%	2.62%	1.36%	2.69%	8.33%	1.47%	2.25%	4.17%	4.03%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	576	19	23	20	15	22	34	15	30	16	22	15	16	8	2	2	17	20	18	9	7	6	16	17	1	6	18	6	10	3	27	26	13	5	12	1	14	18	16	21	10					
		1.92%	1.56%	1.80%	1.66%	1.62%	1.53%	2.53%	1.27%	2.27%	1.72%	1.89%	1.65%	2.05%	1.10%	1.32%	1.39%	2.40%	1.84%	3.59%	3.47%	0.90%	2.71%	2.82%	1.78%	0.42%	2.20%	1.90%	1.79%	1.49%	1.39%	1.96%	2.04%	1.89%	1.71%	2.30%	4.16%	2.07%	2.03%	2.56%	2.11%	4.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1880	88	68	71	52	102	80	91	81	49	88	81	57	29	4	1	53	93	47	10	21	13	42	59	9	17	76	35	59	8	100	97	43	12	19	0	26	31	25	38	5					
		6.27%	7.23%	5.33%	5.91%	5.62%	7.09%	5.97%	7.75%	6.13%	5.27%	7.57%	8.94%	7.31%	3.98%	2.64%	0.69%	7.49%	8.58%	9.38%	3.86%	2.72%	5.88%	7.40%	6.18%	3.86%	6.24%	8.05%	10.44%	8.84%	3.72%	7.28%	7.61%	6.25%	4.10%	3.65%	0.0%	3.84%	3.50%	4.01%	3.83%	2.16%					
22	"5. ""За Русь Святую"""	109	4	4	0	5	6	3	2	3	6	8	3	5	5	1	0	0	2	1	2	1	0	2	1	2	1	4	2	4	0	8	4	0	2	2	0	7	1	3	4	1					
		0.36%	0.32%	0.31%	0.0%	0.54%	0.41%	0.22%	0.17%	0.22%	0.64%	0.68%	0.33%	0.64%	0.68%	0.66%	0.0%	0.0%	0.18%	0.19%	0.77%	0.12%	0.0%	0.35%	0.10%	0.85%	0.36%	0.42%	0.59%	0.59%	0.0%	0.58%	0.31%	0.0%	0.68%	0.38%	0.0%	1.03%	0.11%	0.48%	0.40%	0.43%					
