Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Кингисеппская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	63603	1702	1569	1668	1667	1273	460	1752	1751	2088	1722	1820	1751	1624	2091	1762	1745	1863	1938	1783	1827	1986	2323	1150	750	1234	1035	1261	267	148	919	1976	1364	430	1229	1394	901	1934	319	275	301	2254	2310	2291	1696									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62200	1670	1560	1650	1670	1250	440	1740	1700	2070	1700	1810	1750	1620	1860	1750	1750	1850	1860	1790	1810	1980	2290	1140	740	1050	1000	1260	250	140	890	2000	1280	410	1180	1350	890	1920	320	270	300	2140	2200	2240	1660									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27470	637	736	656	679	459	178	776	752	935	684	840	737	747	848	805	825	797	783	799	815	934	1078	477	354	537	529	512	80	70	403	820	615	207	553	416	376	899	127	125	116	1003	1027	1011	713									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1701	80	22	15	24	16	8	34	14	20	24	15	23	39	208	21	19	18	27	13	11	10	11	3	7	68	35	53	22	10	40	78	33	40	43	218	82	67	20	40	67	46	21	25	11									
6	Число погашенных избирательных бюллетеней	33029	953	802	979	967	775	254	930	934	1115	992	955	990	834	804	924	906	1035	1050	978	984	1036	1201	660	379	445	436	695	148	60	447	1102	632	163	584	716	432	954	173	105	117	1091	1152	1204	936									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1701	80	22	15	24	16	8	34	14	20	24	15	23	39	208	21	19	18	27	13	11	10	11	3	7	68	35	53	22	10	40	78	33	40	43	218	82	67	20	40	67	46	21	25	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27458	637	736	655	679	459	178	776	751	932	684	839	737	747	848	805	825	797	783	799	815	934	1078	477	354	537	529	512	80	70	403	820	613	207	552	415	376	897	127	125	116	1003	1027	1011	713									
9	Число недействительных избирательных бюллетеней	906	25	45	22	22	12	6	24	22	27	20	24	30	21	35	20	23	25	22	17	27	20	33	22	9	15	22	25	3	3	25	13	19	11	13	43	19	25	4	4	0	21	47	25	16									
10	Число действительных избирательных бюллетеней	28253	692	713	648	681	463	180	786	743	925	688	830	730	765	1021	806	821	790	788	795	799	924	1056	458	352	590	542	540	99	77	418	885	627	236	582	590	439	939	143	161	183	1028	1001	1011	708									
