Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																					
Дата голосования: 04.12.2011																																																																																																																					
																																																																																																																					
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																					
																																																																																																																					
Сводная таблица результатов выборов																																																																																																																					
																																																																																																																					
		Сумма	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №205	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №224	УИК №226	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №259	УИК №260	УИК №261	УИК №264	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №287	УИК №288	УИК №290	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №327					
1	"Число избирателей, внесенных в список избирателей"	4632	26	29	84	37	19	25	26	27	79	85	42	49	45	29	29	30	30	29	26	25	29	131	71	104	22	21	62	30	28	26	29	45	18	62	29	27	80	95	98	75	86	89	88	97	99	29	29	20	20	29	39	17	15	20	17	115	83	53	82	17	28	30	22	20	21	21	14	14	16	28	27	20	14	55	59	57	21	19	70	69	60	14	14	14	10	14	13	23	29	28	84	75	89	90	74	41	31	21	13	16	16	20	20	127	29	29	47	27	18	24					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4814	28	31	86	37	21	27	28	29	81	87	44	51	47	31	31	32	32	31	28	27	31	133	73	106	24	23	64	32	30	26	31	47	20	64	31	29	82	97	100	77	88	91	90	99	101	31	29	22	22	31	41	19	17	22	19	117	85	55	84	19	30	32	24	22	23	23	16	16	18	30	29	22	16	57	61	59	23	22	72	70	62	16	16	16	12	16	15	25	31	30	86	77	91	92	76	43	33	23	15	18	18	22	20	129	31	31	49	27	18	0					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4554	26	29	75	37	19	24	26	27	79	85	42	48	45	29	29	30	30	27	26	25	29	131	71	104	22	21	62	27	28	26	29	45	16	62	29	27	80	95	98	75	86	89	88	97	99	29	29	20	20	29	39	17	15	20	16	115	78	49	82	17	28	30	22	20	21	21	14	14	16	28	27	19	14	54	59	57	21	19	70	69	60	14	14	14	10	14	13	23	29	28	84	75	89	90	74	40	31	21	13	16	16	20	20	106	29	29	47	27	16	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	260	2	2	11	0	2	3	2	2	2	2	2	3	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	5	2	0	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	3	2	7	6	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	23	2	2	2	0	2	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4553	26	29	75	37	19	24	26	27	79	85	42	48	45	29	29	30	30	27	26	25	29	131	71	104	22	21	61	27	28	26	29	45	16	62	29	27	80	95	98	75	86	89	88	97	99	29	29	20	20	29	39	17	15	20	16	115	78	49	82	17	28	30	22	20	21	21	14	14	16	28	27	19	14	54	59	57	21	19	70	69	60	14	14	14	10	14	13	23	29	28	84	75	89	90	74	40	31	21	13	16	16	20	20	106	29	29	47	27	16	0					
9	Число недействительных избирательных бюллетеней	66	0	0	0	0	1	0	0	0	6	5	3	0	6	3	0	2	4	0	0	0	0	0	0	0	0	0	2	1	1	7	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
10	Число действительных избирательных бюллетеней	4487	26	29	75	37	18	24	26	27	73	80	39	48	39	26	29	28	26	27	26	25	29	131	71	104	22	21	59	26	27	19	27	45	13	62	29	27	80	95	98	75	86	89	88	97	99	29	29	20	19	29	39	17	10	20	16	115	78	49	82	17	28	30	22	20	21	21	14	14	16	28	27	15	13	54	58	57	21	19	70	69	60	13	14	14	10	14	9	23	29	28	84	75	88	90	74	40	31	21	13	16	16	20	20	106	29	29	45	27	16	0					
