Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																						
Дата голосования: 02.12.2007																																																																																																																																						
																																																																																																																																						
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																						
																																																																																																																																						
Сводная таблица результатов выборов																																																																																																																																						
																																																																																																																																						
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №238	УИК №239	УИК №240	УИК №241	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №317	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №336	УИК №337	УИК №338	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
1	"Число избирателей, внесенных в списки избирателей"	4907	24	17	30	83	20	19	84	44	26	25	13	31	28	21	71	27	28	29	86	51	17	17	25	15	27	80	79	86	87	62	89	20	28	85	73	86	77	106	38	31	26	26	22	21	22	22	20	14	14	16	10	10	52	29	29	26	83	86	30	41	14	40	29	30	84	0	28	26	32	22	32	30	27	36	24	7	54	18	80	31	57	21	20	27	27	10	15	59	64	27	30	60	63	58	25	23	139	84	48	66	23	46	25	84	18	26	21	14	16	27	30	17	27	28	47	44	37	30	28	54	25	30	28	28	22	84	12					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5109	24	19	32	83	22	19	86	44	26	27	15	31	30	23	73	29	30	31	88	53	17	19	25	0	29	82	81	88	89	70	91	22	30	87	75	88	79	108	40	33	28	28	24	21	24	24	22	16	16	16	12	12	54	31	31	28	85	88	32	41	16	42	31	32	84	0	30	26	34	24	34	32	30	36	26	7	56	20	82	31	57	23	20	35	27	12	17	61	66	27	32	62	63	60	25	25	141	86	50	66	25	48	27	84	20	28	26	16	18	29	30	17	27	30	49	46	39	32	28	56	27	30	28	28	24	86	12					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4809	24	17	30	52	20	19	72	44	26	25	13	31	28	21	71	15	28	29	86	49	17	17	25	0	27	80	79	86	87	62	89	20	28	85	73	86	77	106	38	31	26	26	22	21	22	22	20	14	14	16	10	10	44	29	29	26	83	86	30	41	11	40	29	30	84	0	27	26	32	22	32	30	18	36	24	7	54	18	80	31	57	17	20	27	27	10	15	58	64	27	30	60	63	57	25	21	139	84	48	66	23	46	24	84	18	26	19	14	16	20	30	17	27	28	45	44	37	30	28	54	25	30	28	28	22	84	12					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	300	0	2	2	31	2	0	14	0	0	2	2	0	2	2	2	14	2	2	2	4	0	2	0	0	2	2	2	2	2	8	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	10	2	2	2	2	2	2	0	5	2	2	2	0	0	3	0	2	2	2	2	12	0	2	0	2	2	2	0	0	6	0	8	0	2	2	3	2	0	2	2	0	3	0	4	2	2	2	0	2	2	3	0	2	2	7	2	2	9	0	0	0	2	4	2	2	2	0	2	2	0	0	0	2	2	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4799	24	17	30	52	20	19	72	44	26	25	13	31	28	21	71	15	28	29	86	49	17	17	25	0	27	80	79	86	87	61	89	20	28	84	73	86	77	106	38	31	26	26	22	21	22	22	20	14	14	16	10	10	44	29	29	26	83	86	30	41	11	40	29	30	84	0	27	26	32	14	32	30	18	36	24	7	54	18	80	31	57	17	20	27	27	10	15	58	64	27	30	60	63	57	25	21	139	84	48	66	23	46	24	84	18	26	19	14	16	20	30	17	27	28	45	44	37	30	28	54	25	30	28	28	22	84	12					
9	Число недействительных избирательных бюллетеней	225	0	0	5	20	7	0	2	0	0	0	1	0	0	0	25	3	6	0	2	5	0	5	0	0	0	0	0	0	3	1	1	2	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	2	1	10	0	0	0	0	13	0	13	11	0	0	21	1	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	4	3	2	0	0	0	0	4	0	9	0	0	0					
10	Число действительных избирательных бюллетеней	4574	24	17	25	32	13	19	70	44	26	25	12	31	28	21	46	12	22	29	84	44	17	12	25	0	27	80	79	86	84	60	88	18	28	78	73	78	77	106	38	31	26	26	22	21	22	22	20	14	14	16	10	10	31	29	29	26	82	84	29	31	11	40	29	30	71	0	14	15	32	14	11	29	18	36	24	7	50	18	80	31	57	15	20	27	27	10	15	58	62	27	29	60	63	56	25	21	139	84	48	66	23	46	24	84	18	26	19	14	16	19	30	14	27	27	41	41	35	30	28	54	25	26	28	19	22	84	12					
