Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Приволжская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20531	1225	1197	992	1167	1013	1232	1187	887	1180	1173	1035	1008	1011	1008	506	200	290	778	517	324	821	407	362	392	320	299									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20150	1200	1200	1000	1100	1000	1200	1100	900	1100	1100	1000	1100	1000	1000	500	200	300	800	500	300	800	400	350	400	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6409	343	388	320	386	258	241	375	254	436	362	331	371	233	356	202	72	72	307	202	125	109	200	57	157	120	132									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2208	62	40	90	65	110	100	113	87	67	173	88	89	241	22	13	21	78	23	59	74	256	5	89	51	108	84									
6	Число погашенных избирательных бюллетеней	11533	795	772	590	649	632	859	612	559	597	565	581	640	526	622	285	107	150	470	239	101	435	195	204	192	72	84									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2208	62	40	90	65	110	100	113	87	67	173	88	89	241	22	13	21	78	23	59	74	256	5	89	51	108	84									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6408	342	388	320	386	258	241	375	254	436	362	331	371	233	356	202	72	72	307	202	125	109	200	57	157	120	132									
9	Число недействительных избирательных бюллетеней	121	10	1	8	4	2	1	4	5	2	12	12	0	4	19	1	1	0	7	0	1	6	9	2	8	2	0									
10	Число действительных избирательных бюллетеней	8495	394	427	402	447	366	340	484	336	501	523	407	460	470	359	214	92	150	323	261	198	359	196	144	200	226	216									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	15	15	15	15	15	15	15	15	15	15	15	25	15	15	10	10	10	15	10	10	15	10	10	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	206	13	3	11	10	2	5	3	15	2	10	15	25	2	8	2	5	2	15	5	10	3	10	10	20	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	3	0	4	9	10	1	8	2	9	2	0	0	13	6	5	4	0	4	2	0	3	7	2	4	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	154	2	12	4	5	13	10	12	0	13	5	0	0	13	7	8	5	8	0	5	0	12	0	0	0	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	2	2	0	2	3	0	0	1	1	2	2	2	0	0	0	1	0	1	0	0	0	1	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	83	5	3	3	10	5	1	4	5	4	4	2	2	10	8	2	1	0	0	0	1	4	6	0	1	0	2									
		0.96%	1.24%	0.70%	0.73%	2.22%	1.36%	0.29%	0.82%	1.47%	0.80%	0.75%	0.48%	0.43%	2.11%	2.12%	0.93%	1.08%	0.00%	0.00%	0.00%	0.50%	1.10%	2.93%	0.00%	0.48%	0.00%	0.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	305	21	20	17	24	18	15	10	20	12	16	13	1	14	13	14	1	3	13	12	4	12	12	3	9	6	2									
		3.54%	5.20%	4.67%	4.15%	5.32%	4.89%	4.40%	2.05%	5.87%	2.39%	2.99%	3.10%	0.22%	2.95%	3.44%	6.51%	1.08%	2.00%	3.94%	4.60%	2.01%	3.29%	5.85%	2.05%	4.33%	2.63%	0.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	222	12	10	16	17	10	13	12	10	13	8	8	13	9	14	13	0	2	11	4	2	6	5	3	5	3	3									
		2.58%	2.97%	2.34%	3.90%	3.77%	2.72%	3.81%	2.46%	2.93%	2.58%	1.50%	1.91%	2.83%	1.90%	3.70%	6.05%	0.00%	1.33%	3.33%	1.53%	1.01%	1.64%	2.44%	2.05%	2.40%	1.32%	1.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3950	136	147	153	156	145	145	249	136	267	268	170	281	281	144	53	51	98	122	135	109	178	88	69	76	138	155									
		45.84%	33.66%	34.35%	37.32%	34.59%	39.40%	42.52%	51.02%	39.88%	53.08%	50.09%	40.57%	61.09%	59.28%	38.10%	24.65%	54.84%	65.33%	36.97%	51.72%	54.77%	48.77%	42.93%	47.26%	36.54%	60.53%	71.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	49	1	1	3	1	2	2	1	3	3	3	2	0	5	6	0	0	1	4	0	0	4	2	0	1	4	0									
		0.57%	0.25%	0.23%	0.73%	0.22%	0.54%	0.59%	0.20%	0.88%	0.60%	0.56%	0.48%	0.00%	1.05%	1.59%	0.00%	0.00%	0.67%	1.21%	0.00%	0.00%	1.10%	0.98%	0.00%	0.48%	1.75%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	1	1	1	1	0	0	0	0	0	1	2	0	2	2	1	0	0	1	0	1	0	0	1	0	0	0									
		0.17%	0.25%	0.23%	0.24%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.48%	0.00%	0.42%	0.53%	0.47%	0.00%	0.00%	0.30%	0.00%	0.50%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1460	85	89	83	85	58	72	79	68	68	86	80	15	62	60	59	19	16	77	46	37	61	41	27	37	31	19									
		16.95%	21.04%	20.79%	20.24%	18.85%	15.76%	21.11%	16.19%	19.94%	13.52%	16.07%	19.09%	3.26%	13.08%	15.87%	27.44%	20.43%	10.67%	23.33%	17.62%	18.59%	16.71%	20.00%	18.49%	17.79%	13.60%	8.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	1	0	1	1	3	3	0	1	5	5	8	0	4	1	1	0	0	0	3	0	3	0	0	1	3	0									
		0.51%	0.25%	0.00%	0.24%	0.22%	0.82%	0.88%	0.00%	0.29%	0.99%	0.93%	1.91%	0.00%	0.84%	0.26%	0.47%	0.00%	0.00%	0.00%	1.15%	0.00%	0.82%	0.00%	0.00%	0.48%	1.32%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	49	3	2	1	5	2	2	2	1	4	2	2	0	3	4	7	0	0	2	0	0	2	0	0	0	3	2									
