Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Самойловская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15998	1755	1237	1264	1085	457	73	475	375	435	498	509	131	137	344	117	370	449	115	194	115	91	127	166	945	605	518	246	146	92	69	245	804	65	223	178	446	474	343	80									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16448	1772	1249	1264	1077	466	75	478	382	443	577	597	133	139	351	120	370	449	118	196	118	95	130	167	958	608	582	248	148	95	71	249	894	67	231	178	451	470	351	81									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7222	545	393	478	444	260	33	205	148	225	175	218	89	83	193	60	170	201	109	80	83	58	71	59	519	220	308	150	89	53	42	182	343	46	106	121	263	165	183	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1451	87	35	82	42	56	12	34	17	45	116	50	16	17	23	23	72	87	0	30	0	5	20	30	61	26	34	30	4	9	0	10	100	3	35	22	51	126	33	8									
6	Число погашенных избирательных бюллетеней	7775	1140	821	704	591	150	30	239	217	173	286	329	28	39	135	37	128	161	9	86	35	32	39	78	378	362	240	68	55	33	29	57	451	18	90	35	137	179	135	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1451	87	35	82	42	56	12	34	17	45	116	50	16	17	23	23	72	87	0	30	0	5	20	30	61	26	34	30	4	9	0	10	100	3	35	22	51	126	33	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7222	545	393	478	444	260	33	205	148	225	175	218	89	83	193	60	170	201	109	80	83	58	71	59	519	220	308	150	89	53	42	182	343	46	106	121	263	165	183	52									
9	Число недействительных избирательных бюллетеней	148	13	14	16	12	0	0	7	5	0	15	9	0	0	0	1	2	2	0	0	1	2	1	0	10	5	3	1	0	0	0	1	16	0	0	0	5	2	4	1									
10	Число действительных избирательных бюллетеней	8525	619	414	544	474	316	45	232	160	270	276	259	105	100	216	82	240	286	109	110	82	61	90	89	570	241	339	179	93	62	42	191	427	49	141	143	309	289	212	59									
