Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Кировская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357					
1	"Число избирателей, внесенных в список"	34169	2625	2367	1390	2228	1370	757	1882	1455	2493	2722	1680	1905	2337	414	390	250	242	228	195	268	302	239	280	762	356	493	367	132	351	1863	1826					
2	Число полученных избирательных бюллетеней	34507	2614	2352	1381	2220	1354	775	1726	1461	2401	2713	1688	1918	2345	416	383	250	241	229	193	263	302	253	286	752	403	510	371	124	333	2150	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16153	1283	984	768	981	532	262	848	753	1082	1322	688	921	1038	138	159	130	166	133	119	180	160	110	110	316	151	269	161	77	133	1006	1173					
5	"Число избирательных бюллетеней, выданных вне помещения"	1783	32	54	22	35	62	57	53	13	203	95	26	28	37	142	105	49	35	46	38	37	42	71	51	106	68	24	95	34	114	9	0					
6	Число погашенных избирательных бюллетеней	16571	1299	1314	591	1204	760	456	825	695	1116	1296	974	969	1270	136	119	71	40	50	36	46	100	72	125	330	184	217	115	13	86	1135	927					
7	Число избирательных бюллетеней в переносных ящиках	1783	32	54	22	35	62	57	53	13	203	95	26	28	37	142	105	49	35	46	38	37	42	71	51	106	68	24	95	34	114	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	16119	1283	984	768	981	532	262	848	740	1082	1322	688	921	1032	138	159	130	166	133	119	180	160	110	110	316	151	269	161	77	133	993	1171					
9	Число недействительных избирательных бюллетеней	184	15	13	10	8	4	4	12	7	13	20	7	16	14	0	4	3	0	4	2	0	0	1	1	5	2	3	4	0	1	7	4					
10	Число действительных избирательных бюллетеней	17718	1300	1025	780	1008	590	315	889	746	1272	1397	707	933	1055	280	260	176	201	175	155	217	202	180	160	417	217	290	252	111	246	995	1167					
11	Число полученных открепительных  удостоверений	500	30	20	20	30	20	20	20	20	20	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	30	30					
12	Число выданных открепительных удостоверений	123	1	6	6	3	4	1	3	5	10	6	6	6	6	3	3	0	2	0	1	0	0	0	1	0	1	4	2	0	2	17	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	100	4	2	1	8	4	3	10	4	3	6	2	5	17	0	1	0	4	0	1	3	0	0	1	2	2	0	3	0	4	2	8					
14	Число неиспользованных открепительных удостоверений	377	29	14	14	27	16	19	17	15	10	14	14	14	14	7	7	10	8	10	9	10	10	10	9	10	9	6	8	10	8	13	6					
15	"Число открепительных удостоверений, выданных в ТИК"	24	3	0	0	3	0	4	1	3	0	5	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	576	58	41	29	32	15	7	44	27	52	31	24	28	43	3	5	3	4	5	0	1	1	1	3	7	4	12	4	0	10	24	58					
		3.22%	4.41%	3.95%	3.67%	3.15%	2.53%	2.19%	4.88%	3.59%	4.05%	2.19%	3.36%	2.95%	4.02%	1.07%	1.89%	1.68%	1.99%	2.79%	0.00%	0.46%	0.50%	0.55%	1.86%	1.66%	1.83%	4.10%	1.56%	0.00%	4.05%	2.40%	4.95%					
19	. Малышкин Олег Александрович	381	20	17	14	24	21	6	20	13	24	29	21	20	30	8	6	3	0	0	2	0	3	1	1	5	5	4	4	8	4	27	41					
		2.13%	1.52%	1.64%	1.77%	2.36%	3.54%	1.88%	2.22%	1.73%	1.87%	2.05%	2.94%	2.11%	2.81%	2.86%	2.27%	1.68%	0.00%	0.00%	1.27%	0.00%	1.49%	0.55%	0.62%	1.18%	2.28%	1.37%	1.56%	7.21%	1.62%	2.69%	3.50%					
20	. Миронов Сергей Михайлович	133	10	13	4	2	6	2	9	7	10	11	11	4	6	0	6	1	1	0	0	3	1	0	1	0	0	7	0	1	4	9	4					
		0.74%	0.76%	1.25%	0.51%	0.20%	1.01%	0.63%	1.00%	0.93%	0.78%	0.78%	1.54%	0.42%	0.56%	0.00%	2.27%	0.56%	0.50%	0.00%	0.00%	1.38%	0.50%	0.00%	0.62%	0.00%	0.00%	2.39%	0.00%	0.90%	1.62%	0.90%	0.34%					
