Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Хасавюртовская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514					
1	"Число избирателей, внесенных в списки избирателей"	79900	1109	396	774	532	1183	1348	1235	1477	1782	312	444	1042	1654	2235	1528	2010	665	1493	563	1688	2025	986	1121	1274	2594	905	1090	1362	2245	618	658	456	264	523	1389	827	181	2132	2268	2525	683	2568	459	1546	1349	2189	143	1270	1649	1756	368	2292	855	548	2001	376	2747	1265	1854	259	1614	1219	643	1334					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75924	1062	396	773	520	1048	1304	1115	1324	1715	305	435	994	1592	2055	1399	1802	581	1405	548	1688	1967	974	1121	1274	2426	905	1028	1230	2171	575	649	415	264	516	1389	779	173	2132	2150	2477	669	2429	450	1452	1348	2180	143	1032	1339	1753	368	2048	808	545	1910	360	2573	1192	1779	259	1581	1182	635	1213					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	75715	1062	396	773	520	1048	1304	1115	1324	1715	305	435	994	1592	2055	1399	1747	581	1405	548	1687	1964	974	1121	1274	2426	905	1028	1230	2171	575	633	390	264	516	1389	779	173	2132	2150	2425	669	2429	450	1452	1348	2140	143	1025	1336	1753	368	2048	808	545	1910	360	2572	1192	1778	259	1581	1182	635	1208					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	1	3	0	0	0	0	0	0	0	0	0	16	25	0	0	0	0	0	0	0	52	0	0	0	0	0	40	0	7	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5					
6	Число погашенных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	1	3	0	0	0	0	0	0	0	0	0	16	25	0	0	0	0	0	0	0	52	0	0	0	0	0	40	0	7	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	75715	1062	396	773	520	1048	1304	1115	1324	1715	305	435	994	1592	2055	1399	1747	581	1405	548	1687	1964	974	1121	1274	2426	905	1028	1230	2171	575	633	390	264	516	1389	779	173	2132	2150	2425	669	2429	450	1452	1348	2140	143	1025	1336	1753	368	2048	808	545	1910	360	2572	1192	1778	259	1581	1182	635	1208					
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	75924	1062	396	773	520	1048	1304	1115	1324	1715	305	435	994	1592	2055	1399	1802	581	1405	548	1688	1967	974	1121	1274	2426	905	1028	1230	2171	575	649	415	264	516	1389	779	173	2132	2150	2477	669	2429	450	1452	1348	2180	143	1032	1339	1753	368	2048	808	545	1910	360	2573	1192	1779	259	1581	1182	635	1213					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1460	20	7	15	10	20	26	28	23	34	6	8	20	29	42	28	35	11	26	10	31	36	18	26	22	45	17	20	23	40	10	13	8	5	10	26	15	3	40	39	47	13	46	9	32	22	38	3	20	23	34	8	45	20	13	36	7	50	22	32	5	28	30	10	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	25	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	3	0	0	0	2	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	1435	20	7	15	10	20	26	28	23	34	6	8	19	29	42	26	35	11	26	10	31	36	18	25	19	45	17	20	23	38	10	10	8	5	10	24	14	3	40	38	46	13	46	9	32	22	36	3	20	23	34	8	44	20	13	35	7	49	22	32	5	28	29	9	21					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
