Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Бежтинская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740					
1	"Число избирателей, внесенных в списки избирателей"	4996	975	627	738	452	439	114	304	149	560	460	178					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5033	973	634	751	446	439	124	307	159	560	460	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4765	939	627	738	442	434	114	304	149	552	460	6					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	268	34	7	13	4	5	10	3	10	8	0	174					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4765	939	627	738	442	434	114	304	149	552	460	6					
9	Число недействительных избирательных бюллетеней	17	0	0	0	0	9	8	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	4748	939	627	738	442	425	106	304	149	552	460	6					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	96	12	11	13	10	10	5	6	4	10	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	6	0	0	5	0	0	0	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1	0	0	0	0	0	0	0	0	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	90	12	11	8	10	10	5	6	4	10	10	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	164	5	6	5	92	5	1	25	0	15	10	0					
		3.44%	0.53%	0.96%	0.68%	20.81%	1.15%	0.88%	8.22%	0.00%	2.72%	2.17%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	20	10	4	0	0	0	5	0	0	0	0	1					
		0.42%	1.06%	0.64%	0.00%	0.00%	0.00%	4.39%	0.00%	0.00%	0.00%	0.00%	16.67%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4	0	1	0	0	0	0	0	0	3	0	0					
		0.08%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4560	924	616	733	350	420	100	279	149	534	450	5					
		95.70%	98.40%	98.25%	99.32%	79.19%	96.77%	87.72%	91.78%	10.00%	96.74%	97.83%	83.33%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
