Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Приволжская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395					
1	"Число избирателей, внесенных в список"	17125	194	1335	1660	1138	152	179	142	415	1505	466	478	862	262	1009	315	88	1896	730	1900	434	721	311	201	176	556					
2	Число полученных избирательных бюллетеней	16726	190	1300	1600	1100	150	160	120	400	1400	450	560	900	280	1060	300	86	1800	700	1800	400	700	300	190	180	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12077	98	891	1148	734	116	125	94	354	1163	407	454	585	196	783	240	81	1193	445	1220	275	422	206	175	150	522					
5	"Число избирательных бюллетеней, выданных вне помещения"	977	59	51	33	38	16	35	26	26	45	0	24	67	27	77	28	4	50	88	52	43	54	60	14	26	34					
6	Число погашенных избирательных бюллетеней	3672	33	358	419	328	18	0	0	20	192	43	82	248	57	200	32	1	557	167	528	82	224	34	1	4	44					
7	Число избирательных бюллетеней в переносных ящиках	977	59	51	33	38	16	35	26	26	45	0	24	67	27	77	28	4	50	88	52	43	54	60	14	26	34					
8	Число бюллетеней в стационарных ящиках для голосования	12077	98	891	1148	734	116	125	94	354	1163	407	454	585	196	783	240	81	1193	445	1220	275	422	206	175	150	522					
9	Число недействительных избирательных бюллетеней	165	2	18	11	9	2	3	1	0	16	4	2	8	7	11	5	0	14	10	22	5	0	6	0	2	7					
10	Число действительных избирательных бюллетеней	12889	155	924	1170	763	130	157	119	380	1192	403	476	644	216	849	263	85	1229	523	1250	313	476	260	189	174	549					
11	Число полученных открепительных  удостоверений	400	10	30	26	26	10	10	10	10	30	10	10	10	10	36	10	0	26	26	26	10	10	10	10	10	24					
12	Число выданных открепительных удостоверений	194	0	9	5	1	0	0	0	2	14	3	10	10	10	36	10	0	26	10	26	7	9	5	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	111	3	8	5	4	1	3	5	3	10	2	6	9	2	2	6	1	8	0	15	2	2	7	3	2	2					
14	Число неиспользованных открепительных удостоверений	206	10	21	21	25	10	10	10	8	16	7	0	0	0	0	0	0	0	16	0	3	1	5	10	10	23					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	382	9	27	48	32	9	3	1	19	42	6	10	14	3	15	6	0	41	15	33	4	19	2	4	5	15					
		2.93%	5.73%	2.87%	4.06%	4.15%	6.82%	1.88%	0.83%	5.00%	3.48%	1.47%	2.09%	2.15%	1.35%	1.74%	2.24%	0.00%	3.30%	2.81%	2.59%	1.26%	3.99%	0.75%	2.12%	2.84%	2.70%					
19	. Малышкин Олег Александрович	481	9	31	51	28	1	2	2	22	48	18	17	35	9	23	11	6	37	16	42	10	21	15	16	2	9					
		3.68%	5.73%	3.29%	4.32%	3.63%	0.76%	1.25%	1.67%	5.79%	3.97%	4.42%	3.56%	5.37%	4.04%	2.67%	4.10%	7.06%	2.98%	3.00%	3.30%	3.14%	4.41%	5.64%	8.47%	1.14%	1.62%					
20	. Миронов Сергей Михайлович	67	0	5	9	5	0	0	1	1	5	3	5	4	0	1	0	0	4	5	7	2	2	2	2	2	2					
		0.51%	0.00%	0.53%	0.76%	0.65%	0.00%	0.00%	0.83%	0.26%	0.41%	0.74%	1.05%	0.61%	0.00%	0.12%	0.00%	0.00%	0.32%	0.94%	0.55%	0.63%	0.42%	0.75%	1.06%	1.14%	0.36%					
21	. Путин Владимир Владимирович	8563	99	603	775	509	104	105	90	216	795	310	358	487	150	511	152	56	854	373	787	227	328	169	96	118	291					
		65.60%	63.06%	64.01%	65.62%	65.93%	78.79%	65.62%	75.00%	56.84%	65.81%	76.17%	74.90%	74.69%	67.26%	59.42%	56.72%	65.88%	68.70%	69.98%	61.87%	71.38%	68.91%	63.53%	50.79%	67.05%	52.34%					
22	. Хакамада Ирина Муцуовна	232	6	23	20	15	1	7	0	11	15	5	3	10	1	13	3	0	26	12	23	12	9	8	1	2	6					
		1.78%	3.82%	2.44%	1.69%	1.94%	0.76%	4.38%	0.00%	2.89%	1.24%	1.23%	0.63%	1.53%	0.45%	1.51%	1.12%	0.00%	2.09%	2.25%	1.81%	3.77%	1.89%	3.01%	0.53%	1.14%	1.08%					
23	. Харитонов Николай Михайлович	2799	30	203	224	163	15	40	24	98	247	56	69	77	50	269	85	23	218	87	302	51	88	52	64	45	219					
		21.44%	19.11%	21.55%	18.97%	21.11%	11.36%	25.00%	20.00%	25.79%	20.45%	13.76%	14.44%	11.81%	22.42%	31.28%	31.72%	27.06%	17.54%	16.32%	23.74%	16.04%	18.49%	19.55%	33.86%	25.57%	39.39%					
																																
24	Против всех	365	2	32	43	11	0	0	1	13	40	5	14	17	3	17	6	0	49	15	56	7	9	12	6	0	7					
		2.80%	1.27%	3.40%	3.64%	1.42%	0.00%	0.00%	0.83%	3.42%	3.31%	1.23%	2.93%	2.61%	1.35%	1.98%	2.24%	0.00%	3.94%	2.81%	4.40%	2.20%	1.89%	4.51%	3.17%	0.00%	1.26%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
