Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Черкесская городская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84499	2271	2064	1195	2113	1702	1509	2030	2166	1960	888	1904	2402	1434	1276	1326	438	1425	899	1711	1126	1657	1357	1602	1261	983	1371	1325	1724	2032	897	1762	1062	2021	1346	2142	1825	931	1987	2266	938	1187	1225	1431	2112	1706	1795	1888	2384	1526	2411	2226	2280									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80640	2163	1961	1135	2007	1628	1434	1931	2063	1952	846	1767	2288	1365	1189	1253	416	1354	809	1686	1033	1574	1289	1526	1200	934	1374	1325	1638	2004	852	1674	1012	1924	1288	2001	1722	944	1888	2135	889	1180	1164	1353	2007	1624	1695	1794	2271	1452	2283	2178	2166									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	78070	2111	1918	1110	1975	1601	1402	1902	2021	1819	828	1730	2243	1334	1164	1227	412	1325	789	1511	1013	1541	1244	1485	1180	908	1237	1307	1605	1972	835	1642	973	1891	1260	1693	1692	926	1817	2100	859	1064	1140	1328	1902	1595	1592	1750	2231	1447	2222	2075	2122									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	822	17	1	8	0	0	6	0	3	0	5	7	8	6	7	3	1	5	5	169	4	4	17	13	2	13	40	1	6	5	1	9	21	4	5	149	3	5	27	7	12	4	6	9	75	2	78	20	4	3	8	6	8									
6	Число погашенных избирательных бюллетеней	1748	35	42	17	32	27	26	29	39	133	13	30	37	25	18	23	3	24	15	6	16	29	28	28	18	13	97	17	27	27	16	23	18	29	23	159	27	13	44	28	18	112	18	16	30	27	25	24	36	2	53	97	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	822	17	1	8	0	0	6	0	3	0	5	7	8	6	7	3	1	5	5	169	4	4	17	13	2	13	40	1	6	5	1	9	21	4	5	149	3	5	27	7	12	4	6	9	75	2	78	20	4	3	8	6	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	78070	2111	1918	1110	1975	1601	1402	1902	2021	1819	828	1730	2243	1334	1164	1227	412	1325	789	1511	1013	1541	1244	1485	1180	908	1237	1307	1605	1972	835	1642	973	1891	1260	1693	1692	926	1817	2100	859	1064	1140	1328	1902	1595	1592	1750	2231	1447	2222	2075	2122									
9	Число недействительных избирательных бюллетеней	191	5	4	3	4	3	0	3	5	7	3	4	5	3	5	3	3	6	0	0	2	3	4	4	3	4	3	3	3	5	3	5	3	5	6	4	4	2	0	6	2	8	4	5	4	5	3	4	4	0	5	4	5									
10	Число действительных избирательных бюллетеней	78701	2123	1915	1115	1971	1598	1408	1899	2019	1812	830	1733	2246	1337	1166	1227	410	1324	794	1680	1015	1542	1257	1494	1179	917	1274	1305	1608	1972	833	1646	991	1890	1259	1838	1691	929	1844	2101	869	1060	1142	1332	1973	1592	1667	1766	2231	1450	2225	2077	2125									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	129	3	3	2	3	3	3	3	2	2	3	3	2	2	3	2	3	2	3	2	3	3	3	3	2	2	2	2	3	3	2	3	3	2	3	3	3	3	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	22	0	0	0	0	0	1	2	1	0	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	6	1	1	0	0	1	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	107	3	3	2	3	3	2	1	1	2	2	3	2	1	3	2	3	2	3	1	0	3	3	3	2	2	2	2	2	2	2	3	0	1	3	3	3	2	2	2	2	1	2	0	2	3	3	2	2	2	1	2	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	0	2	0	0	0	0	1	2	0	0	2	2	0	2	0	1	0	1	0	0	0	0	2	4	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	3	4	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
