Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Омутинская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в списки избирателей"	14872	773	1029	869	799	198	206	422	573	887	529	798	1015	674	935	624	407	826	352	655	460	485	161	68	653	377	97					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15124	777	1100	869	797	193	206	434	588	897	532	902	933	682	954	639	405	829	351	672	470	489	159	74	687	384	101					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	298	112	0	0	0	24	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	37	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12881	603	867	727	692	157	171	357	487	754	472	753	831	545	835	595	350	722	307	629	427	442	73	56	617	321	91					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	949	36	72	64	61	11	14	13	48	80	24	45	76	72	57	19	35	69	33	17	22	19	10	12	15	19	6					
6	Число погашенных избирательных бюллетеней	996	26	161	78	44	1	21	15	53	63	36	104	26	65	62	25	20	38	11	26	21	28	0	6	55	7	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1247	148	72	64	61	35	14	62	48	80	24	45	76	72	57	19	35	69	33	17	22	19	86	12	15	56	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12881	603	867	727	692	157	171	357	487	754	472	753	831	545	835	595	350	722	307	629	427	442	73	56	617	321	91					
9	Число недействительных избирательных бюллетеней	40	0	14	2	0	0	0	0	4	9	0	0	0	0	0	0	0	4	2	0	5	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	14088	751	925	789	753	192	185	419	531	825	496	798	907	617	892	614	385	787	338	646	444	461	159	68	632	377	97					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	295	14	20	15	10	10	10	10	20	10	10	20	10	10	15	10	10	6	6	8	6	6	4	10	30	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	232	14	20	15	10	2	10	3	20	8	8	18	8	5	14	3	10	2	0	8	6	6	0	3	24	10	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	50	3	4	5	6	0	0	0	1	2	0	0	9	3	6	1	2	4	1	0	0	1	1	0	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	63	0	0	0	0	8	0	7	0	2	2	2	2	5	1	7	0	4	6	0	0	0	4	7	6	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	1.Политическая партия «Аграрная партия России»	74	2	7	7	3	2	0	4	0	2	3	8	0	2	4	0	2	3	5	13	0	0	0	0	2	4	1					
		0.52%	0.27%	0.75%	0.88%	0.40%	1.04%	0.00%	0.95%	0.00%	0.24%	0.60%	1.00%	0.00%	0.32%	0.45%	0.00%	0.52%	0.38%	1.47%	2.01%	0.00%	0.00%	0.00%	0.00%	0.32%	1.06%	1.03%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	1	2	1	0	0	0	0	0	1	0	0					
		0.08%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.24%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.26%	0.25%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	7	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
