Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Москаленская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574					
1	"Число избирателей, внесенных в список"	21635	1357	991	869	1271	852	666	1313	496	842	95	92	733	175	52	151	57	491	386	244	91	249	336	220	232	162	741	184	514	209	127	526	171	1014	196	119	157	215	204	535	321	115	268	334	150	726	555	67	284	187	155	1138					
2	Число полученных избирательных бюллетеней	21182	1300	1000	800	1300	800	600	1300	500	800	98	94	700	178	54	149	58	490	350	237	91	244	340	230	220	160	700	186	500	211	126	500	166	1000	194	119	157	216	200	535	320	112	280	330	149	712	536	68	335	187	150	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16480	838	608	592	931	528	403	833	320	741	95	91	597	129	46	133	52	403	292	195	91	225	298	167	216	136	548	159	432	202	125	385	142	736	191	119	154	215	161	392	310	112	256	145	142	657	453	61	251	151	112	909					
5	"Число избирательных бюллетеней, выданных вне помещения"	1047	32	36	22	95	44	23	63	93	0	0	0	10	28	1	4	5	33	20	16	0	0	6	17	0	7	59	18	21	0	0	25	3	94	0	0	0	0	24	37	0	0	0	39	0	22	35	0	33	8	25	49					
6	Число погашенных избирательных бюллетеней	3655	430	356	186	274	228	174	404	87	59	3	3	93	21	7	12	1	54	38	26	0	19	36	46	4	17	93	9	47	9	1	90	21	170	3	0	3	1	15	106	10	0	24	146	7	33	48	7	51	28	13	142					
7	Число избирательных бюллетеней в переносных ящиках	1047	32	36	22	95	44	23	63	93	0	0	0	10	28	1	4	5	33	20	16	0	0	6	17	0	7	59	18	21	0	0	25	3	94	0	0	0	0	24	37	0	0	0	39	0	22	35	0	33	8	25	49					
8	Число бюллетеней в стационарных ящиках для голосования	16480	838	608	592	931	528	403	833	320	741	95	91	597	129	46	133	52	403	292	195	91	225	298	167	216	136	548	159	432	202	125	385	142	736	191	119	154	215	161	392	310	112	256	145	142	657	453	61	251	151	112	909					
9	Число недействительных избирательных бюллетеней	146	6	6	9	3	6	5	11	6	10	0	0	6	1	0	0	0	4	3	0	0	2	4	0	1	0	1	1	1	8	1	4	3	2	0	0	0	13	3	1	0	0	2	4	0	2	9	1	2	2	2	1					
10	Число действительных избирательных бюллетеней	17381	864	638	605	1023	566	421	885	407	731	95	91	601	156	47	137	57	432	309	211	91	223	300	184	215	143	606	176	452	194	124	406	142	828	191	119	154	202	182	428	310	112	254	180	142	677	479	60	282	157	135	957					
11	Число полученных открепительных  удостоверений	659	30	30	20	30	25	15	30	10	20	10	5	15	15	5	5	5	10	7	7	5	10	10	10	10	5	15	10	15	10	5	10	5	30	5	5	5	10	10	20	10	10	15	15	5	20	20	5	10	10	10	30					
12	Число выданных открепительных удостоверений	210	10	11	6	29	23	9	23	3	14	0	0	3	0	0	1	0	9	2	3	0	3	4	8	0	0	3	1	6	1	0	0	1	2	0	0	0	0	0	2	0	0	5	0	0	0	1	0	3	2	0	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	142	13	1	7	7	8	3	1	6	4	2	2	2	1	1	0	1	6	10	2	2	2	2	3	3	4	2	1	4	3	3	1	1	4	1	1	0	1	3	1	0	1	0	0	2	4	4	0	2	2	1	7					
14	Число неиспользованных открепительных удостоверений	449	20	19	14	1	2	6	7	7	6	10	5	12	15	5	4	5	1	5	4	5	7	6	2	10	5	12	9	9	9	5	10	4	28	5	5	5	10	10	18	10	10	10	15	5	20	19	5	7	8	10	8					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	493	32	11	13	39	13	12	33	18	23	1	0	19	1	0	4	2	15	15	8	0	7	3	3	1	0	14	3	8	3	4	12	4	37	3	1	10	12	0	15	11	0	9	3	1	10	7	2	9	1	3	38					
		2.81%	3.68%	1.71%	2.12%	3.80%	2.27%	2.82%	3.68%	4.36%	3.10%	1.05%	0.00%	3.13%	0.64%	0.00%	2.92%	3.51%	3.44%	4.81%	3.79%	0.00%	3.11%	0.99%	1.63%	0.46%	0.00%	2.31%	1.69%	1.77%	1.49%	3.20%	2.93%	2.76%	4.46%	1.57%	0.84%	6.49%	5.58%	0.00%	3.50%	3.55%	0.00%	3.52%	1.63%	0.70%	1.47%	1.43%	3.28%	3.17%	0.63%	2.19%	3.97%					
19	. Малышкин Олег Александрович	592	32	29	22	22	17	14	30	29	25	0	1	30	10	1	14	0	18	3	5	3	5	7	11	14	9	31	8	15	5	2	26	5	24	2	1	0	0	1	20	1	1	8	2	6	14	8	2	2	8	8	41					
		3.38%	3.68%	4.50%	3.58%	2.14%	2.97%	3.29%	3.35%	7.02%	3.37%	0.00%	1.10%	4.94%	6.37%	2.13%	10.22%	0.00%	4.13%	0.96%	2.37%	3.30%	2.22%	2.30%	5.98%	6.48%	6.29%	5.11%	4.52%	3.31%	2.48%	1.60%	6.34%	3.45%	2.89%	1.05%	0.84%	0.00%	0.00%	0.54%	4.66%	0.32%	0.89%	3.12%	1.09%	4.23%	2.06%	1.64%	3.28%	0.70%	5.03%	5.84%	4.28%					
20	. Миронов Сергей Михайлович	99	12	2	2	7	0	1	7	4	13	2	1	3	0	0	1	0	3	1	1	1	2	0	0	0	1	2	1	2	0	0	0	2	2	0	0	3	0	1	2	1	0	3	2	1	4	2	0	0	1	1	5					
		0.56%	1.38%	0.31%	0.33%	0.68%	0.00%	0.23%	0.78%	0.97%	1.75%	2.11%	1.10%	0.49%	0.00%	0.00%	0.73%	0.00%	0.69%	0.32%	0.47%	1.10%	0.89%	0.00%	0.00%	0.00%	0.70%	0.33%	0.56%	0.44%	0.00%	0.00%	0.00%	1.38%	0.24%	0.00%	0.00%	1.95%	0.00%	0.54%	0.47%	0.32%	0.00%	1.17%	1.09%	0.70%	0.59%	0.41%	0.00%	0.00%	0.63%	0.73%	0.52%					
21	. Путин Владимир Владимирович	13379	613	493	448	780	430	325	654	277	557	80	77	425	123	42	94	43	328	236	174	80	184	250	152	193	107	460	127	357	170	95	285	120	582	159	106	86	145	163	296	267	105	206	165	123	577	393	53	240	118	112	704					
		76.33%	70.46%	76.55%	72.96%	76.02%	75.17%	76.29%	72.99%	67.07%	75.17%	84.21%	84.62%	70.02%	78.34%	89.36%	68.61%	75.44%	75.23%	75.64%	82.46%	87.91%	81.78%	82.24%	82.61%	89.35%	74.83%	75.78%	71.75%	78.81%	84.16%	76.00%	69.51%	82.76%	70.12%	83.25%	89.08%	55.84%	67.44%	88.11%	69.00%	86.13%	93.75%	80.47%	89.67%	86.62%	84.98%	80.53%	86.89%	84.51%	74.21%	81.75%	73.49%					
22	. Хакамада Ирина Муцуовна	348	19	15	16	41	13	3	18	2	14	1	1	7	0	0	4	4	5	8	5	0	3	3	4	0	3	15	3	4	0	0	14	0	12	8	0	11	1	2	6	11	2	6	1	1	8	8	1	11	3	3	28					
		1.99%	2.18%	2.33%	2.61%	4.00%	2.27%	0.70%	2.01%	0.48%	1.89%	1.05%	1.10%	1.15%	0.00%	0.00%	2.92%	7.02%	1.15%	2.56%	2.37%	0.00%	1.33%	0.99%	2.17%	0.00%	2.10%	2.47%	1.69%	0.88%	0.00%	0.00%	3.41%	0.00%	1.45%	4.19%	0.00%	7.14%	0.47%	1.08%	1.40%	3.55%	1.79%	2.34%	0.54%	0.70%	1.18%	1.64%	1.64%	3.87%	1.89%	2.19%	2.92%					
23	. Харитонов Николай Михайлович	2208	129	78	94	114	87	56	124	68	96	11	10	102	20	4	16	6	49	40	13	7	17	31	13	6	23	78	32	58	14	22	65	11	160	16	11	42	43	15	83	14	3	20	4	8	57	56	2	20	21	8	131					
		12.60%	14.83%	12.11%	15.31%	11.11%	15.21%	13.15%	13.84%	16.46%	12.96%	11.58%	10.99%	16.80%	12.74%	8.51%	11.68%	10.53%	11.24%	12.82%	6.16%	7.69%	7.56%	10.20%	7.07%	2.78%	16.08%	12.85%	18.08%	12.80%	6.93%	17.60%	15.85%	7.59%	19.28%	8.38%	9.24%	27.27%	20.00%	8.11%	19.35%	4.52%	2.68%	7.81%	2.17%	5.63%	8.39%	11.48%	3.28%	7.04%	13.21%	5.84%	13.67%					
																																																										
24	Против всех	262	27	10	10	20	6	10	19	9	3	0	1	15	2	0	4	2	14	6	5	0	5	6	1	1	0	6	2	8	2	1	4	0	11	3	0	2	1	0	6	5	1	2	3	2	7	5	0	0	5	0	10					
		1.49%	3.10%	1.55%	1.63%	1.95%	1.05%	2.35%	2.12%	2.18%	0.40%	0.00%	1.10%	2.47%	1.27%	0.00%	2.92%	3.51%	3.21%	1.92%	2.37%	0.00%	2.22%	1.97%	0.54%	0.46%	0.00%	0.99%	1.13%	1.77%	0.99%	0.80%	0.98%	0.00%	1.33%	1.57%	0.00%	1.30%	0.47%	0.00%	1.40%	1.61%	0.89%	0.78%	1.63%	1.41%	1.03%	1.02%	0.00%	0.00%	3.14%	0.00%	1.04%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
