Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Кадуйская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14206	1350	711	564	1047	1110	1186	1101	1241	1237	934	979	206	203	122	186	198	452	162	454	340	423									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14200	1325	720	570	1050	1105	1180	1110	1235	1265	950	990	205	200	125	180	190	435	160	445	330	430									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6241	579	253	238	462	467	588	514	669	538	444	397	85	70	66	89	88	177	51	197	113	156									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	694	29	20	57	19	14	32	24	15	28	25	25	36	31	17	25	10	79	35	45	64	64									
6	Число погашенных избирательных бюллетеней	7265	717	447	275	569	624	560	572	551	699	481	568	84	99	42	66	92	179	74	203	153	210									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	694	29	20	57	19	14	32	24	15	28	25	25	36	31	17	25	10	79	35	45	64	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6214	579	253	237	462	467	587	514	644	538	444	397	85	70	66	89	88	177	51	197	113	156									
9	Число недействительных избирательных бюллетеней	139	8	5	2	8	11	12	13	10	11	14	15	2	3	2	3	3	8	0	4	2	3									
10	Число действительных избирательных бюллетеней	6769	600	268	292	473	470	607	525	649	555	455	407	119	98	81	111	95	248	86	238	175	217									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	535	35	30	30	35	35	35	35	35	35	30	30	15	15	15	15	15	20	15	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	150	10	7	9	9	6	13	10	8	8	11	14	5	4	10	8	6	3	0	3	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	189	32	2	2	11	10	5	5	11	2	6	0	5	7	5	14	12	21	7	15	11	6									
14	Число погашенных неиспользованных открепительных удостоверений	385	25	23	21	26	29	22	25	27	27	19	16	10	11	5	7	9	17	15	17	20	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	3	0	0	2	0	2	2	2	6	1	0	1	0	0	0	0	2	5	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	76	5	6	3	6	6	7	5	8	5	1	6	3	3	0	1	1	1	0	4	3	2									
		1.10%	0.82%	2.20%	1.02%	1.25%	1.25%	1.13%	0.93%	1.21%	0.88%	0.21%	1.42%	2.48%	2.97%	0.00%	0.88%	1.02%	0.39%	0.00%	1.65%	1.69%	0.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	227	16	12	13	14	19	18	25	27	19	14	4	1	2	3	0	0	14	2	10	6	8									
		3.29%	2.63%	4.40%	4.42%	2.91%	3.95%	2.91%	4.65%	4.10%	3.36%	2.99%	0.95%	0.83%	1.98%	3.61%	0.00%	0.00%	5.47%	2.33%	4.13%	3.39%	3.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	242	20	8	7	22	7	21	15	18	19	28	21	3	4	1	1	7	8	2	12	6	12									
		3.50%	3.29%	2.93%	2.38%	4.57%	1.46%	3.39%	2.79%	2.73%	3.36%	5.97%	4.98%	2.48%	3.96%	1.20%	0.88%	7.14%	3.13%	2.33%	4.96%	3.39%	5.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2734	242	107	110	181	188	261	204	245	236	197	154	57	46	30	63	43	81	47	84	74	84									
		39.58%	39.80%	39.19%	37.41%	37.63%	39.09%	42.16%	37.92%	37.18%	41.70%	42.00%	36.49%	47.11%	45.54%	36.14%	55.26%	43.88%	31.64%	54.65%	34.71%	41.81%	38.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	45	3	1	1	4	1	8	4	3	5	3	1	2	2	2	0	0	1	0	3	0	1									
		0.65%	0.49%	0.37%	0.34%	0.83%	0.21%	1.29%	0.74%	0.46%	0.88%	0.64%	0.24%	1.65%	1.98%	2.41%	0.00%	0.00%	0.39%	0.00%	1.24%	0.00%	0.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	3	1	0	1	1	1	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0									
		0.19%	0.49%	0.37%	0.00%	0.21%	0.21%	0.16%	0.00%	0.15%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1169	110	42	65	68	63	95	79	85	91	74	96	29	16	13	28	21	62	17	32	39	44									
		16.92%	18.09%	15.38%	22.11%	14.14%	13.10%	15.35%	14.68%	12.90%	16.08%	15.78%	22.75%	23.97%	15.84%	15.66%	24.56%	21.43%	24.22%	19.77%	13.22%	22.03%	20.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	32	2	0	2	2	1	7	3	6	1	3	1	0	0	0	2	0	0	0	0	1	1									
		0.46%	0.33%	0.00%	0.68%	0.42%	0.21%	1.13%	0.56%	0.91%	0.18%	0.64%	0.24%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.56%	0.45%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	63	5	5	1	2	7	6	3	8	6	2	4	0	0	1	2	0	6	0	3	2	0									
		0.91%	0.82%	1.83%	0.34%	0.42%	1.46%	0.97%	0.56%	1.21%	1.06%	0.43%	0.95%	0.00%	0.00%	1.20%	1.75%	0.00%	2.34%	0.00%	1.24%	1.13%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	1	0	2	0	0	0	3	1	1	0	2	0	0	0	0	0	0	0	0	0									
		0.14%	0.00%	0.37%	0.00%	0.42%	0.00%	0.00%	0.00%	0.46%	0.18%	0.21%	0.00%	1.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	90	16	1	3	6	8	10	5	7	7	6	2	1	1	0	0	0	6	0	8	1	2									
		1.30%	2.63%	0.37%	1.02%	1.25%	1.66%	1.62%	0.93%	1.06%	1.24%	1.28%	0.47%	0.83%	0.99%	0.00%	0.00%	0.00%	2.34%	0.00%	3.31%	0.56%	0.91%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1362	118	54	64	106	127	115	112	153	111	45	50	17	21	24	9	15	57	14	66	33	51									
		19.72%	19.41%	19.78%	21.77%	22.04%	26.40%	18.58%	20.82%	23.22%	19.61%	9.59%	11.85%	14.05%	20.79%	28.92%	7.89%	15.31%	22.27%	16.28%	27.27%	18.64%	23.18%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	2	2	0	0	1	1	0	6	3	1	0	0	0	0	1	0	0	0	1	1	1									
		0.29%	0.33%	0.73%	0.00%	0.00%	0.21%	0.16%	0.00%	0.91%	0.53%	0.21%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.41%	0.56%	0.45%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	686	58	28	23	59	41	57	70	79	51	77	68	4	3	7	3	8	12	4	14	9	11									
		9.93%	9.54%	10.26%	7.82%	12.27%	8.52%	9.21%	13.01%	11.99%	9.01%	16.42%	16.11%	3.31%	2.97%	8.43%	2.63%	8.16%	4.69%	4.65%	5.79%	5.08%	5.00%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
