Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Моршанская городская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285					
1	"Число избирателей, внесенных в списки"	36570	2383	797	1638	2375	2200	1798	1763	1220	1424	1769	1731	1540	1282	1220	1124	1424	1025	1662	2244	1726	788	1578	1859					
2	"Число бюллетеней, полученных участковыми комиссиями"	36225	2150	849	1700	2400	2100	1700	1798	1200	1600	1900	1700	1650	1299	1150	1140	1390	1101	1700	2100	1498	700	1600	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16668	1112	417	838	1028	1157	856	745	510	664	757	720	578	596	581	464	649	457	768	949	833	347	674	968					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	980	115	22	18	34	33	34	51	31	17	69	124	30	53	30	26	44	54	52	41	20	20	36	26					
6	Число погашенных бюллетеней	18577	923	410	844	1338	910	810	1002	659	919	1074	856	1042	650	539	650	697	590	880	1110	645	333	890	806					
7	Число бюллетеней в переносных ящиках для голосования	980	115	22	18	34	33	34	51	31	17	69	124	30	53	30	26	44	54	52	41	20	20	36	26					
8	Число бюллетеней в стационарных ящиках для голосования	16661	1112	417	838	1028	1151	856	745	510	664	757	720	577	596	581	464	649	457	768	949	833	347	674	968					
9	Число недействительных бюллетеней	490	16	12	36	23	30	17	20	26	5	8	52	12	19	20	24	18	13	20	21	22	11	30	35					
10	Число действительных бюллетеней	17151	1211	427	820	1039	1154	873	776	515	676	818	792	595	630	591	466	675	498	800	969	831	356	680	959					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	345	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	34	2	1	1	0	8	2	0	0	6	0	3	2	0	1	0	2	0	1	2	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	3	3	0	1	1	1	3	0	0	0	1	1	2	1	0	1	1	0	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	311	13	14	14	15	7	13	15	15	9	15	12	13	15	14	15	13	15	14	13	12	15	15	15					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	206	10	2	6	10	7	10	10	8	5	9	15	8	9	9	7	10	7	9	22	6	5	10	12					
		1.16%	0.81%	0.45%	0.70%	0.94%	0.59%	1.12%	1.25%	1.47%	0.73%	1.08%	1.77%	1.31%	1.38%	1.47%	1.42%	1.44%	1.36%	1.09%	2.22%	0.70%	1.36%	1.40%	1.20%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	182	6	9	8	7	15	7	6	6	7	8	13	7	10	13	7	3	1	10	12	11	2	4	10					
		1.03%	0.48%	2.05%	0.93%	0.65%	1.26%	0.78%	0.75%	1.10%	1.02%	0.96%	1.54%	1.15%	1.54%	2.12%	1.42%	0.43%	0.19%	1.21%	1.21%	1.28%	0.54%	0.56%	1.00%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1279	77	24	48	71	59	62	50	45	49	50	82	41	74	59	30	47	32	47	98	66	20	47	101					
		7.25%	6.27%	5.46%	5.60%	6.68%	4.98%	6.96%	6.28%	8.31%	7.19%	6.05%	9.71%	6.75%	11.40%	9.65%	6.12%	6.78%	6.26%	5.73%	9.89%	7.73%	5.44%	6.61%	10.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	598	35	20	33	28	55	41	18	17	29	17	24	23	20	18	20	25	11	22	36	49	11	16	30					
		3.38%	2.85%	4.55%	3.85%	2.63%	4.64%	4.60%	2.26%	3.14%	4.25%	2.05%	2.84%	3.78%	3.08%	2.94%	4.08%	3.60%	2.15%	2.68%	3.63%	5.74%	2.99%	2.25%	3.01%					
22	"5. ""За Русь Святую"""	131	6	4	6	9	6	12	3	4	1	6	10	4	5	3	5	7	3	7	8	6	1	7	8					
		0.74%	0.48%	0.91%	0.70%	0.84%	0.50%	1.34%	0.37%	0.73%	0.14%	0.72%	1.18%	0.65%	0.77%	0.49%	1.02%	1.01%	0.58%	0.85%	0.80%	0.70%	0.27%	0.98%	0.80%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	1	0	0	0	0	1	2	1	0	0	1	0	2	0	3	1	2	0	6	4	0	2	1					
		0.15%	0.08%	0.0%	0.0%	0.0%	0.0%	0.11%	0.25%	0.18%	0.0%	0.0%	0.11%	0.0%	0.30%	0.0%	0.61%	0.14%	0.39%	0.0%	0.60%	0.46%	0.0%	0.28%	0.10%					
24	"7. ""Новый курс - Автомобильная Россия"""	141	8	6	4	5	17	5	4	4	6	6	10	5	5	3	2	3	1	8	6	10	2	9	12					
		0.79%	0.65%	1.36%	0.46%	0.47%	1.43%	0.56%	0.50%	0.73%	0.88%	0.72%	1.18%	0.82%	0.77%	0.49%	0.40%	0.43%	0.19%	0.97%	0.60%	1.17%	0.54%	1.26%	1.20%					
25	"8. ""Народно-республиканская партия России"""	19	0	0	0	1	0	0	0	0	0	0	3	4	0	1	0	1	0	0	5	1	0	1	2					
		0.10%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.65%	0.0%	0.16%	0.0%	0.14%	0.0%	0.0%	0.50%	0.11%	0.0%	0.14%	0.20%					
26	"9. ""Российская экологическая партия ""Зеленые"""	41	1	1	4	3	4	2	3	0	2	3	4	0	1	1	1	2	1	0	2	4	1	1	0					
