Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Руднянская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19275	1425	1011	1365	1165	603	1372	1026	693	516	634	796	319	279	220	524	233	134	157	395	128	444	605	189	269	300	325	470	231	483	661	199	801	161	219	268	142	169	184	160									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19460	1444	1033	1366	1171	613	1376	1001	710	523	645	811	318	279	216	525	235	136	150	393	126	450	614	197	282	306	330	480	233	486	671	201	815	159	220	273	144	177	189	162									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6968	468	378	539	413	196	516	449	222	195	210	300	99	91	70	153	36	68	68	119	45	176	242	64	102	100	106	156	64	186	258	70	343	50	81	56	66	67	95	51									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1638	56	21	26	30	22	33	31	72	13	13	20	78	52	80	65	64	19	22	69	38	32	21	48	25	41	80	86	49	32	38	16	73	44	27	57	28	41	32	44									
6	Число погашенных избирательных бюллетеней	10854	920	634	801	728	395	827	521	416	315	422	491	141	136	66	307	135	49	60	205	43	242	351	85	155	165	144	238	120	268	375	115	399	65	112	160	50	69	62	67									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1638	56	21	26	30	22	33	31	72	13	13	20	78	52	80	65	64	19	22	69	38	32	21	48	25	41	80	86	49	32	38	16	73	44	27	57	28	41	32	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6968	468	378	539	413	196	516	449	222	195	210	300	99	91	70	153	36	68	68	119	45	176	242	64	102	100	106	156	64	186	258	70	343	50	81	56	66	67	95	51									
9	Число недействительных избирательных бюллетеней	130	4	5	18	9	3	8	5	5	4	6	4	1	1	0	5	0	0	0	3	4	8	8	2	0	2	0	4	0	6	2	2	4	1	2	1	0	0	0	3									
10	Число действительных избирательных бюллетеней	8476	520	394	547	434	215	541	475	289	204	217	316	176	142	150	213	100	87	90	185	79	200	255	110	127	139	186	238	113	212	294	84	412	93	106	112	94	108	127	92									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	351	20	20	15	15	10	20	20	15	10	15	20	5	8	5	15	3	3	3	3	6	15	10	5	5	10	10	8	5	5	10	3	5	5	5	3	3	3	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	188	12	7	11	12	6	16	5	7	7	8	6	1	6	0	4	0	3	0	1	4	15	10	2	4	3	6	6	4	4	10	3	3	0	0	0	0	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	162	5	2	13	2	3	8	31	3	1	2	3	3	4	15	5	3	3	2	1	2	9	6	3	3	1	2	5	4	1	1	4	2	4	2	0	1	1	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	163	8	13	4	3	4	4	15	8	3	7	14	4	2	5	11	3	0	3	2	2	0	0	3	1	7	4	2	1	1	0	0	2	5	5	3	3	2	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	2	3	3	3	0	1	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	105	5	9	8	6	6	8	9	0	0	4	2	1	0	3	2	0	0	0	2	0	5	0	0	1	0	5	3	1	5	10	0	5	0	4	0	0	0	0	1									
		1.22%	0.95%	2.26%	1.42%	1.35%	2.75%	1.46%	1.88%	0.00%	0.00%	1.79%	0.63%	0.56%	0.00%	2.00%	0.92%	0.00%	0.00%	0.00%	1.06%	0.00%	2.40%	0.00%	0.00%	0.79%	0.00%	2.69%	1.24%	0.88%	2.29%	3.38%	0.00%	1.20%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	1.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	197	18	3	10	14	3	13	7	9	5	3	17	4	6	1	2	3	4	3	2	1	6	7	1	7	0	3	6	2	8	1	1	9	4	1	2	3	6	2	0									
		2.29%	3.44%	0.75%	1.77%	3.16%	1.38%	2.37%	1.46%	3.06%	2.40%	1.35%	5.31%	2.26%	4.20%	0.67%	0.92%	3.00%	4.60%	3.33%	1.06%	1.20%	2.88%	2.66%	0.89%	5.51%	0.00%	1.61%	2.48%	1.77%	3.67%	0.34%	1.16%	2.16%	4.26%	0.93%	1.77%	3.19%	5.56%	1.57%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	129	12	8	10	14	3	10	5	3	0	4	8	2	3	3	1	0	1	1	2	0	6	1	2	0	3	1	0	1	4	4	0	11	1	0	0	0	2	1	2									
