Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Солтонская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472					
1	"Число избирателей, внесенных в списки"	8023	315	186	1066	138	337	868	141	687	97	241	81	1234	1323	193	132	101	675	208					
2	"Число бюллетеней, полученных участковыми комиссиями"	8391	325	195	1070	200	531	880	140	725	100	245	90	1260	1320	200	135	100	660	215					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4983	224	153	604	128	312	500	105	433	92	154	42	725	675	127	107	66	402	134					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	371	16	0	55	10	25	29	9	30	0	4	7	33	89	12	8	8	25	11					
6	Число погашенных бюллетеней	3037	85	42	411	62	194	351	26	262	8	87	41	502	556	61	20	26	233	70					
7	Число бюллетеней в переносных ящиках для голосования	371	16	0	55	10	25	29	9	30	0	4	7	33	89	12	8	8	25	11					
8	Число бюллетеней в стационарных ящиках для голосования	4983	224	153	604	128	312	500	105	433	92	154	42	725	675	127	107	66	402	134					
9	Число недействительных бюллетеней	79	4	1	15	2	7	6	0	5	4	5	1	8	6	0	2	2	7	4					
10	Число действительных бюллетеней	5275	236	152	644	136	330	523	114	458	88	153	48	750	758	139	113	72	420	141					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	6	4	9	4	7	8	3	8	3	4	3	9	9	4	3	3	8	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	3	0	4	1	0	5	0	3	0	0	1	5	3	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	0	0	1	1	0	1	1	1	0	1	0	3	0	4	0	2	2	1					
14	Число погашенных открепительных удостоверений	73	3	4	5	3	7	3	3	5	3	4	2	4	6	4	3	3	7	4					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	60	1	3	13	1	7	7	0	2	0	2	0	9	2	3	5	0	2	3					
		1.12%	0.41%	1.96%	1.97%	0.72%	2.07%	1.32%	0.0%	0.43%	0.0%	1.26%	0.0%	1.18%	0.26%	2.15%	4.34%	0.0%	0.46%	2.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	125	13	0	5	0	6	13	1	7	0	6	0	14	46	2	0	1	9	2					
		2.33%	5.41%	0.0%	0.75%	0.0%	1.78%	2.45%	0.87%	1.51%	0.0%	3.79%	0.0%	1.84%	6.02%	1.43%	0.0%	1.35%	2.10%	1.37%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	123	3	4	13	4	4	9	1	9	3	11	0	17	20	7	3	0	12	3					
		2.29%	1.25%	2.61%	1.97%	2.89%	1.18%	1.70%	0.87%	1.94%	3.26%	6.96%	0.0%	2.24%	2.61%	5.03%	2.60%	0.0%	2.81%	2.06%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	59	1	6	7	1	3	6	1	0	0	3	1	6	13	1	1	2	3	4					
		1.10%	0.41%	3.92%	1.06%	0.72%	0.89%	1.13%	0.87%	0.0%	0.0%	1.89%	2.04%	0.79%	1.70%	0.71%	0.86%	2.70%	0.70%	2.75%					
22	"5. ""За Русь Святую"""	16	1	1	3	0	1	1	1	4	0	1	0	1	0	1	0	0	0	1					
		0.29%	0.41%	0.65%	0.45%	0.0%	0.29%	0.18%	0.87%	0.86%	0.0%	0.63%	0.0%	0.13%	0.0%	0.71%	0.0%	0.0%	0.0%	0.68%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	1	0	0	0	1	4	0	1	0	0	0	1	1	0	1	0	1	2					
