Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Апатитская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №412	УИК №735	УИК №736									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47892	2362	2325	1182	1935	943	2366	2343	2190	843	1884	2294	2322	2021	2687	1980	1639	1064	2211	2585	2530	1957	2802	2020	750	463	194									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46800	2200	2200	1100	1900	900	2200	2200	2100	800	1800	2400	2300	2000	2500	2000	1600	1000	2100	2600	2500	1800	2600	2000	700	1000	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16305	649	606	398	723	301	815	789	736	281	633	731	884	722	989	685	557	357	682	797	949	612	936	720	265	304	184									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	310	5	6	1	10	8	3	12	5	7	5	10	9	25	10	4	12	8	8	10	5	1	5	3	0	138	0									
6	Число погашенных избирательных бюллетеней	30185	1546	1588	701	1167	591	1382	1399	1359	512	1162	1659	1407	1253	1501	1311	1031	635	1410	1793	1546	1187	1659	1277	435	558	116									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	310	5	6	1	10	8	3	12	5	7	5	10	9	25	10	4	12	8	8	10	5	1	5	3	0	138	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16272	648	606	398	723	299	815	789	736	281	632	730	883	721	979	685	552	356	682	797	949	610	936	720	265	304	176									
9	Число недействительных избирательных бюллетеней	490	17	22	10	22	8	26	24	18	12	20	17	22	21	18	28	20	11	25	29	32	18	25	26	11	0	8									
10	Число действительных избирательных бюллетеней	16092	636	590	389	711	299	792	777	723	276	617	723	870	725	971	661	544	353	665	778	922	593	916	697	254	442	168									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	324	15	15	10	15	10	15	15	15	10	15	15	15	15	15	15	10	10	15	15	15	10	15	15	9	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	94	4	0	2	5	3	6	7	3	2	2	4	4	5	6	3	1	2	7	2	7	4	7	6	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	57	1	2	2	0	1	0	3	0	1	0	3	1	0	0	0	0	1	8	2	1	3	2	0	1	12	13									
14	Число погашенных неиспользованных открепительных удостоверений	230	11	15	8	10	7	9	8	12	8	13	11	11	10	9	12	9	8	8	13	8	6	8	9	7	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	168	8	14	4	9	5	10	10	3	3	6	2	14	4	7	11	4	4	7	10	6	9	10	5	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	278	10	8	7	11	9	8	16	15	3	7	19	13	19	14	13	7	6	10	13	15	15	16	15	2	6	1									
		1.68%	1.53%	1.31%	1.75%	1.50%	2.93%	0.98%	1.99%	2.02%	1.04%	1.10%	2.57%	1.46%	2.55%	1.42%	1.89%	1.24%	1.65%	1.45%	1.61%	1.57%	2.45%	1.70%	2.07%	0.75%	1.36%	0.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	417	16	13	12	20	14	22	22	12	3	23	18	23	25	14	18	11	9	16	22	29	14	24	24	6	5	2									
		2.51%	2.45%	2.12%	3.01%	2.73%	4.56%	2.69%	2.75%	1.62%	1.04%	3.61%	2.43%	2.58%	3.35%	1.42%	2.61%	1.95%	2.47%	2.32%	2.73%	3.04%	2.29%	2.55%	3.32%	2.26%	1.13%	1.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	567	26	25	19	27	9	24	26	30	6	20	25	32	22	41	28	10	14	21	37	35	23	31	18	3	11	4									
		3.42%	3.98%	4.08%	4.76%	3.68%	2.93%	2.93%	3.25%	4.05%	2.08%	3.14%	3.38%	3.59%	2.95%	4.15%	4.06%	1.77%	3.85%	3.04%	4.58%	3.67%	3.76%	3.29%	2.49%	1.13%	2.49%	2.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4978	218	209	114	212	81	244	239	219	78	151	197	227	214	258	190	175	126	213	251	275	175	265	209	69	269	100									
		30.02%	33.38%	34.15%	28.57%	28.92%	26.38%	29.83%	29.84%	29.55%	27.08%	23.70%	26.62%	25.45%	28.69%	26.09%	27.58%	31.03%	34.62%	30.87%	31.10%	28.83%	28.64%	28.16%	28.91%	26.04%	60.86%	56.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	169	6	5	6	7	2	5	7	4	2	4	8	19	7	15	6	10	3	7	6	5	2	15	6	3	5	4									
		1.02%	0.92%	0.82%	1.50%	0.95%	0.65%	0.61%	0.87%	0.54%	0.69%	0.63%	1.08%	2.13%	0.94%	1.52%	0.87%	1.77%	0.82%	1.01%	0.74%	0.52%	0.33%	1.59%	0.83%	1.13%	1.13%	2.27%									
24	"6. Политическая партия ""Гражданская Платформа"""	82	3	2	5	4	0	2	4	1	4	1	4	8	6	4	0	4	1	3	5	6	4	2	4	0	3	2									
		0.49%	0.46%	0.33%	1.25%	0.55%	0.00%	0.24%	0.50%	0.13%	1.39%	0.16%	0.54%	0.90%	0.80%	0.40%	0.00%	0.71%	0.27%	0.43%	0.62%	0.63%	0.65%	0.21%	0.55%	0.00%	0.68%	1.14%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3505	152	136	89	151	75	210	150	148	54	159	156	164	133	204	147	127	73	146	173	200	128	204	129	68	89	40									
		21.14%	23.28%	22.22%	22.31%	20.60%	24.43%	25.67%	18.73%	19.97%	18.75%	24.96%	21.08%	18.39%	17.83%	20.63%	21.34%	22.52%	20.05%	21.16%	21.44%	20.96%	20.95%	21.68%	17.84%	25.66%	20.14%	22.73%									
