Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
"Наименование Избирательной комиссии:    Смоленск, Промышленная"																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №799	УИК №803									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	105112	1595	1187	1668	2688	1507	1534	1298	1414	2500	2476	2423	1591	2186	2655	1425	2250	2428	2294	1724	2138	2016	2117	1600	2501	2246	1541	2437	1653	2570	2152	1257	1900	1607	1776	2466	2745	2684	1491	2226	2360	2350	1911	2287	1993	2677	2714	2421	1748	1935	2709	1697	344									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102928	1500	1189	1600	2700	1500	1500	1300	1300	2400	2500	2400	1600	2200	2600	1039	2200	2400	2200	1700	2100	2000	2100	1600	2200	2200	1500	2400	1600	2600	2100	1100	1900	1600	1800	2400	2700	2600	1400	2200	2300	2300	1900	2300	2000	2600	2700	2400	1500	1900	2700	1700	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35412	671	420	617	746	482	372	352	289	810	978	450	598	870	836	689	745	818	821	367	789	623	752	523	899	836	518	752	519	827	697	417	767	561	592	856	880	938	370	816	890	849	618	828	636	903	1022	903	638	542	963	564	193									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1007	28	13	15	13	13	16	11	14	109	9	30	10	28	36	4	27	30	22	3	20	43	22	25	3	11	9	19	15	7	29	53	10	15	5	6	28	10	2	31	11	9	3	3	5	3	6	18	4	2	8	8	133									
6	Число погашенных избирательных бюллетеней	66509	801	756	968	1941	1005	1112	937	997	1481	1513	1920	992	1302	1728	346	1428	1552	1357	1330	1291	1334	1326	1052	1298	1353	973	1629	1066	1766	1374	630	1123	1024	1203	1538	1792	1652	1028	1353	1399	1442	1279	1469	1359	1694	1672	1479	858	1356	1729	1128	374									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1007	28	13	15	13	13	16	11	14	109	9	30	10	28	36	4	27	30	22	3	20	43	22	25	3	11	9	19	15	7	29	53	10	15	5	6	28	10	2	31	11	9	3	3	5	3	6	18	4	2	8	8	133									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35374	642	419	617	746	482	372	352	289	810	977	450	598	870	836	689	745	815	821	367	789	623	752	523	899	836	518	752	519	826	697	417	767	561	591	856	878	938	370	816	890	849	618	828	636	903	1022	903	638	542	963	564	193									
9	Число недействительных избирательных бюллетеней	1431	101	6	18	11	14	7	5	31	36	11	9	10	12	6	15	26	10	47	13	14	5	10	13	9	15	15	18	9	23	14	9	19	14	13	23	22	2	1	17	316	271	80	13	5	11	18	13	15	2	16	14	4									
10	Число действительных избирательных бюллетеней	34950	569	426	614	748	481	381	358	272	883	975	471	598	886	866	678	746	835	796	357	795	661	764	535	893	832	512	753	525	810	712	461	758	562	583	839	884	946	371	830	585	587	541	818	636	895	1010	908	627	542	955	558	322									
