Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Поронайская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №157									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19644	1407	1149	1616	2132	2053	2252	1606	766	129	1839	2039	751	387	961	93	164	300									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17884	1281	1061	1472	1880	1863	2039	1422	726	120	1698	1849	634	390	896	90	175	288									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	18	0	0	0	3	0	0	0	0	15	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6911	461	365	497	665	782	827	416	210	22	582	776	305	117	539	57	119	171									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	543	24	25	89	27	43	28	21	11	4	56	28	76	22	67	5	5	12									
6	Число погашенных избирательных бюллетеней	10412	796	671	886	1185	1038	1184	985	505	79	1060	1045	253	251	290	28	51	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	561	24	25	89	30	43	28	21	11	19	56	28	76	22	67	5	5	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6883	461	365	497	665	782	799	416	210	22	582	776	305	117	539	57	119	171									
9	Число недействительных избирательных бюллетеней	249	15	15	19	14	24	41	12	12	0	18	42	7	1	20	1	3	5									
10	Число действительных избирательных бюллетеней	7195	470	375	567	681	801	786	425	209	41	620	762	374	138	586	61	121	178									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	331	25	25	15	15	30	30	20	15	10	20	10	10	10	25	10	20	41									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	165	7	8	5	12	15	11	3	2	4	12	3	8	10	25	4	20	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	0	3	2	4	5	4	3	0	4	2	4	3	1	6	1	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	166	18	17	10	3	15	19	17	13	6	8	7	2	0	0	6	0	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	0	4	3	1	5	1	0	0	1	0	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	95	7	5	10	6	14	10	4	2	0	8	8	4	4	8	2	2	1									
		1.28%	1.44%	1.28%	1.71%	0.86%	1.70%	1.21%	0.92%	0.90%	0.00%	1.25%	0.99%	1.05%	2.88%	1.32%	3.23%	1.61%	0.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	312	16	18	24	34	29	27	24	9	1	36	34	17	8	19	1	8	7									
		4.19%	3.30%	4.62%	4.10%	4.89%	3.52%	3.26%	5.49%	4.07%	2.44%	5.64%	4.23%	4.46%	5.76%	3.14%	1.61%	6.45%	3.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	245	16	13	20	19	21	31	18	7	0	24	38	11	4	21	0	0	2									
		3.29%	3.30%	3.33%	3.41%	2.73%	2.55%	3.75%	4.12%	3.17%	0.00%	3.76%	4.73%	2.89%	2.88%	3.47%	0.00%	0.00%	1.09%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3473	212	181	264	306	400	377	204	112	21	230	310	212	64	373	36	74	97									
		46.66%	43.71%	46.41%	45.05%	44.03%	48.48%	45.59%	46.68%	50.68%	51.22%	36.05%	38.56%	55.64%	46.04%	61.55%	58.06%	59.68%	53.01%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	3	2	6	2	2	5	4	1	0	1	8	2	0	2	0	0	1									
		0.52%	0.62%	0.51%	1.02%	0.29%	0.24%	0.60%	0.92%	0.45%	0.00%	0.16%	0.99%	0.52%	0.00%	0.33%	0.00%	0.00%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	5	0	2	2	1	1	1	0	0	2	1	1	0	0	0	0	5									
		0.28%	1.03%	0.00%	0.34%	0.29%	0.12%	0.12%	0.23%	0.00%	0.00%	0.31%	0.12%	0.26%	0.00%	0.00%	0.00%	0.00%	2.73%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1566	96	74	128	161	174	177	89	49	16	146	198	71	33	103	14	12	25									
		21.04%	19.79%	18.97%	21.84%	23.17%	21.09%	21.40%	20.37%	22.17%	39.02%	22.88%	24.63%	18.64%	23.74%	16.99%	22.58%	9.68%	13.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	47	0	0	5	3	5	9	1	0	0	4	11	3	1	3	1	0	1									
		0.63%	0.00%	0.00%	0.85%	0.43%	0.61%	1.09%	0.23%	0.00%	0.00%	0.63%	1.37%	0.79%	0.72%	0.50%	1.61%	0.00%	0.55%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	58	6	6	7	6	12	10	1	1	0	5	1	1	0	2	0	0	0									
		0.78%	1.24%	1.54%	1.19%	0.86%	1.45%	1.21%	0.23%	0.45%	0.00%	0.78%	0.12%	0.26%	0.00%	0.33%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	0	0	1	0	1	0	1	0	0	3	1	1	0	3	0	0	0									
		0.15%	0.00%	0.00%	0.17%	0.00%	0.12%	0.00%	0.23%	0.00%	0.00%	0.47%	0.12%	0.26%	0.00%	0.50%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	72	6	6	7	11	7	7	6	0	0	7	5	3	0	4	0	2	1									
		0.97%	1.24%	1.54%	1.19%	1.58%	0.85%	0.85%	1.37%	0.00%	0.00%	1.10%	0.62%	0.79%	0.00%	0.66%	0.00%	1.61%	0.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1050	92	61	76	106	103	110	55	27	1	134	112	44	21	43	7	22	36									
		14.11%	18.97%	15.64%	12.97%	15.25%	12.48%	13.30%	12.59%	12.22%	2.44%	21.00%	13.93%	11.55%	15.11%	7.10%	11.29%	17.74%	19.67%									
