Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Курумканская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11738	1062	160	94	710	868	143	711	1653	1504	1214	503	153	773	681	328	147	634	400									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10220	970	120	70	580	780	120	630	1500	1300	1000	450	130	650	600	300	120	550	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4918	450	34	33	282	401	46	432	628	542	420	158	18	434	320	162	64	307	187									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	811	81	62	3	90	67	20	41	76	62	29	20	44	21	23	17	11	118	26									
6	Число погашенных избирательных бюллетеней	4491	439	24	34	208	312	54	157	796	696	551	272	68	195	257	121	45	125	137									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	811	81	62	3	90	67	20	41	76	62	29	20	44	21	23	17	11	118	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4897	450	34	33	282	401	46	432	628	542	420	158	18	413	320	162	64	307	187									
9	Число недействительных избирательных бюллетеней	79	5	0	0	3	1	1	3	12	13	9	3	0	9	6	5	3	3	3									
10	Число действительных избирательных бюллетеней	5629	526	96	36	369	467	65	470	692	591	440	175	62	425	337	174	72	422	210									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	25	10	10	20	25	0	20	45	35	25	10	0	15	15	10	5	15	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	122	0	0	0	4	7	0	3	40	27	25	3	0	1	11	0	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	133	5	2	2	62	2	0	6	15	5	0	2	0	2	2	3	1	21	3									
14	Число погашенных неиспользованных открепительных удостоверений	174	25	10	10	16	18	0	17	5	8	0	7	0	14	4	10	5	14	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	15	1	0	0	1	0	2	0	3	3	2	0	0	0	1	1	1	0	0									
		0.26%	0.19%	0.00%	0.00%	0.27%	0.00%	3.03%	0.00%	0.43%	0.50%	0.45%	0.00%	0.00%	0.00%	0.29%	0.56%	1.33%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	93	1	1	1	5	0	0	0	18	15	9	3	3	0	14	11	2	6	4									
		1.63%	0.19%	1.04%	2.78%	1.34%	0.00%	0.00%	0.00%	2.56%	2.48%	2.00%	1.69%	4.84%	0.00%	4.08%	6.15%	2.67%	1.41%	1.88%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	61	3	1	0	0	0	0	0	9	9	17	5	0	0	3	2	0	11	1									
		1.07%	0.56%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	1.49%	3.79%	2.81%	0.00%	0.00%	0.87%	1.12%	0.00%	2.59%	0.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3664	417	73	16	307	335	36	421	335	265	238	85	31	386	157	82	39	317	124									
		64.19%	78.53%	76.04%	44.44%	82.53%	71.58%	54.55%	89.01%	47.59%	43.87%	53.01%	47.75%	50.00%	88.94%	45.77%	45.81%	52.00%	74.59%	58.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	1	0	0	0	0	0	0	2	8	2	0	0	0	3	0	0	1	1									
		0.32%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	1.32%	0.45%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.24%	0.47%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	2	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.17%	0.45%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	224	5	5	3	3	7	0	5	19	43	35	20	3	5	34	17	6	10	4									
		3.92%	0.94%	5.21%	8.33%	0.81%	1.50%	0.00%	1.06%	2.70%	7.12%	7.80%	11.24%	4.84%	1.15%	9.91%	9.50%	8.00%	2.35%	1.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	0	0	0	0	0	1	0	6	1	2	1	1	0	0	0	0	0	0									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.85%	0.17%	0.45%	0.56%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	169	11	4	1	2	3	15	14	44	18	13	9	2	6	8	9	5	4	1									
		2.96%	2.07%	4.17%	2.78%	0.54%	0.64%	22.73%	2.96%	6.25%	2.98%	2.90%	5.06%	3.23%	1.38%	2.33%	5.03%	6.67%	0.94%	0.47%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1									
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.24%	0.47%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9	0	0	0	0	0	0	0	3	2	1	0	0	0	1	1	0	1	0									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.33%	0.22%	0.00%	0.00%	0.00%	0.29%	0.56%	0.00%	0.24%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	721	48	8	12	3	64	5	17	122	117	70	29	12	12	58	40	11	47	46									
		12.63%	9.04%	8.33%	33.33%	0.81%	13.68%	7.58%	3.59%	17.33%	19.37%	15.59%	16.29%	19.35%	2.76%	16.91%	22.35%	14.67%	11.06%	21.60%									
