Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Смирныховская 																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174					
1	"Число избирателей, внесенных в списки"	10015	1157	450	1051	1027	147	234	681	1854	1786	727	768	133					
2	"Число бюллетеней, полученных участковыми комиссиями"	10140	1360	440	1070	1000	150	500	640	1600	1700	720	820	140					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5441	615	297	478	574	108	211	315	915	995	405	404	124					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	481	96	12	77	27	5	23	41	76	23	40	61	0					
6	Число погашенных бюллетеней	4218	649	131	515	399	37	266	284	609	682	275	355	16					
7	Число бюллетеней в переносных ящиках для голосования	481	96	12	77	27	5	23	41	76	23	40	61	0					
8	Число бюллетеней в стационарных ящиках для голосования	5365	615	297	478	574	108	211	315	839	995	405	404	124					
9	Число недействительных бюллетеней	84	9	5	8	10	1	9	1	15	8	4	9	5					
10	Число действительных бюллетеней	5762	702	304	547	591	112	225	355	900	1010	441	456	119					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	20	10	20	20	10	20	20	30	30	10	10	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	74	2	2	9	11	0	3	6	12	15	7	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	1	0	4	2	0	1	0	8	5	1	2	3					
14	Число погашенных открепительных удостоверений	126	18	8	11	9	10	17	14	18	15	3	3	0					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	88	12	8	9	11	2	0	7	13	10	10	5	1					
		1.50%	1.68%	2.58%	1.62%	1.83%	1.76%	0.0%	1.96%	1.42%	0.98%	2.24%	1.07%	0.80%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	118	8	4	4	6	1	3	5	46	31	4	3	3					
		2.01%	1.12%	1.29%	0.72%	0.99%	0.88%	1.28%	1.40%	5.02%	3.04%	0.89%	0.64%	2.41%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	298	49	14	33	32	8	17	7	40	40	21	30	7					
		5.09%	6.89%	4.53%	5.94%	5.32%	7.07%	7.26%	1.96%	4.37%	3.92%	4.71%	6.45%	5.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	219	15	5	14	13	0	13	25	40	61	16	10	7					
		3.74%	2.10%	1.61%	2.52%	2.16%	0.0%	5.55%	7.02%	4.37%	5.99%	3.59%	2.15%	5.64%					
22	"5. ""За Русь Святую"""	48	3	3	0	4	2	1	0	16	9	3	7	0					
		0.82%	0.42%	0.97%	0.0%	0.66%	1.76%	0.42%	0.0%	1.74%	0.88%	0.67%	1.50%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	1	2	3	8	0	0	0	6	6	0	0	1					
		0.46%	0.14%	0.64%	0.54%	1.33%	0.0%	0.0%	0.0%	0.65%	0.58%	0.0%	0.0%	0.80%					
24	"7. ""Новый курс - Автомобильная Россия"""	26	5	1	1	5	0	1	1	0	6	5	0	1					
		0.44%	0.70%	0.32%	0.18%	0.83%	0.0%	0.42%	0.28%	0.0%	0.58%	1.12%	0.0%	0.80%					
25	"8. ""Народно-республиканская партия России"""	8	1	2	2	1	0	0	0	2	0	0	0	0					
		0.13%	0.14%	0.64%	0.36%	0.16%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	4	0	2	4	0	0	1	7	3	1	0	1					
		0.39%	0.56%	0.0%	0.36%	0.66%	0.0%	0.0%	0.28%	0.76%	0.29%	0.22%	0.0%	0.80%					
27	"10. ""Аграрная партия России"""	125	24	6	14	1	8	4	5	19	21	8	12	3					
		2.13%	3.37%	1.94%	2.52%	0.16%	7.07%	1.70%	1.40%	2.07%	2.06%	1.79%	2.58%	2.41%					
28	"11. ""Истинные патриоты России"""	7	1	0	2	1	0	0	0	3	0	0	0	0					
		0.11%	0.14%	0.0%	0.36%	0.16%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	47	4	4	4	8	0	1	4	8	7	3	4	0					
		0.80%	0.56%	1.29%	0.72%	1.33%	0.0%	0.42%	1.12%	0.87%	0.68%	0.67%	0.86%	0.0%					
30	"13. ""Демократическая партия России"""	18	2	1	0	3	0	3	1	6	1	0	1	0					
		0.30%	0.28%	0.32%	0.0%	0.49%	0.0%	1.28%	0.28%	0.65%	0.09%	0.0%	0.21%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	2	0	3	1	0	2	0	2	2	1	1	1					
		0.25%	0.28%	0.0%	0.54%	0.16%	0.0%	0.85%	0.0%	0.21%	0.19%	0.22%	0.21%	0.80%					
32	"15. ""Партия СЛОН"""	17	2	1	1	4	2	1	0	1	2	0	3	0					
		0.29%	0.28%	0.32%	0.18%	0.66%	1.76%	0.42%	0.0%	0.10%	0.19%	0.0%	0.64%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	520	53	37	57	32	10	29	51	89	110	20	23	9					
		8.89%	7.45%	11.97%	10.27%	5.32%	8.84%	12.39%	14.32%	9.72%	10.80%	4.49%	4.94%	7.25%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	5	0	0	0	0	2	1	2	1	2	1	1					
		0.25%	0.70%	0.0%	0.0%	0.0%	0.0%	0.85%	0.28%	0.21%	0.09%	0.44%	0.21%	0.80%					
35	"18. ""ЛДПР"""	1213	149	52	90	134	5	43	78	188	223	118	110	23					
		20.74%	20.95%	16.82%	16.21%	22.29%	4.42%	18.37%	21.91%	20.54%	21.90%	26.51%	23.65%	18.54%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	97	9	6	4	15	1	2	4	20	17	9	9	1					
		1.65%	1.26%	1.94%	0.72%	2.49%	0.88%	0.85%	1.12%	2.18%	1.66%	2.02%	1.93%	0.80%					
37	"20. ""Политическая партия ""Единая Россия"""	1614	196	98	149	160	40	73	107	226	281	124	136	24					
		27.60%	27.56%	31.71%	26.84%	26.62%	35.39%	31.19%	30.05%	24.69%	27.60%	27.86%	29.24%	19.35%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	4	1	1	1	0	0	1	1	1	0	0	0					
		0.17%	0.56%	0.32%	0.18%	0.16%	0.0%	0.0%	0.28%	0.10%	0.09%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	9	1	1	0	3	0	0	0	2	1	0	0	1					
		0.15%	0.14%	0.32%	0.0%	0.49%	0.0%	0.0%	0.0%	0.21%	0.09%	0.0%	0.0%	0.80%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	904	125	46	131	113	16	21	46	114	130	72	76	14					
		15.46%	17.58%	14.88%	23.60%	18.80%	14.15%	8.97%	12.92%	12.45%	12.77%	16.17%	16.34%	11.29%					
																			
41	Против всех	296	27	12	23	31	17	9	11	49	47	24	25	21					
		5.06%	3.79%	3.88%	4.14%	5.15%	15.04%	3.84%	3.08%	5.35%	4.61%	5.39%	5.37%	16.93%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
