Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Белоярская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243					
1	"Число избирателей, внесенных в список"	24354	1959	1575	702	2218	1621	485	517	209	188	116	1097	320	499	1642	299	251	283	180	174	213	1257	1205	613	170	213	945	483	1106	205	585	97	1577	183	1167					
2	Число полученных избирательных бюллетеней	23800	1850	1460	680	2367	1540	420	510	300	172	118	1080	330	500	1400	280	240	270	173	165	200	1300	1170	610	156	210	970	480	1100	196	570	100	1550	183	1150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13370	1103	765	334	928	944	245	228	108	115	78	630	174	346	965	179	101	169	121	107	83	807	657	277	105	136	597	266	511	112	364	49	848	126	792					
5	"Число избирательных бюллетеней, выданных вне помещения"	1630	93	60	47	146	68	49	62	38	48	21	66	44	20	47	57	36	24	10	24	22	9	85	107	11	22	25	18	140	31	40	17	64	9	70					
6	Число погашенных избирательных бюллетеней	8800	654	635	299	1293	528	126	220	154	9	19	384	112	134	388	44	103	77	42	34	95	484	428	226	40	52	348	196	449	53	166	34	638	48	288					
7	Число избирательных бюллетеней в переносных ящиках	1630	93	60	47	146	68	49	62	38	48	21	66	44	20	47	57	36	24	10	24	22	9	85	107	11	22	25	18	140	31	40	17	64	9	70					
8	Число бюллетеней в стационарных ящиках для голосования	13370	1103	765	334	928	944	245	228	108	115	78	630	174	346	965	179	101	169	121	107	83	807	657	277	105	136	597	266	511	112	364	49	848	126	792					
9	Число недействительных избирательных бюллетеней	192	15	3	6	12	3	3	6	0	0	0	22	5	4	21	0	1	4	2	0	4	7	7	6	0	0	16	4	16	2	0	1	15	2	5					
10	Число действительных избирательных бюллетеней	14808	1181	822	375	1062	1009	291	284	146	163	99	674	213	362	991	236	136	189	129	131	101	809	735	378	116	158	606	280	635	141	404	65	897	133	857					
11	Число полученных открепительных  удостоверений	500	40	36	14	40	30	10	10	5	4	7	20	6	10	30	6	5	6	4	4	5	25	25	13	3	4	18	10	22	4	12	3	40	4	25					
12	Число выданных открепительных удостоверений	126	8	5	5	2	1	2	0	1	4	6	14	1	0	5	0	0	0	0	0	0	6	15	9	0	0	13	1	4	2	1	0	11	1	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	182	6	7	3	7	11	11	6	1	4	0	8	2	2	10	3	6	8	2	2	0	0	13	8	8	3	5	2	4	13	17	3	0	0	7					
14	Число неиспользованных открепительных удостоверений	374	32	31	9	38	29	8	10	4	0	1	6	5	10	25	6	5	6	4	4	5	19	10	4	3	4	5	9	18	2	11	3	29	3	16					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	291	37	33	2	20	15	8	5	2	5	0	7	3	1	16	2	3	2	2	3	2	14	13	6	1	2	16	5	12	3	9	2	18	5	17					
		1.94%	3.09%	4.00%	0.52%	1.86%	1.48%	2.72%	1.72%	1.37%	3.07%	0.00%	1.01%	1.38%	0.27%	1.58%	0.85%	2.19%	1.04%	1.53%	2.29%	1.90%	1.72%	1.75%	1.56%	0.86%	1.27%	2.57%	1.76%	1.84%	2.10%	2.23%	3.03%	1.97%	3.70%	1.97%					
19	. Малышкин Олег Александрович	353	35	19	8	30	22	6	10	3	3	4	14	1	6	11	9	0	7	0	4	5	13	16	10	1	4	11	19	17	8	9	0	25	1	22					
		2.35%	2.93%	2.30%	2.10%	2.79%	2.17%	2.04%	3.45%	2.05%	1.84%	4.04%	2.01%	0.46%	1.64%	1.09%	3.81%	0.00%	3.63%	0.00%	3.05%	4.76%	1.59%	2.16%	2.60%	0.86%	2.53%	1.77%	6.69%	2.61%	5.59%	2.23%	0.00%	2.74%	0.74%	2.55%					
20	. Миронов Сергей Михайлович	104	7	8	1	10	7	1	2	1	4	0	3	3	2	9	0	3	1	0	1	1	4	3	7	1	0	1	3	7	1	0	0	5	1	7					
		0.69%	0.59%	0.97%	0.26%	0.93%	0.69%	0.34%	0.69%	0.68%	2.45%	0.00%	0.43%	1.38%	0.55%	0.89%	0.00%	2.19%	0.52%	0.00%	0.76%	0.95%	0.49%	0.40%	1.82%	0.86%	0.00%	0.16%	1.06%	1.08%	0.70%	0.00%	0.00%	0.55%	0.74%	0.81%					
21	. Путин Владимир Владимирович	12620	986	668	326	911	860	251	237	125	139	82	550	173	328	863	202	104	165	115	121	78	707	628	331	104	121	527	222	530	117	356	56	766	114	757					
		84.13%	82.44%	80.97%	85.56%	84.82%	84.98%	85.37%	81.72%	85.62%	85.28%	82.83%	79.02%	79.36%	89.62%	85.28%	85.59%	75.91%	85.49%	87.79%	92.37%	74.29%	86.64%	84.64%	86.20%	89.66%	76.58%	84.73%	78.17%	81.41%	81.82%	88.12%	84.85%	83.99%	84.44%	87.82%					
22	. Хакамада Ирина Муцуовна	271	26	20	6	8	22	10	6	4	6	5	11	0	2	25	2	8	2	3	0	5	9	11	2	4	6	10	4	13	3	7	1	13	3	14					
		1.81%	2.17%	2.42%	1.57%	0.74%	2.17%	3.40%	2.07%	2.74%	3.68%	5.05%	1.58%	0.00%	0.55%	2.47%	0.85%	5.84%	1.04%	2.29%	0.00%	4.76%	1.10%	1.48%	0.52%	3.45%	3.80%	1.61%	1.41%	2.00%	2.10%	1.73%	1.52%	1.43%	2.22%	1.62%					
23	. Харитонов Николай Михайлович	918	66	61	29	71	74	13	18	9	4	8	72	30	19	39	12	13	8	8	2	7	35	56	16	2	21	32	19	49	9	21	3	56	9	27					
		6.12%	5.52%	7.39%	7.61%	6.61%	7.31%	4.42%	6.21%	6.16%	2.45%	8.08%	10.34%	13.76%	5.19%	3.85%	5.08%	9.49%	4.15%	6.11%	1.53%	6.67%	4.29%	7.55%	4.17%	1.72%	13.29%	5.14%	6.69%	7.53%	6.29%	5.20%	4.55%	6.14%	6.67%	3.13%					
																																									
24	Против всех	251	24	13	3	12	9	2	6	2	2	0	17	3	4	28	9	5	4	1	0	3	27	8	6	3	4	9	8	7	0	2	3	14	0	13					
		1.67%	2.01%	1.58%	0.79%	1.12%	0.89%	0.68%	2.07%	1.37%	1.23%	0.00%	2.44%	1.38%	1.09%	2.77%	3.81%	3.65%	2.07%	0.76%	0.00%	2.86%	3.31%	1.08%	1.56%	2.59%	2.53%	1.45%	2.82%	1.08%	0.00%	0.50%	4.55%	1.54%	0.00%	1.51%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
