Выборы Президента Российской Федерации																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Пермь, Мотовилихинская"																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274					
1	"Число избирателей, внесенных в список"	133764	1899	2361	1053	1635	1790	1408	1220	1889	1313	1395	1434	1949	1729	1775	1510	1622	2128	1778	2219	2233	2770	2307	1879	2020	2459	2110	2663	2635	2406	2555	2373	2717	2477	2414	2675	1437	2112	343	817	1119	1607	1544	1345	1155	2165	2193	1889	2387	2231	2297	1010	1285	628	2545	2353	2230	1545	1446	902	2197	1657	805	482	2643	2791	2526	2140	2324	1700	2324	1897	333	388	172					
2	Число полученных избирательных бюллетеней	122300	1750	2200	950	1500	1600	1300	1100	1700	1200	1250	1300	1750	1600	1650	1400	1350	1950	1650	2050	2000	2500	2100	1750	1850	2250	1950	2400	2400	2100	2350	2150	2450	2250	2250	2450	1300	1800	350	750	1000	1450	1400	1150	1050	2000	2000	1750	2200	2050	2150	900	1200	600	2300	2150	2050	1450	1350	850	2000	1500	750	500	2350	2500	2300	2000	2150	1600	2150	1800	400	400	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	75058	1082	1347	631	923	1007	816	719	1090	789	714	876	1102	993	1000	768	953	1225	1014	1280	1282	1663	1401	1116	1151	1381	1186	1548	1457	1445	1407	1282	1626	1464	1314	1556	725	1066	228	328	516	809	727	692	639	1268	1282	1052	1173	1348	1242	544	514	301	1297	1346	1269	748	628	459	1034	718	481	300	1692	1770	1423	1304	1277	985	1360	1020	333	380	172					
5	"Число избирательных бюллетеней, выданных вне помещения"	4118	77	143	30	51	47	42	54	76	55	51	54	33	47	58	56	59	17	67	51	32	46	59	60	53	61	28	72	57	34	41	34	32	37	53	58	61	136	20	54	74	97	62	19	28	19	75	87	72	55	56	77	196	44	56	42	48	46	128	30	70	115	42	88	54	41	86	58	32	28	62	35	0	0	0					
6	Число погашенных избирательных бюллетеней	43124	591	710	289	526	546	442	327	534	356	485	370	615	560	592	576	338	708	569	719	686	791	640	574	646	808	736	780	886	621	902	834	792	749	883	836	514	598	102	368	410	544	611	439	383	713	643	611	955	647	852	279	490	255	947	762	733	656	594	361	896	667	227	112	604	689	791	638	841	587	728	745	67	20	28					
7	Число избирательных бюллетеней в переносных ящиках	4118	77	143	30	51	47	42	54	76	55	51	54	33	47	58	56	59	17	67	51	32	46	59	60	53	61	28	72	57	34	41	34	32	37	53	58	61	136	20	54	74	97	62	19	28	19	75	87	72	55	56	77	196	44	56	42	48	46	128	30	70	115	42	88	54	41	86	58	32	28	62	35	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	74960	1082	1347	631	921	1007	815	719	1090	789	714	876	1102	993	1000	768	953	1224	1014	1272	1282	1658	1400	1116	1151	1381	1186	1498	1457	1445	1407	1277	1626	1463	1313	1554	725	1066	228	328	516	809	720	691	639	1266	1282	1051	1168	1348	1242	544	514	301	1297	1346	1268	748	626	459	1034	718	480	300	1692	1770	1423	1304	1276	985	1360	1020	333	380	172					
9	Число недействительных избирательных бюллетеней	721	7	19	9	9	6	10	14	9	4	5	1	10	8	11	7	9	11	4	19	17	14	18	6	9	9	6	7	12	17	11	15	12	14	6	8	3	9	0	2	4	9	11	9	10	8	11	7	7	11	14	8	12	1	20	14	15	11	18	3	26	12	10	3	16	10	14	10	6	3	12	12	8	8	1					
10	Число действительных избирательных бюллетеней	78357	1152	1471	652	963	1048	847	759	1157	840	760	929	1125	1032	1047	817	1003	1230	1077	1304	1297	1690	1441	1170	1195	1433	1208	1563	1502	1462	1437	1296	1646	1486	1360	1604	783	1193	248	380	586	897	771	701	657	1277	1346	1131	1233	1392	1284	613	698	344	1333	1374	1301	783	736	486	1078	821	512	385	1730	1801	1495	1352	1302	1010	1410	1043	325	372	171					
11	Число полученных открепительных  удостоверений	4260	50	70	30	50	50	50	40	60	40	30	60	100	60	50	30	70	60	60	80	60	90	60	50	60	70	60	80	90	80	80	60	100	70	60	80	50	60	10	30	50	50	50	50	30	80	70	60	80	70	70	50	40	20	70	80	50	50	30	30	50	40	30	60	90	80	80	80	70	100	80	80	0	0	0					
12	Число выданных открепительных удостоверений	2050	23	56	14	17	28	22	17	28	10	14	20	64	28	40	18	30	28	22	42	21	41	20	19	34	42	39	28	40	40	47	39	44	31	33	37	21	28	4	2	13	19	10	21	14	43	37	32	37	46	35	18	17	9	25	41	27	15	16	7	12	22	14	60	55	37	28	40	27	70	33	39	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1596	28	35	19	17	24	13	26	22	15	26	16	33	18	11	11	45	18	14	33	24	22	32	12	17	12	20	17	12	28	17	22	24	26	14	17	11	44	7	9	3	23	26	16	11	15	17	11	15	21	18	16	12	22	30	16	17	7	16	15	12	35	15	33	26	22	11	20	8	17	26	22	32	128	51					
14	Число неиспользованных открепительных удостоверений	2210	27	14	16	33	22	28	23	32	30	16	40	36	32	10	12	40	32	38	38	39	49	40	31	26	28	21	52	50	40	33	21	56	39	27	43	29	32	6	28	37	31	40	29	16	37	33	28	43	24	35	32	23	11	45	39	23	35	14	23	38	18	16	0	35	43	52	40	43	30	47	41	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	130	1	2	0	2	1	2	1	0	0	0	0	0	2	1	0	1	2	1	0	3	1	0	1	1	8	1	2	0	0	3	3	4	3	1	4	0	0	0	1	1	6	0	3	1	4	1	3	2	2	1	0	0	0	1	1	2	1	0	0	1	0	0	39	5	1	0	1	1	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																	
18	. Глазьев Сергей Юрьевич	3923	59	69	43	48	56	40	28	62	52	42	39	48	52	79	27	55	73	52	83	55	78	82	62	74	69	56	95	80	76	72	72	89	96	77	91	37	91	10	12	46	22	39	24	36	90	72	39	72	66	50	24	33	20	76	60	57	34	32	16	39	44	12	19	76	82	79	57	62	38	66	28	13	13	6					
		4.96%	5.09%	4.63%	6.51%	4.94%	5.31%	4.67%	3.62%	5.32%	6.16%	5.49%	4.19%	4.23%	5.00%	7.47%	3.28%	5.43%	5.88%	4.81%	6.27%	4.19%	4.58%	5.62%	5.27%	6.15%	4.79%	4.61%	6.05%	5.28%	5.14%	4.97%	5.49%	5.37%	6.40%	5.64%	5.65%	4.71%	7.57%	4.03%	3.14%	7.80%	2.43%	4.99%	3.38%	5.40%	7.00%	5.31%	3.43%	5.81%	4.70%	3.85%	3.86%	4.65%	5.80%	5.62%	4.32%	4.33%	4.28%	4.24%	3.27%	3.53%	5.28%	2.30%	4.90%	4.35%	4.53%	5.24%	4.19%	4.74%	3.75%	4.64%	2.65%	3.90%	3.42%	3.49%					
19	. Малышкин Олег Александрович	1412	17	21	3	19	11	15	10	14	12	17	20	22	18	20	10	18	30	16	29	15	29	25	17	15	19	22	29	23	14	17	26	22	16	31	30	8	10	8	12	12	28	20	22	25	20	27	15	38	32	23	16	18	13	15	25	23	24	18	16	22	13	18	16	31	29	29	23	25	17	21	20	1	3	4					
		1.79%	1.47%	1.41%	0.45%	1.95%	1.04%	1.75%	1.29%	1.20%	1.42%	2.22%	2.15%	1.94%	1.73%	1.89%	1.21%	1.78%	2.42%	1.48%	2.19%	1.14%	1.70%	1.71%	1.45%	1.25%	1.32%	1.81%	1.85%	1.52%	0.95%	1.17%	1.98%	1.33%	1.07%	2.27%	1.86%	1.02%	0.83%	3.23%	3.14%	2.03%	3.09%	2.56%	3.10%	3.75%	1.56%	1.99%	1.32%	3.06%	2.28%	1.77%	2.58%	2.54%	3.77%	1.11%	1.80%	1.75%	3.02%	2.39%	3.27%	1.99%	1.56%	3.45%	4.12%	1.78%	1.60%	1.92%	1.69%	1.91%	1.68%	1.48%	1.90%	0.30%	0.79%	2.33%					
20	. Миронов Сергей Михайлович	1119	17	22	7	16	20	9	11	20	10	10	7	11	12	9	9	19	16	12	23	31	20	26	21	26	23	23	31	21	27	14	10	13	14	25	18	5	10	3	4	4	10	9	4	5	20	22	21	25	22	22	5	11	7	24	15	19	13	5	4	12	10	3	3	32	28	21	31	23	23	15	8	5	11	2					
		1.42%	1.47%	1.48%	1.06%	1.65%	1.90%	1.05%	1.42%	1.72%	1.18%	1.31%	0.75%	0.97%	1.15%	0.85%	1.09%	1.88%	1.29%	1.11%	1.74%	2.36%	1.17%	1.78%	1.79%	2.16%	1.60%	1.89%	1.97%	1.39%	1.83%	0.97%	0.76%	0.78%	0.93%	1.83%	1.12%	0.64%	0.83%	1.21%	1.05%	0.68%	1.10%	1.15%	0.56%	0.75%	1.56%	1.62%	1.85%	2.02%	1.57%	1.69%	0.81%	1.55%	2.03%	1.77%	1.08%	1.44%	1.64%	0.66%	0.82%	1.09%	1.20%	0.57%	0.77%	1.83%	1.55%	1.39%	2.28%	1.76%	2.27%	1.05%	0.76%	1.50%	2.89%	1.16%					
21	. Путин Владимир Владимирович	55631	810	998	456	662	678	588	551	829	580	555	663	827	745	686	609	710	849	747	876	906	1157	1030	817	865	1020	801	1080	1070	1041	990	913	1177	1047	987	1107	561	837	197	283	413	643	496	547	470	849	939	835	882	975	908	475	505	266	973	987	893	572	554	339	821	598	381	283	1245	1258	1093	984	955	734	1030	789	249	264	121					
