Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Лермонтовская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, внесенных в списки избирателей"	19208	2236	1974	1914	1985	2141	2546	2272	2140	2000					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16460	1910	1680	1640	1690	1830	2180	1950	1870	1710					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10424	1212	1018	1074	1112	1174	1343	1228	1240	1023					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	601	98	70	51	45	75	55	63	58	86					
6	Число погашенных избирательных бюллетеней	5435	600	592	515	533	581	782	659	572	601					
7	Число избирательных бюллетеней в переносных ящиках для голосования	601	98	70	51	45	75	55	63	58	86					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10424	1212	1018	1074	1112	1174	1343	1228	1240	1023					
9	Число недействительных избирательных бюллетеней	114	15	15	13	13	11	2	15	18	12					
10	Число действительных избирательных бюллетеней	10911	1295	1073	1112	1144	1238	1396	1276	1280	1097					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	297	33	33	33	33	33	33	33	33	33					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	111	13	6	10	7	15	12	18	20	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	102	7	7	4	7	22	9	10	32	4					
14	Число погашенных неиспользованных открепительных удостоверений	186	20	27	23	26	18	21	15	13	23					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	1	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	201	34	23	25	18	27	25	16	18	15					
		1.82%	2.60%	2.11%	2.22%	1.56%	2.16%	1.79%	1.24%	1.39%	1.35%					
19	2.Всероссийская политическая партия «Гражданская Сила»	96	14	14	5	14	11	9	13	9	7					
		0.87%	1.07%	1.29%	0.44%	1.21%	0.88%	0.64%	1.01%	0.69%	0.63%					
20	3.Политическая партия «Демократическая партия России»	15	4	2	1	0	2	1	1	1	3					
		0.14%	0.31%	0.18%	0.09%	0.00%	0.16%	0.07%	0.08%	0.08%	0.27%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1575	176	198	153	175	208	193	161	146	165					
		14.29%	13.44%	18.20%	13.60%	15.13%	16.65%	13.81%	12.47%	11.25%	14.88%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	56	8	9	5	8	5	7	9	2	3					
		0.51%	0.61%	0.83%	0.44%	0.69%	0.40%	0.50%	0.70%	0.15%	0.27%					
23	6.Политическая партия «Партия социальной справедливости»	24	3	2	3	1	4	3	4	2	2					
		0.22%	0.23%	0.18%	0.27%	0.09%	0.32%	0.21%	0.31%	0.15%	0.18%					
24	7.Политическая партия «Либерально-демократическая партия России»	760	87	70	87	83	82	114	99	75	63					
		6.89%	6.64%	6.43%	7.73%	7.17%	6.57%	8.15%	7.67%	5.78%	5.68%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2104	226	222	273	223	224	266	228	182	260					
		19.08%	17.25%	20.40%	24.27%	19.27%	17.93%	19.03%	17.66%	14.02%	23.44%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	82	10	10	4	8	18	4	9	9	10					
		0.74%	0.76%	0.92%	0.36%	0.69%	1.44%	0.29%	0.70%	0.69%	0.90%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5879	726	512	544	602	637	751	724	823	560					
		53.32%	55.42%	47.06%	48.36%	52.03%	51.00%	53.72%	56.08%	63.41%	50.50%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	119	7	11	12	12	20	23	12	13	9					
		1.08%	0.53%	1.01%	1.07%	1.04%	1.60%	1.65%	0.93%	1.00%	0.81%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
