Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Зерноградская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48568	829	335	364	425	149	195	2016	138	272	336	381	1390	328	128	528	510	777	234	321	407	2149	1027	2835	1114	1387	1476	1109	1157	1131	1411	304	1056	251	1831	2265	1116	666	802	1785	174	98	1178	240	379	639	234	192	205	235	204	169	1525	242	1593	1080	1973	1248	819	350	451	227	178									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41400	700	300	300	350	150	200	1600	125	200	250	350	1100	300	125	500	500	700	225	300	400	2150	800	2850	900	1000	1200	850	1100	1100	1425	300	800	250	1350	1700	1000	650	750	1400	150	100	1000	225	350	500	225	175	200	225	200	175	1200	250	1200	850	1500	950	650	300	350	200	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18889	457	162	86	144	49	50	852	71	87	119	149	540	107	72	130	180	321	125	132	133	788	283	854	434	456	533	303	442	428	538	120	390	166	787	1017	442	222	288	692	82	62	662	136	226	269	141	116	107	124	125	108	693	132	535	345	682	375	364	109	166	73	108									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1840	44	10	38	25	5	36	121	5	29	27	34	41	15	5	0	18	5	7	11	12	28	15	63	32	21	52	9	22	27	21	10	9	25	10	4	0	95	35	97	4	0	76	26	30	53	12	3	22	21	8	12	83	13	36	29	70	51	85	52	36	32	23									
6	Число погашенных избирательных бюллетеней	20671	199	128	176	181	96	114	627	49	84	104	167	519	178	48	370	302	374	93	157	255	1334	502	1933	434	523	615	538	636	645	866	170	401	59	553	679	558	333	427	611	64	38	262	63	94	178	72	56	71	80	67	55	424	105	629	476	748	524	201	139	148	95	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1840	44	10	38	25	5	36	121	5	29	27	34	41	15	5	0	18	5	7	11	12	28	15	63	32	21	52	9	22	27	21	10	9	25	10	4	0	95	35	97	4	0	76	26	30	53	12	3	22	21	8	12	83	13	36	29	70	51	85	52	36	32	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18887	457	162	86	144	49	50	851	71	87	119	149	539	107	72	130	180	321	125	132	133	788	283	854	434	456	533	303	442	428	538	120	390	166	787	1017	442	222	288	692	82	62	662	136	226	269	141	116	107	124	125	108	693	132	535	345	682	375	364	109	166	73	108									
9	Число недействительных избирательных бюллетеней	546	16	4	3	4	0	3	23	1	3	4	1	13	5	1	6	9	9	7	13	4	17	8	20	23	10	40	13	13	13	25	2	7	0	20	40	11	9	4	16	4	0	10	6	5	6	2	0	1	3	0	6	14	0	19	9	21	9	0	2	8	1	0									
10	Число действительных избирательных бюллетеней	20181	485	168	121	165	54	83	949	75	113	142	182	567	117	76	124	189	317	125	130	141	799	290	897	443	467	545	299	451	442	534	128	392	191	777	981	431	308	319	773	82	62	728	156	251	316	151	119	128	142	133	114	762	145	552	365	731	417	449	159	194	104	131									
