Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Куркинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8627	2155	2158	451	328	336	263	316	231	432	431	339	565	313	309									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8180	2000	2000	420	320	320	260	300	230	430	410	330	550	320	290									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4638	1006	1238	250	218	206	156	197	114	243	268	199	331	132	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1362	106	163	148	61	24	45	96	84	132	125	94	103	86	95									
6	Число погашенных избирательных бюллетеней	2180	888	599	22	41	90	59	7	32	55	17	37	116	102	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1362	106	163	148	61	24	45	96	84	132	125	94	103	86	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4638	1006	1238	250	218	206	156	197	114	243	268	199	331	132	80									
9	Число недействительных избирательных бюллетеней	55	10	26	4	0	0	0	1	1	1	1	5	2	3	1									
10	Число действительных избирательных бюллетеней	5945	1102	1375	394	279	230	201	292	197	374	392	288	432	215	174									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	195	54	50	6	10	5	5	5	10	10	5	10	10	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	195	54	50	6	10	5	5	5	10	10	5	10	10	5	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	16	12	3	7	1	2	0	3	1	3	0	10	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	21	10	0	1	0	2	3	1	3	0	1	1	12	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	12	8	1	2	0	1	0	1	4	5	2	8	1	2									
		0.78%	1.08%	0.57%	0.25%	0.72%	0.00%	0.50%	0.00%	0.51%	1.07%	1.27%	0.68%	1.84%	0.46%	1.14%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	121	23	35	5	7	5	1	8	4	3	7	6	13	1	3									
		2.02%	2.07%	2.50%	1.26%	2.51%	2.17%	0.50%	2.73%	2.02%	0.80%	1.78%	2.05%	2.99%	0.46%	1.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	111	20	34	9	2	4	2	4	1	3	13	7	8	2	2									
		1.85%	1.80%	2.43%	2.26%	0.72%	1.74%	0.99%	1.37%	0.51%	0.80%	3.31%	2.39%	1.84%	0.92%	1.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3976	642	933	321	205	118	182	217	158	261	225	207	249	154	104									
		66.27%	57.73%	66.60%	80.65%	73.48%	51.30%	90.55%	74.06%	79.80%	69.60%	57.25%	70.65%	57.37%	70.64%	59.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	62	6	12	0	2	1	1	0	0	5	20	2	3	5	5									
		1.03%	0.54%	0.86%	0.00%	0.72%	0.43%	0.50%	0.00%	0.00%	1.33%	5.09%	0.68%	0.69%	2.29%	2.86%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	1	0	0	0	0	0	1	1	4	1	1	0	0									
		0.17%	0.09%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.27%	1.02%	0.34%	0.23%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	770	154	137	32	23	66	8	35	15	61	65	39	83	25	27									
		12.83%	13.85%	9.78%	8.04%	8.24%	28.70%	3.98%	11.95%	7.58%	16.27%	16.54%	13.31%	19.12%	11.47%	15.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	3	0	0	2	0	0	0	0	1	6	1	1	0	0									
		0.23%	0.27%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.27%	1.53%	0.34%	0.23%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	7	4	2	1	0	0	0	0	1	6	0	0	0	0									
		0.35%	0.63%	0.29%	0.50%	0.36%	0.00%	0.00%	0.00%	0.00%	0.27%	1.53%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	1	1	0	0	1	1	1	0	1	1	0	0									
		0.12%	0.00%	0.00%	0.25%	0.36%	0.00%	0.00%	0.34%	0.51%	0.27%	0.00%	0.34%	0.23%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	9	9	2	0	1	0	1	1	2	2	0	1	1	1									
		0.50%	0.81%	0.64%	0.50%	0.00%	0.43%	0.00%	0.34%	0.51%	0.53%	0.51%	0.00%	0.23%	0.46%	0.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	687	194	185	19	28	34	5	24	15	23	35	22	58	21	24									
		11.45%	17.45%	13.20%	4.77%	10.04%	14.78%	2.49%	8.19%	7.58%	6.13%	8.91%	7.51%	13.36%	9.63%	13.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	4	3	0	2	0	0	1	0	0	2	0	0	0	2									
		0.23%	0.36%	0.21%	0.00%	0.72%	0.00%	0.00%	0.34%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	1.14%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	75	27	14	2	4	1	1	1	0	8	2	0	6	5	4									
		1.25%	2.43%	0.99%	0.50%	1.43%	0.43%	0.50%	0.34%	0.00%	2.13%	0.51%	0.00%	1.38%	2.29%	2.29%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
