Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																								
Дата голосования: 02.12.2007																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Прикубанская г.Краснодара																																																																																								
																																																																																								
Сводная таблица результатов выборов																																																																																								
																																																																																								
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2296	УИК №2297	УИК №2298	УИК №2299					
1	"Число избирателей, внесенных в списки избирателей"	181188	2463	2853	391	1777	2458	2009	2577	2284	3525	2779	2163	1913	3682	1957	2640	2120	2195	1864	3106	2819	2891	1362	911	2786	1916	1815	3542	1298	1776	2761	2770	3187	2510	3262	2465	2452	2349	2700	2171	2228	2160	1838	2242	1990	2509	1973	2084	2014	1823	1997	2351	2614	2352	2327	2500	2312	2497	2860	2628	2548	2482	2987	2874	2103	1803	2095	2730	2619	2077	1259	2273	2507	1195	3144	1122	2787	2433	514	242	452	1144					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	167030	2300	2550	300	1650	2350	1850	2400	2250	3000	2650	2000	1800	3000	1750	2450	1850	2050	1750	2850	2650	2650	1300	800	2900	1850	1750	2500	1200	1650	2650	2450	2950	2300	3000	2400	2350	2250	2600	2100	2150	2050	2000	1900	1850	2150	1900	1950	1950	1800	2000	2100	2400	2200	2200	2100	1850	2540	2700	2350	2350	2350	2900	2600	1950	1700	2000	2550	2450	2000	1150	2150	2000	950	2900	1100	2250	2150	525	200	446	1119					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	110893	1629	1788	269	926	1578	1183	1554	1274	2255	1693	1616	1089	2265	998	1542	1136	1347	1214	1814	1610	1760	789	577	1838	1109	1114	1928	792	914	1815	1990	1820	1440	2589	1323	1538	1491	1699	1389	1399	1284	1336	1439	1219	1387	1164	1264	1195	1130	1226	1475	1526	1421	1326	1498	1223	2236	1766	1476	1500	1395	1692	1684	1228	1058	1189	1598	1487	1402	841	1015	1458	693	2779	639	1515	1421	344	183	433	654					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4627	17	20	7	122	42	48	46	133	13	20	22	42	22	47	21	24	41	38	33	56	34	20	45	129	27	82	151	34	69	6	38	81	75	23	48	39	30	36	47	39	45	32	56	35	38	43	36	64	71	33	15	70	75	67	25	290	0	44	51	52	114	47	47	60	48	52	88	66	37	15	150	0	161	0	81	82	45	154	0	13	358					
6	Число погашенных избирательных бюллетеней	51510	654	742	24	602	730	619	800	843	732	937	362	669	713	705	887	690	662	498	1003	984	856	491	178	933	714	554	421	374	667	829	422	1049	785	388	1029	773	729	865	664	712	721	632	405	596	725	693	650	691	599	741	610	804	704	807	577	337	304	890	823	798	841	1161	869	662	594	759	864	897	561	294	985	542	96	121	380	653	684	27	17	0	107					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4627	17	20	7	122	42	48	46	133	13	20	22	42	22	47	21	24	41	38	33	56	34	20	45	129	27	82	151	34	69	6	38	81	75	23	48	39	30	36	47	39	45	32	56	35	38	43	36	64	71	33	15	70	75	67	25	290	0	44	51	52	114	47	47	60	48	52	88	66	37	15	150	0	161	0	81	82	45	154	0	13	358					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	110707	1629	1786	267	926	1578	1183	1554	1274	2255	1693	1614	1089	2257	998	1542	1136	1347	1214	1812	1610	1760	789	577	1838	1109	1114	1928	792	914	1814	1990	1820	1440	2581	1323	1537	1491	1699	1389	1399	1284	1336	1439	1219	1387	1164	1264	1189	1130	1226	1475	1526	1421	1326	1498	1223	2228	1758	1470	1500	1395	1692	1684	1168	1058	1179	1596	1487	1402	841	1015	1416	693	2766	639	1512	1419	344	183	433	654					
9	Число недействительных избирательных бюллетеней	2207	18	19	14	24	37	20	28	45	47	56	19	15	28	9	32	10	15	36	29	38	24	16	13	34	36	28	27	18	12	17	36	41	34	56	21	19	54	40	38	17	33	79	41	26	31	13	4	22	10	26	16	45	34	32	33	29	39	27	20	37	21	23	30	29	28	25	38	32	23	23	17	13	9	42	23	26	25	15	4	21	23					
10	Число действительных избирательных бюллетеней	113127	1628	1787	260	1024	1583	1211	1572	1362	2221	1657	1617	1116	2251	1036	1531	1150	1373	1216	1816	1628	1770	793	609	1933	1100	1168	2052	808	971	1803	1992	1860	1481	2548	1350	1557	1467	1695	1398	1421	1296	1289	1454	1228	1394	1194	1296	1231	1191	1233	1474	1551	1462	1361	1490	1484	2189	1775	1501	1515	1488	1716	1701	1199	1078	1206	1646	1521	1416	833	1148	1403	845	2724	697	1568	1439	483	179	425	989					
