Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
"Наименование Избирательной комиссии:    Самара, Октябрьская"																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906					
1	"Число избирателей, внесенных в список избирателей"	99432	2797	2481	2071	1948	2511	2398	2475	2365	2388	1943	1938	2244	1995	2715	2089	1404	1972	2041	2562	2595	2793	2709	2147	2926	3105	3622	2924	2637	2617	3759	2252	1683	1525	2614	2135	2435	2549	2251	2112	2867	2838					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85409	2509	2300	2000	1700	3000	2000	2300	2200	2100	1800	1800	2000	1700	2200	1800	1300	1700	1800	2200	2200	3000	2300	1500	2500	2500	2500	2500	2000	2000	2000	2000	1300	1200	2300	2000	2000	2200	2000	1800	2600	2600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49958	1484	1431	1169	1163	739	1437	1341	1382	1453	1195	1082	1263	1143	1202	1203	710	1005	1044	1390	1254	1932	1233	1004	1540	1376	1540	1523	1306	1330	1159	1116	843	717	1205	1033	1158	1103	1014	1030	1318	1388					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5072	231	127	117	39	1191	51	86	105	101	102	29	60	132	33	148	165	63	80	17	64	646	103	50	93	69	136	72	118	80	97	134	56	29	35	95	35	58	87	14	31	93					
6	Число погашенных избирательных бюллетеней	30397	794	742	714	498	1070	512	873	713	546	503	689	677	425	965	449	425	632	676	793	882	422	979	446	867	1055	824	905	576	590	744	750	401	454	1060	872	807	1039	902	756	1251	1119					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5068	229	127	117	39	1190	51	86	105	100	102	29	60	132	33	148	165	63	80	17	64	646	103	50	93	69	136	72	118	80	97	134	56	29	35	95	35	58	87	14	31	93					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49669	1483	1429	1169	1121	738	1437	1341	1371	1453	1195	1082	1263	1143	1202	1203	707	1005	1043	1383	1254	1932	1147	1004	1540	1373	1540	1451	1292	1330	1158	1116	843	717	1170	1032	1158	1103	1008	1030	1318	1385					
9	Число недействительных избирательных бюллетеней	1268	35	51	12	22	18	30	32	29	21	58	13	37	52	21	22	17	28	23	31	34	7	105	22	20	24	23	23	40	20	24	29	17	17	20	15	26	31	16	131	47	25					
10	Число действительных избирательных бюллетеней	53469	1677	1505	1274	1138	1910	1458	1395	1447	1532	1239	1098	1286	1223	1214	1329	855	1040	1100	1369	1284	2571	1145	1032	1613	1418	1653	1500	1370	1390	1231	1221	882	729	1185	1112	1167	1130	1079	913	1302	1453					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1525	40	31	25	25	33	32	40	45	46	29	20	25	45	35	40	27	30	45	45	55	20	45	25	44	39	60	35	52	43	35	30	25	35	50	32	40	50	27	25	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1499	40	30	25	25	32	32	40	45	46	29	20	25	37	35	40	26	30	45	43	55	20	44	25	44	39	57	35	52	43	35	28	24	33	48	31	40	50	27	24	50	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2005	31	43	32	45	46	52	51	86	47	30	25	41	40	26	37	45	37	55	32	38	35	56	54	40	66	30	38	42	32	22	259	58	44	33	48	44	23	52	111	46	33					
14	Число погашенных неиспользованных открепительных удостоверений	25	0	1	0	0	1	0	0	0	0	0	0	0	8	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	2	1	2	2	1	0	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	272	8	2	5	3	4	1	9	6	4	7	4	11	11	6	5	9	8	2	8	8	4	15	2	11	6	11	7	2	6	6	9	3	3	17	6	5	12	3	5	11	7					
16	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0					
																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7902	277	214	185	190	160	240	235	256	238	163	179	192	186	179	159	112	200	184	208	217	330	188	118	259	212	249	160	191	202	164	135	145	96	161	152	216	214	173	139	190	234					
		14.44%	16.18%	13.75%	14.39%	16.38%	8.30%	16.13%	16.47%	17.34%	15.33%	12.57%	16.11%	14.51%	14.59%	14.49%	11.77%	12.84%	18.73%	16.38%	14.86%	16.46%	12.80%	15.04%	11.20%	15.86%	14.70%	14.86%	10.51%	13.55%	14.33%	13.07%	10.80%	16.13%	12.87%	13.36%	13.49%	18.11%	18.43%	15.80%	13.31%	14.08%	15.83%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8344	244	177	132	131	148	156	187	138	157	131	148	124	121	201	208	145	158	145	240	193	509	185	208	254	264	387	250	236	286	292	172	162	122	236	187	229	188	193	171	283	246					
		15.24%	14.25%	11.38%	10.26%	11.29%	7.68%	10.48%	13.10%	9.35%	10.11%	10.10%	13.32%	9.37%	9.49%	16.28%	15.40%	16.63%	14.79%	12.91%	17.14%	14.64%	19.74%	14.80%	19.73%	15.55%	18.31%	23.09%	16.41%	16.74%	20.28%	23.27%	13.76%	18.02%	16.35%	19.59%	16.59%	19.20%	16.19%	17.63%	16.38%	20.98%	16.64%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	694	20	17	21	12	7	26	15	22	18	12	13	17	15	23	16	27	12	19	29	15	39	11	22	21	15	14	12	19	23	10	15	12	5	25	11	16	13	12	12	15	16					
		1.27%	1.17%	1.09%	1.63%	1.03%	0.36%	1.75%	1.05%	1.49%	1.16%	0.93%	1.17%	1.28%	1.18%	1.86%	1.18%	3.10%	1.12%	1.69%	2.07%	1.14%	1.51%	0.88%	2.09%	1.29%	1.04%	0.84%	0.79%	1.35%	1.63%	0.80%	1.20%	1.33%	0.67%	2.07%	0.98%	1.34%	1.12%	1.10%	1.15%	1.11%	1.08%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14512	490	482	350	345	291	564	396	444	516	362	360	521	359	392	326	224	314	320	415	434	612	285	338	411	327	393	265	319	364	338	195	216	187	293	296	309	301	235	162	351	410					
		26.51%	28.62%	30.98%	27.22%	29.74%	15.09%	37.90%	27.75%	30.08%	33.23%	27.91%	32.40%	39.38%	28.16%	31.74%	24.13%	25.69%	29.40%	28.50%	29.64%	32.93%	23.74%	22.80%	32.07%	25.17%	22.68%	23.45%	17.40%	22.62%	25.82%	26.93%	15.60%	24.03%	25.07%	24.32%	26.26%	25.90%	25.93%	21.46%	15.52%	26.02%	27.74%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4879	225	189	154	171	115	185	158	154	191	117	132	166	133	136	102	82	98	93	87	102	149	108	75	167	169	128	115	103	108	66	111	56	79	84	84	84	78	98	39	85	103					
		8.91%	13.14%	12.15%	11.98%	14.74%	5.96%	12.43%	11.07%	10.43%	12.30%	9.02%	11.88%	12.55%	10.43%	11.01%	7.55%	9.40%	9.18%	8.28%	6.21%	7.74%	5.78%	8.64%	7.12%	10.23%	11.72%	7.64%	7.55%	7.30%	7.66%	5.26%	8.88%	6.23%	10.59%	6.97%	7.45%	7.04%	6.72%	8.95%	3.74%	6.30%	6.97%					
