Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Моршанская																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262					
1	"Число избирателей, внесенных в список"	27900	1032	823	96	397	307	260	270	343	293	140	609	342	361	542	701	297	137	267	128	390	132	232	633	492	1096	1154	1344	232	399	1033	408	387	655	420	81	123	395	190	108	70	94	177	90	777	536	330	294	473	600	55	347	1239	1104	512	1014	1044	370	115	513	388	178	331					
2	Число полученных избирательных бюллетеней	28885	1000	900	140	440	330	270	260	350	300	140	600	340	360	540	730	320	140	270	130	390	130	230	650	510	1100	1180	1380	240	390	1020	450	400	650	420	80	120	400	190	110	80	100	180	115	800	610	430	320	510	650	70	350	1230	1270	540	1070	1050	370	120	500	390	180	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15442	755	492	50	239	175	218	185	223	172	81	432	159	131	365	397	182	62	87	67	192	58	96	368	270	606	574	616	149	217	654	202	230	307	190	25	60	228	89	45	41	49	119	40	376	261	239	185	258	356	1	223	683	620	378	466	508	226	77	276	239	79	94					
5	"Число избирательных бюллетеней, выданных вне помещения"	6840	155	167	46	98	95	0	66	74	96	56	91	126	188	102	191	83	52	135	48	140	68	104	143	124	242	162	259	48	109	203	141	103	271	160	45	49	78	90	58	24	45	49	44	220	210	91	55	131	130	54	121	75	100	6	227	256	71	20	130	59	75	181					
6	Число погашенных избирательных бюллетеней	6603	90	241	44	103	60	52	9	53	32	3	77	55	41	73	142	55	26	48	15	58	4	30	139	116	252	444	505	43	64	163	107	67	72	70	10	11	94	11	7	15	6	12	31	204	139	100	80	121	164	15	6	472	550	156	377	286	73	23	94	92	26	75					
7	Число избирательных бюллетеней в переносных ящиках	6840	155	167	46	98	95	0	66	74	96	56	91	126	188	102	191	83	52	135	48	140	68	104	143	124	242	162	259	48	109	203	141	103	271	160	45	49	78	90	58	24	45	49	44	220	210	91	55	131	130	54	121	75	100	6	227	256	71	20	130	59	75	181					
8	Число бюллетеней в стационарных ящиках для голосования	15441	755	492	50	239	175	218	185	223	172	81	432	159	131	365	397	182	62	87	67	192	58	96	368	270	606	574	616	149	216	654	202	230	307	190	25	60	228	89	45	41	49	119	40	376	261	239	185	258	356	1	223	683	620	378	466	508	226	77	276	239	79	94					
9	Число недействительных избирательных бюллетеней	220	8	7	1	4	2	1	2	2	4	0	2	3	4	6	5	0	0	0	1	2	0	0	3	6	15	5	8	1	3	9	4	2	7	1	0	1	10	3	0	0	0	2	1	9	3	5	3	1	4	0	4	6	6	6	13	6	2	0	16	0	1	0					
10	Число действительных избирательных бюллетеней	22061	902	652	95	333	268	217	249	295	264	137	521	282	315	461	583	265	114	222	114	330	126	200	508	388	833	731	867	196	322	848	339	331	571	349	70	108	296	176	103	65	94	166	83	587	468	325	237	388	482	55	340	752	714	378	680	758	295	97	390	298	153	275					
