Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
"Наименование Избирательной комиссии:    Магнитогорск, Правобережная"																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389					
1	"Число избирателей, внесенных в списки"	92888	1881	1437	1258	1124	1931	2179	1887	1522	1381	1682	1726	1689	1376	1488	1619	1662	1600	1691	2187	1799	1360	1180	1117	1768	1547	1570	526	1397	1641	1685	1603	2100	2065	1968	2099	1884	2286	1392	1595	1757	2960	2532	1108	1235	2199	1789	1785	1856	1780	2546	1771	1832	1904	1932					
2	"Число бюллетеней, полученных участковыми комиссиями"	91564	1900	1450	1250	1100	2000	2200	1800	1500	1400	1650	1700	1750	1400	1450	1500	1600	1600	1700	1900	1800	1350	1170	1094	1700	1550	1550	500	1400	1600	1650	1600	2050	2050	2000	2050	1950	2300	1400	1550	1700	2850	2500	1050	1250	2000	1800	1800	1850	1800	2550	1750	1800	1800	1900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50228	922	718	621	525	1098	1171	918	807	779	705	835	980	777	816	1031	1080	1044	973	1160	1035	665	614	640	936	889	813	221	709	921	1029	841	1165	1072	1158	1190	1081	1427	828	677	938	1329	962	593	810	1157	886	1029	1031	1098	1282	936	1143	1129	1034					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1713	15	27	20	15	20	26	24	18	21	28	38	60	48	28	81	98	33	43	15	17	29	31	28	44	20	31	0	17	33	16	30	19	43	74	81	56	62	20	21	47	35	8	7	30	27	23	18	21	14	24	24	34	53	18					
6	Число погашенных бюллетеней	39623	963	705	609	560	882	1003	858	675	600	917	827	710	575	606	388	422	523	684	725	748	656	525	426	720	641	706	279	674	646	605	729	866	935	768	779	813	811	552	852	715	1486	1530	450	410	816	891	753	798	688	1244	790	623	618	848					
7	Число бюллетеней в переносных ящиках для голосования	1713	15	27	20	15	20	26	24	18	21	28	38	60	48	28	81	98	33	43	15	17	29	31	28	44	20	31	0	17	33	16	30	19	43	74	81	56	62	20	21	47	35	8	7	30	27	23	18	21	14	24	24	34	53	18					
8	Число бюллетеней в стационарных ящиках для голосования	50059	919	718	621	525	1096	1161	918	807	779	705	834	980	777	816	1031	974	1040	973	1160	1030	665	614	640	936	889	813	221	707	921	1029	841	1165	1072	1158	1190	1076	1427	828	677	938	1321	961	589	810	1157	886	1027	1031	1098	1276	929	1143	1127	1033					
9	Число недействительных бюллетеней	663	17	21	4	10	15	9	10	8	6	13	9	3	10	7	14	31	12	9	15	12	13	8	17	9	13	14	2	16	9	35	14	23	15	14	5	20	22	21	9	6	23	8	10	4	5	9	15	0	14	12	15	12	9	7					
10	Число действительных бюллетеней	51109	917	724	637	530	1101	1178	932	817	794	720	863	1037	815	837	1098	1041	1061	1007	1160	1035	681	637	651	971	896	830	219	708	945	1010	857	1161	1100	1218	1266	1112	1467	827	689	979	1333	961	586	836	1179	900	1030	1052	1098	1288	938	1165	1171	1044					
