Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Инзенская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26684	1110	637	1485	1419	1124	1673	1289	947	1499	905	578	1331	792	619	214	546	723	701	341	118	167	376	200	86	94	221	83	523	110	253	242	251	63	389	1180	659	358	367	410	94	913	209	209	211	175	266	317	207									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25710	1050	600	1400	1350	1000	1500	1200	900	1400	850	550	1250	750	600	200	500	700	600	350	139	180	380	220	114	110	230	85	500	120	250	250	250	73	370	1200	650	360	360	420	109	900	215	215	220	180	290	330	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14680	507	263	637	692	581	830	607	481	723	463	363	606	314	243	93	310	413	426	226	67	105	262	127	49	68	182	74	346	76	124	177	123	20	260	981	463	238	205	240	62	566	116	121	134	96	213	245	162									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2020	50	32	85	29	104	123	64	45	34	11	21	44	43	35	26	52	44	5	22	31	40	25	36	29	19	24	0	74	24	63	35	35	21	55	81	64	44	91	65	12	70	21	35	39	20	46	20	32									
6	Число погашенных избирательных бюллетеней	9010	493	305	678	629	315	547	529	374	643	376	166	600	393	322	81	138	243	169	102	41	35	93	57	36	23	24	11	80	20	63	38	92	32	55	138	123	78	64	115	35	264	78	59	47	64	31	65	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2020	50	32	85	29	104	123	64	45	34	11	21	44	43	35	26	52	44	5	22	31	40	25	36	29	19	24	0	74	24	63	35	35	21	55	81	64	44	91	65	12	70	21	35	39	20	46	20	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14680	507	263	637	692	581	830	607	481	723	463	363	606	314	243	93	310	413	426	226	67	105	262	127	49	68	182	74	346	76	124	177	123	20	260	981	463	238	205	240	62	566	116	121	134	96	213	245	162									
9	Число недействительных избирательных бюллетеней	353	9	7	23	13	14	23	10	10	9	9	6	26	3	12	1	2	3	3	4	0	1	3	1	0	0	0	0	10	0	1	0	5	0	3	73	8	7	1	4	1	23	2	1	5	2	3	5	7									
10	Число действительных избирательных бюллетеней	16347	548	288	699	708	671	930	661	516	748	465	378	624	354	266	118	360	454	428	244	98	144	284	162	78	87	206	74	410	100	186	212	153	41	312	989	519	275	295	301	73	613	135	155	168	114	256	260	187									
