Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Кильмезская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307					
1	"Число избирателей, внесенных в списки избирателей"	11567	789	324	506	246	348	104	77	127	297	223	72	450	50	354	194	153	175	295	214	74	419	392	89	102	217	298	103	80	512	148	87	57	2031	1960					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12002	800	375	535	255	380	115	80	145	345	220	70	475	50	370	207	155	175	300	225	70	440	410	100	105	225	325	105	90	560	150	95	70	2060	1920					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7494	513	199	260	161	240	77	57	39	211	143	55	299	29	246	155	111	122	195	145	51	293	288	68	80	179	222	80	44	350	102	55	43	1262	1120					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1220	16	66	117	31	26	17	11	59	47	43	8	73	11	48	16	20	19	34	38	4	51	32	12	18	11	42	13	8	73	18	20	9	86	123					
6	Число погашенных избирательных бюллетеней	3288	271	110	158	63	114	21	12	47	87	34	7	103	10	76	36	24	34	71	42	15	96	90	20	7	35	61	12	38	137	30	20	18	712	677					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1219	16	66	117	31	26	17	11	59	47	43	8	73	11	48	16	20	19	34	38	4	51	32	12	18	11	42	13	8	73	18	20	9	86	122					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7476	513	199	260	161	240	77	57	39	211	143	55	299	29	246	155	111	122	195	145	51	293	288	68	80	179	221	80	44	350	102	55	43	1246	1119					
9	Число недействительных избирательных бюллетеней	39	2	0	0	0	1	0	0	0	1	0	0	1	0	1	3	0	0	3	1	0	0	0	0	0	0	1	0	1	1	1	0	0	9	13					
10	Число действительных избирательных бюллетеней	8656	527	265	377	192	265	94	68	98	257	186	63	371	40	293	168	131	141	226	182	55	344	320	80	98	190	262	93	51	422	119	75	52	1323	1228					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	366	18	43	25	15	14	2	2	4	23	5	2	17	2	8	7	5	3	6	3	2	20	13	2	2	10	13	6	9	22	5	3	5	30	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	364	18	43	25	15	14	2	2	4	23	5	2	17	2	8	7	5	3	6	3	2	20	13	2	2	10	13	6	9	22	5	3	5	28	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	103	14	3	5	2	2	0	2	1	4	1	3	8	0	1	1	0	2	3	0	1	7	11	0	0	2	2	0	4	5	0	1	0	8	10					
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	172	11	1	12	0	15	0	0	2	5	0	0	17	0	11	0	0	1	4	10	0	9	17	2	3	0	0	0	0	24	4	1	0	11	12					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	1.Политическая партия «Аграрная партия России»	950	46	61	44	33	34	1	9	10	42	17	6	38	5	71	28	17	10	22	10	7	51	57	8	35	3	28	8	5	21	2	7	3	121	90					
		10.93%	8.70%	23.02%	11.67%	17.19%	12.78%	1.06%	13.24%	10.20%	16.28%	9.14%	9.52%	10.22%	12.50%	24.15%	16.37%	12.98%	7.09%	9.61%	5.46%	12.73%	14.83%	17.81%	10.00%	35.71%	1.58%	10.65%	8.60%	9.62%	4.96%	1.67%	9.33%	5.77%	9.08%	7.25%					
19	2.Всероссийская политическая партия «Гражданская Сила»	44	5	3	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	3	1	0	0	6	16					
		0.51%	0.95%	1.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.55%	0.54%	0.00%	0.27%	0.00%	0.00%	0.58%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	0.00%	0.71%	0.83%	0.00%	0.00%	0.45%	1.29%					
