Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Абазинская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11336	1501	786	727	744	753	846	809	2076	1491	800	803									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10600	1400	700	700	750	700	750	750	2000	1400	750	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4735	674	351	343	312	328	312	344	772	671	317	311									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	481	58	38	33	30	16	36	52	106	73	19	20									
6	Число погашенных избирательных бюллетеней	5384	668	311	324	408	356	402	354	1122	656	414	369									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	481	58	38	33	30	16	36	52	106	73	19	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4731	674	351	343	312	328	312	344	770	669	317	311									
9	Число недействительных избирательных бюллетеней	197	70	13	12	14	11	6	11	21	22	10	7									
10	Число действительных избирательных бюллетеней	5015	662	376	364	328	333	342	385	855	720	326	324									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	40	30	30	30	30	30	30	50	40	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	138	11	3	2	8	15	7	10	16	33	30	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	7	2	1	2	0	4	5	3	5	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	232	29	27	28	22	15	23	20	34	7	0	27									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	7	2	2	0	0	2	2	0	4	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	4	7	6	4	5	2	8	6	7	4	2									
		1.06%	0.55%	1.80%	1.60%	1.17%	1.45%	0.57%	2.02%	0.68%	0.94%	1.19%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	210	27	23	7	18	16	12	15	38	26	11	17									
		4.03%	3.69%	5.91%	1.86%	5.26%	4.65%	3.45%	3.79%	4.34%	3.50%	3.27%	5.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	156	20	14	18	10	7	8	9	28	20	8	14									
		2.99%	2.73%	3.60%	4.79%	2.92%	2.03%	2.30%	2.27%	3.20%	2.70%	2.38%	4.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1437	185	95	112	95	84	85	132	251	194	109	95									
		27.57%	25.27%	24.42%	29.79%	27.78%	24.42%	24.43%	33.33%	28.65%	26.15%	32.44%	28.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	8	4	1	3	5	1	1	7	6	0	3									
		0.75%	1.09%	1.03%	0.27%	0.88%	1.45%	0.29%	0.25%	0.80%	0.81%	0.00%	0.91%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	2	0	0	0	0	1	1	0	0	0	0									
		0.08%	0.27%	0.00%	0.00%	0.00%	0.00%	0.29%	0.25%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1324	175	79	81	91	101	96	117	242	171	81	90									
		25.40%	23.91%	20.31%	21.54%	26.61%	29.36%	27.59%	29.55%	27.63%	23.05%	24.11%	27.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	4	2	2	3	1	0	0	4	4	3	3									
		0.50%	0.55%	0.51%	0.53%	0.88%	0.29%	0.00%	0.00%	0.46%	0.54%	0.89%	0.91%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	40	4	4	2	3	2	5	1	8	5	2	4									
		0.77%	0.55%	1.03%	0.53%	0.88%	0.58%	1.44%	0.25%	0.91%	0.67%	0.60%	1.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	1	0	0	0	0	1	1	0	1	2									
		0.12%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.25%	0.11%	0.00%	0.30%	0.60%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	51	8	5	0	2	4	1	8	9	8	3	3									
		0.98%	1.09%	1.29%	0.00%	0.58%	1.16%	0.29%	2.02%	1.03%	1.08%	0.89%	0.91%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1391	177	127	107	76	88	97	80	233	250	85	71									
		26.69%	24.18%	32.65%	28.46%	22.22%	25.58%	27.87%	20.20%	26.60%	33.69%	25.30%	21.45%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	5	0	0	3	0	2	3	5	4	2	1									
		0.48%	0.68%	0.00%	0.00%	0.88%	0.00%	0.57%	0.76%	0.57%	0.54%	0.60%	0.30%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	251	43	15	28	20	20	32	9	23	25	17	19									
		4.82%	5.87%	3.86%	7.45%	5.85%	5.81%	9.20%	2.27%	2.63%	3.37%	5.06%	5.74%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
