Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Острогожская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659					
1	"Число избирателей, внесенных в список"	51249	1673	1715	89	314	1496	1536	131	1562	1738	1466	1699	2019	1997	2208	1349	1840	2157	1548	1729	492	298	795	367	481	231	546	497	275	374	81	515	136	792	652	791	786	429	129	476	294	395	374	397	435	840	1805	1874	636	780	437	152	679	179	874	624	1482	287	658	638					
2	Число полученных избирательных бюллетеней	50507	1650	1680	90	300	1450	1500	131	1550	1700	1400	1650	2000	1900	2200	1350	1840	2100	1500	1650	490	290	790	360	480	230	550	500	270	370	86	500	134	800	650	800	780	430	128	470	290	390	370	390	440	830	1800	1870	630	770	430	152	680	186	880	620	1470	280	650	630					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28760	753	869	48	189	844	739	62	882	953	750	810	1518	1542	1225	705	855	1137	818	1010	295	201	522	173	356	147	294	255	205	172	55	335	76	427	326	407	344	269	103	299	180	248	251	240	251	389	830	822	421	533	322	68	420	96	461	339	948	204	390	377					
5	"Число избирательных бюллетеней, выданных вне помещения"	5015	129	58	21	20	88	89	69	86	74	73	142	96	109	13	114	138	79	67	36	40	17	71	81	60	34	157	117	43	123	17	70	35	72	64	115	107	59	6	74	42	78	54	46	73	115	269	239	92	72	57	66	88	52	117	125	204	55	128	180					
6	Число погашенных избирательных бюллетеней	16732	768	753	21	91	518	672	0	582	673	577	698	386	249	962	531	847	884	615	604	155	72	197	106	64	49	99	128	22	75	14	95	23	301	260	278	329	102	19	97	68	64	65	104	116	326	701	809	117	165	51	18	172	38	302	156	318	21	132	73					
7	Число избирательных бюллетеней в переносных ящиках	5015	129	58	21	20	88	89	69	86	74	73	142	96	109	13	114	138	79	67	36	40	17	71	81	60	34	157	117	43	123	17	70	35	72	64	115	107	59	6	74	42	78	54	46	73	115	269	239	92	72	57	66	88	52	117	125	204	55	128	180					
8	Число бюллетеней в стационарных ящиках для голосования	28749	753	869	48	189	844	739	62	882	951	750	810	1515	1542	1223	705	855	1137	818	1010	295	201	522	173	356	147	294	253	205	172	55	335	76	427	326	407	344	269	103	299	180	248	251	240	251	389	830	822	421	533	322	68	420	96	461	337	948	204	390	377					
9	Число недействительных избирательных бюллетеней	291	11	14	1	2	15	11	2	7	7	6	3	2	0	8	8	10	10	17	7	5	7	15	2	2	2	3	4	3	0	0	7	0	4	1	6	4	5	1	6	0	3	0	6	5	0	7	13	6	0	5	2	2	0	5	1	6	4	6	2					
10	Число действительных избирательных бюллетеней	33473	871	913	68	207	917	817	129	961	1018	817	949	1609	1651	1228	811	983	1206	868	1039	330	211	578	252	414	179	448	366	245	295	72	398	111	495	389	516	447	323	108	367	222	323	305	280	319	504	1092	1048	507	605	374	132	506	148	573	461	1146	255	512	555					
11	Число полученных открепительных  удостоверений	423	18	8	2	3	8	11	0	13	17	10	11	18	8	29	13	8	13	14	11	3	3	6	3	9	2	5	8	4	3	2	10	2	11	5	6	6	6	2	4	3	8	5	3	4	6	8	8	5	8	4	2	4	2	13	5	7	3	5	5					
12	Число выданных открепительных удостоверений	320	15	5	0	3	4	9	0	10	15	10	10	18	4	27	9	3	13	13	9	3	2	2	0	9	0	4	6	3	3	2	7	1	10	4	5	1	6	1	3	1	8	5	0	4	4	2	2	2	7	0	0	4	1	13	4	6	1	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	280	5	2	1	1	3	3	114	2	7	15	4	1	31	8	6	2	0	3	5	0	1	1	0	1	1	1	1	2	0	0	0	2	1	1	2	2	1	0	3	0	0	3	3	0	5	5	2	3	5	0	0	0	0	1	5	5	5	1	4					
14	Число неиспользованных открепительных удостоверений	103	3	3	2	0	4	2	0	3	2	0	1	0	4	2	4	5	0	1	2	0	1	4	3	0	2	1	2	1	0	0	3	1	1	1	1	5	0	1	1	2	0	0	3	0	2	6	6	3	1	4	2	0	1	0	1	1	2	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	712	15	12	0	1	24	22	3	13	35	32	31	25	23	31	25	26	24	27	29	6	3	2	5	11	4	14	4	1	10	3	15	2	24	13	13	16	5	2	3	5	1	4	7	0	16	14	18	9	7	5	1	7	5	9	15	19	4	6	6					
		2.11%	1.70%	1.29%	0.00%	0.48%	2.58%	2.66%	2.29%	1.34%	3.41%	3.89%	3.26%	1.55%	1.39%	2.51%	3.05%	2.62%	1.97%	3.05%	2.77%	1.79%	1.38%	0.34%	1.97%	2.64%	2.21%	3.10%	1.08%	0.40%	3.39%	4.17%	3.70%	1.80%	4.81%	3.33%	2.49%	3.55%	1.52%	1.83%	0.80%	2.25%	0.31%	1.31%	2.45%	0.00%	3.17%	1.27%	1.70%	1.75%	1.16%	1.32%	0.75%	1.38%	3.38%	1.56%	3.25%	1.65%	1.54%	1.16%	1.08%					
19	. Малышкин Олег Александрович	953	23	36	0	6	31	25	4	26	35	24	22	48	36	46	31	34	38	24	33	8	6	8	18	4	6	9	15	2	8	1	10	2	16	20	9	18	8	6	17	1	14	8	8	3	18	17	27	10	10	9	3	26	7	14	8	26	11	19	1					
		2.82%	2.61%	3.88%	0.00%	2.87%	3.33%	3.02%	3.05%	2.69%	3.41%	2.92%	2.31%	2.98%	2.18%	3.72%	3.79%	3.42%	3.12%	2.71%	3.15%	2.39%	2.75%	1.35%	7.09%	0.96%	3.31%	2.00%	4.05%	0.81%	2.71%	1.39%	2.47%	1.80%	3.21%	5.13%	1.72%	3.99%	2.44%	5.50%	4.56%	0.45%	4.29%	2.62%	2.80%	0.93%	3.57%	1.55%	2.54%	1.95%	1.65%	2.37%	2.24%	5.12%	4.73%	2.42%	1.73%	2.26%	4.25%	3.67%	0.18%					
20	. Миронов Сергей Михайлович	257	4	4	0	3	7	9	1	13	10	11	12	9	5	16	9	16	10	4	10	0	3	2	2	3	3	1	1	4	0	0	3	0	2	3	0	2	8	2	0	0	3	2	5	3	5	7	1	6	1	1	0	7	4	8	0	4	1	4	3					
		0.76%	0.45%	0.43%	0.00%	1.44%	0.75%	1.09%	0.76%	1.34%	0.98%	1.34%	1.26%	0.56%	0.30%	1.29%	1.10%	1.61%	0.82%	0.45%	0.96%	0.00%	1.38%	0.34%	0.79%	0.72%	1.66%	0.22%	0.27%	1.61%	0.00%	0.00%	0.74%	0.00%	0.40%	0.77%	0.00%	0.44%	2.44%	1.83%	0.00%	0.00%	0.92%	0.66%	1.75%	0.93%	0.99%	0.64%	0.09%	1.17%	0.17%	0.26%	0.00%	1.38%	2.70%	1.38%	0.00%	0.35%	0.39%	0.77%	0.54%					
21	. Путин Владимир Владимирович	21624	533	557	35	129	530	475	82	641	627	489	555	1310	1418	862	492	558	743	524	701	260	135	397	122	308	123	274	232	190	195	28	251	79	279	224	356	269	175	54	174	112	210	198	151	227	364	584	653	312	384	288	85	328	86	375	249	739	133	314	446					
		64.04%	60.43%	60.09%	50.72%	61.72%	56.87%	57.37%	62.60%	66.22%	61.17%	59.42%	58.30%	81.32%	85.89%	69.74%	60.07%	56.19%	61.10%	59.21%	67.02%	77.61%	61.93%	66.95%	48.03%	74.04%	67.96%	60.75%	62.70%	76.61%	66.10%	38.89%	61.98%	71.17%	55.91%	57.44%	68.20%	59.65%	53.35%	49.54%	46.65%	50.45%	64.42%	64.92%	52.80%	70.06%	72.22%	53.14%	61.55%	60.82%	63.47%	75.99%	63.43%	64.57%	58.11%	64.88%	53.90%	64.15%	51.35%	60.62%	80.07%					
22	. Хакамада Ирина Муцуовна	701	27	26	0	11	20	25	2	24	28	26	26	29	27	39	27	19	23	20	24	2	8	7	4	5	7	7	3	4	5	2	10	2	7	4	9	9	3	2	3	7	3	0	23	7	4	18	23	8	7	3	1	12	3	6	10	16	1	7	16					
		2.08%	3.06%	2.80%	0.00%	5.26%	2.15%	3.02%	1.53%	2.48%	2.73%	3.16%	2.73%	1.80%	1.64%	3.16%	3.30%	1.91%	1.89%	2.26%	2.29%	0.60%	3.67%	1.18%	1.57%	1.20%	3.87%	1.55%	0.81%	1.61%	1.69%	2.78%	2.47%	1.80%	1.40%	1.03%	1.72%	2.00%	0.91%	1.83%	0.80%	3.15%	0.92%	0.00%	8.04%	2.16%	0.79%	1.64%	2.17%	1.56%	1.16%	0.79%	0.75%	2.36%	2.03%	1.04%	2.16%	1.39%	0.39%	1.35%	2.87%					
23	. Харитонов Николай Михайлович	8457	245	254	30	49	282	236	29	223	258	216	278	125	90	184	204	307	340	237	213	51	54	151	95	80	30	139	103	38	76	38	105	24	157	113	116	115	120	39	166	94	88	90	77	75	87	435	313	147	189	66	42	115	36	157	173	329	104	160	70					
