Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Матвеевская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10228	151	157	71	226	208	157	334	685	363	266	1414	1278	94	82	308	515	188	398	121	162	103	670	600	578	524	325	250									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10215	145	150	70	235	200	150	335	685	360	265	1400	1280	90	75	305	520	200	410	115	160	100	675	605	595	525	320	245									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4996	78	82	43	121	115	105	166	320	199	195	597	584	54	64	137	224	89	217	65	66	52	320	317	252	218	170	146									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	694	8	9	12	29	16	14	33	39	40	21	36	31	20	3	44	63	36	25	10	9	11	23	29	42	40	26	25									
6	Число погашенных избирательных бюллетеней	4525	59	59	15	85	69	31	136	326	121	49	767	665	16	8	124	233	75	168	40	85	37	332	259	301	267	124	74									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	694	8	9	12	29	16	14	33	39	40	21	36	31	20	3	44	63	36	25	10	9	11	23	29	42	40	26	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4996	78	82	43	121	115	105	166	320	199	195	597	584	54	64	137	224	89	217	65	66	52	320	317	252	218	170	146									
9	Число недействительных избирательных бюллетеней	92	1	0	0	6	3	1	2	6	3	0	9	15	1	0	6	1	1	4	0	0	1	1	10	7	10	1	3									
10	Число действительных избирательных бюллетеней	5598	85	91	55	144	128	118	197	353	236	216	624	600	73	67	175	286	124	238	75	75	62	342	336	287	248	195	168									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	3	5	2	10	3	3	5	5	11	6	20	20	1	2	5	10	5	25	3	3	3	5	10	10	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	129	3	1	2	10	3	0	0	3	11	0	16	13	0	0	2	10	5	21	0	0	0	5	10	8	3	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	3	1	0	1	4	1	1	1	4	1	7	4	1	2	3	3	1	3	1	0	1	3	2	2	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	61	0	4	0	0	0	3	5	2	0	6	4	7	1	2	3	0	0	4	3	3	3	0	0	2	2	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	0	0	0	2	1	0	0	0	0	1	5	10	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	0	2	0	1	0	1	1	2	2	0	3	6	0	0	0	9	3	1	0	0	0	2	0	5	0	0	1									
		0.69%	0.00%	2.20%	0.00%	0.67%	0.00%	0.84%	0.50%	0.56%	0.84%	0.00%	0.47%	0.98%	0.00%	0.00%	0.00%	3.14%	2.40%	0.41%	0.00%	0.00%	0.00%	0.58%	0.00%	1.70%	0.00%	0.00%	0.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	148	3	0	1	6	3	2	9	9	6	4	14	15	0	0	3	5	3	10	5	1	0	9	6	13	15	2	4									
		2.60%	3.49%	0.00%	1.82%	4.00%	2.29%	1.68%	4.52%	2.51%	2.51%	1.85%	2.21%	2.44%	0.00%	0.00%	1.66%	1.74%	2.40%	4.13%	6.67%	1.33%	0.00%	2.62%	1.73%	4.42%	5.81%	1.02%	2.34%									
