15	Число открепительных удостоверений, выданных избирателям ТИК	61	0	1	1	1	2	1	2	0	2	1	2	0	1	3	2	1	1	0	3	0	1	1	2	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	1	0	0	1	0	0	0	0	2	1	0	0	2	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	4	0	0	2									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число открепительных удостоверений, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																										
18	Богданов Андрей Владимирович	948	3	26	13	12	5	7	9	23	29	29	28	2	4	27	25	9	21	19	13	11	8	7	30	12	16	25	23	6	0	4	7	4	0	11	3	7	5	6	5	2	7	5	5	7	11	10	4	17	2	8	11	13	2	9	1	6	12	7	7	6	25	9	12	3	3	15	25	9	6	18	6	15	4	12	4	15	0	24	14	9	3	9	2	8	8	1	3	6	8	1	5	3	3	0	14									
		1.05%	0.96%	1.62%	0.69%	2.03%	0.39%	1.12%	1.32%	1.42%	1.82%	1.74%	1.92%	0.51%	0.44%	1.91%	1.73%	0.74%	0.93%	1.52%	1.23%	1.13%	1.30%	0.99%	1.78%	1.00%	1.65%	1.37%	1.41%	0.76%	0.00%	0.78%	1.55%	0.61%	0.00%	0.82%	0.56%	0.80%	0.53%	2.10%	0.54%	0.97%	0.58%	1.28%	1.50%	1.13%	0.96%	1.06%	0.62%	1.21%	0.47%	0.78%	1.60%	2.08%	1.11%	1.23%	0.62%	0.81%	1.03%	0.52%	0.52%	1.92%	1.55%	0.88%	0.96%	0.15%	0.23%	1.04%	2.86%	0.51%	0.38%	1.82%	0.51%	2.52%	0.50%	1.32%	0.67%	0.81%	0.00%	1.29%	1.43%	1.22%	1.04%	0.51%	0.75%	1.34%	1.93%	0.10%	0.57%	1.34%	1.26%	0.57%	0.87%	0.31%	0.33%	0.00%	1.23%									
19	Жириновский Владимир Вольфович	5904	35	118	48	59	27	41	64	109	55	165	136	31	17	133	153	27	169	91	111	93	47	17	122	68	92	143	118	79	3	39	41	28	14	82	65	92	38	18	23	23	141	31	15	14	107	75	30	48	37	91	59	40	22	18	16	88	66	27	20	25	127	43	84	6	22	82	64	40	41	110	18	52	50	83	86	117	15	145	110	44	19	125	37	40	34	88	46	29	62	1	47	84	51	13	85									
		6.54%	11.15%	7.33%	2.55%	9.98%	2.11%	6.57%	9.38%	6.71%	3.46%	9.93%	9.34%	7.87%	1.89%	9.39%	10.62%	2.23%	7.48%	7.26%	10.46%	9.54%	7.62%	2.41%	7.26%	5.67%	9.48%	7.83%	7.23%	9.99%	2.61%	7.56%	9.07%	4.27%	5.45%	6.13%	12.04%	10.55%	4.04%	6.29%	2.47%	11.11%	11.71%	7.95%	4.50%	2.26%	9.37%	7.93%	4.64%	3.41%	8.77%	8.89%	8.58%	6.41%	12.22%	2.47%	9.88%	11.94%	5.68%	2.00%	1.48%	8.01%	7.89%	4.22%	6.70%	0.31%	1.72%	5.67%	7.33%	2.27%	2.60%	11.10%	1.52%	8.74%	6.20%	9.16%	14.33%	6.36%	2.01%	7.80%	11.21%	5.95%	6.57%	7.05%	13.81%	6.70%	8.19%	8.40%	8.78%	6.46%	9.73%	0.57%	8.15%	8.63%	5.64%	5.10%	7.48%									
20	Зюганов Геннадий Андреевич	15207	60	306	278	130	254	79	89	110	167	382	349	63	186	319	341	321	247	242	201	245	146	180	321	181	226	266	332	169	15	86	79	105	15	194	58	168	145	47	200	23	91	75	46	116	183	138	96	213	44	215	158	74	35	137	28	166	186	190	153	36	230	134	153	389	129	404	72	398	288	247	495	170	168	127	68	218	58	146	112	96	36	227	36	96	45	117	22	69	141	14	78	165	126	30	198									
		16.86%	19.11%	19.02%	14.76%	21.99%	19.84%	12.66%	13.05%	6.77%	10.50%	22.98%	23.97%	15.99%	20.67%	22.53%	23.66%	26.51%	10.93%	19.30%	18.94%	25.13%	23.66%	25.53%	19.10%	15.08%	23.30%	14.56%	20.33%	21.37%	13.04%	16.67%	17.48%	16.01%	5.84%	14.51%	10.74%	19.27%	15.43%	16.43%	21.51%	11.11%	7.56%	19.23%	13.81%	18.74%	16.02%	14.59%	14.86%	15.14%	10.43%	20.99%	22.97%	11.86%	19.44%	18.79%	17.28%	22.52%	16.02%	14.07%	11.32%	11.54%	14.29%	13.15%	12.20%	20.08%	10.08%	27.94%	8.25%	22.55%	18.25%	24.92%	41.81%	28.57%	20.82%	14.02%	11.33%	11.84%	7.79%	7.85%	11.42%	12.97%	12.46%	12.81%	13.43%	16.08%	10.84%	11.17%	4.20%	15.37%	22.14%	8.00%	13.52%	16.96%	13.94%	11.76%	17.43%									
21	Медведев Дмитрий Анатольевич	67096	214	1136	1536	385	985	490	508	1361	1310	1067	921	295	678	916	901	831	1800	882	719	610	416	498	1180	926	614	1374	1139	511	97	382	320	512	225	1038	406	579	737	213	694	158	947	275	254	480	828	718	511	1107	335	692	451	493	119	561	113	460	870	1126	1172	242	1214	824	984	1539	1116	928	702	1313	1233	600	662	343	580	675	434	1471	668	1517	718	591	230	1396	182	442	328	838	451	338	417	157	440	716	712	211	808									
		74.37%	68.15%	70.60%	81.57%	65.14%	76.95%	78.53%	74.49%	83.75%	82.39%	64.20%	63.26%	74.87%	75.33%	64.69%	62.53%	68.62%	79.68%	70.33%	67.77%	62.56%	67.42%	70.64%	70.20%	77.17%	63.30%	75.21%	69.75%	64.60%	84.35%	74.03%	70.80%	78.05%	87.55%	77.64%	75.19%	66.40%	78.40%	74.48%	74.62%	76.33%	78.65%	70.51%	76.28%	77.54%	72.50%	75.90%	79.10%	78.68%	79.38%	67.58%	65.55%	79.01%	66.11%	76.95%	69.75%	62.42%	74.94%	83.41%	86.69%	77.56%	75.40%	80.86%	78.47%	79.45%	87.19%	64.18%	80.41%	74.39%	78.14%	60.54%	55.91%	57.65%	71.87%	74.50%	72.33%	79.90%	89.66%	81.60%	73.19%	79.86%	79.58%	78.78%	67.91%	74.04%	79.04%	80.04%	86.07%	75.28%	65.46%	89.71%	76.26%	73.59%	78.76%	82.75%	71.13%									
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
