Выборы Президента Российской Федерации																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Дмитровcкая																																																																																																	
																																																																																																	
Итоги голосования 																																																																																																	
																																																																																																	
		Сумма	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293									
1	Число избирателей, внесенных в список	121106	1323	547	2579	2143	2392	2107	2714	2535	1796	1158	1578	2041	1946	1915	2092	348	1821	2454	2277	1913	2482	2087	2526	2395	1056	1455	876	1206	2747	1006	2590	2135	901	1932	1291	1965	1447	1965	1043	2013	1131	1332	1289	1670	371	1114	872	2408	562	572	702	1483	664	887	198	545	181	499	322	850	2754	708	1565	776	1233	502	1026	2757	361	937	297	321	2089	2037	1503	2305	633	983	942	471	1421	1046	472	1501	269	1748									
2	Число полученных избирательных бюллетеней	120038	1300	600	2500	2100	2300	2000	2600	2400	1700	1100	1500	2000	1900	1800	2000	300	1800	2300	2300	1800	2400	2000	2500	2400	1000	1400	890	1300	2786	994	2734	2255	923	1898	1288	1947	1430	1895	1007	2037	1118	1335	1288	1963	361	1109	852	2415	571	587	782	1454	678	888	195	555	177	495	303	845	2825	716	1603	780	1226	681	1037	2744	392	940	295	325	2074	1912	1492	2292	627	993	956	450	1461	1058	477	1557	285	1485									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	69228	611	265	1346	1215	1317	1015	1489	1468	862	600	879	1112	1100	1011	1095	126	1020	1474	1260	1087	1278	1058	1300	1262	531	712	507	747	1593	548	1391	1281	556	1034	647	1359	747	852	791	1403	558	739	742	1135	139	693	534	1409	384	203	381	1032	485	547	101	409	123	495	161	543	2197	455	979	411	968	340	743	1353	117	635	188	196	1080	1147	767	1186	273	496	767	322	1069	511	294	622	124	1226									
5	Число избирательных бюллетеней, выданных вне помещения	6204	92	60	21	53	27	148	11	15	30	17	226	34	68	56	53	158	69	86	56	12	107	32	34	58	73	79	145	172	83	113	165	71	75	75	43	67	26	51	0	6	28	27	20	54	167	101	66	6	70	237	53	96	91	47	84	20	46	0	116	118	0	82	142	133	0	14	88	187	128	45	21	46	54	37	31	13	132	157	54	56	30	110	11	232	64	123									
6	Число погашенных избирательных бюллетеней	44606	597	275	1133	832	956	837	1100	917	808	483	395	854	732	733	852	16	711	740	984	701	1015	910	1166	1080	396	609	238	381	1110	333	1178	903	292	789	598	521	657	992	216	628	532	569	526	774	55	315	252	1000	117	147	348	326	102	294	10	126	8	0	26	184	628	179	482	236	258	327	206	1204	147	260	86	83	940	728	694	1093	222	340	135	72	362	437	172	703	97	136									
7	Число избирательных бюллетеней в переносных ящиках	6204	92	60	21	53	27	148	11	15	30	17	226	34	68	56	53	158	69	86	56	12	107	32	34	58	73	79	145	172	83	113	165	71	75	75	43	67	26	51	0	6	28	27	20	54	167	101	66	6	70	237	53	96	91	47	84	20	46	0	116	118	0	82	142	133	0	14	88	187	128	45	21	46	54	37	31	13	132	157	54	56	30	110	11	232	64	123									
8	Число бюллетеней в стационарных ящиках для голосования	69121	611	265	1346	1215	1317	1015	1489	1468	862	600	879	1112	1100	1001	1091	125	1020	1472	1260	1087	1278	1056	1297	1259	530	712	507	747	1591	548	1391	1281	556	1034	644	1359	747	852	791	1403	558	739	742	1135	139	693	534	1409	384	202	381	1032	485	545	101	409	123	495	161	543	2194	455	979	411	968	340	742	1353	117	635	188	196	1080	1147	767	1182	273	496	713	322	1069	511	283	622	124	1226									
9	Число недействительных избирательных бюллетеней	582	2	4	9	7	13	7	7	3	10	10	13	11	10	7	8	0	10	7	10	8	4	2	8	15	1	5	5	1	5	5	13	10	0	11	11	8	3	12	18	10	3	8	8	3	0	12	5	23	5	5	3	11	2	15	1	1	2	0	1	1	17	4	8	2	7	4	6	14	0	11	0	1	14	12	13	8	8	4	0	0	8	4	3	11	0	11									
10	Число действительных избирательных бюллетеней	74743	701	321	1358	1261	1331	1156	1493	1480	882	607	1092	1135	1158	1050	1136	283	1079	1551	1306	1091	1381	1086	1323	1302	602	786	647	918	1669	656	1543	1342	631	1098	676	1418	770	891	773	1399	583	758	754	1186	306	782	595	1392	449	434	431	1117	574	577	184	428	167	495	276	660	2177	533	1113	542	961	350	824	1526	245	669	209	241	1120	1172	785	1187	397	649	767	378	1091	617	291	843	188	1338									
11	Число полученных открепительных  удостоверений	2930	30	20	60	50	50	50	60	60	40	30	30	50	40	40	50	10	40	50	50	40	60	50	60	60	30	30	30	30	60	30	60	50	30	40	30	40	30	40	30	50	30	30	30	40	10	30	30	60	20	20	20	30	20	30	10	20	10	20	10	30	60	20	40	20	30	20	30	60	10	10	10	10	50	40	30	50	20	30	30	20	30	30	20	30	10	30									
12	Число выданных открепительных удостоверений	985	11	2	19	18	20	18	23	22	10	3	20	9	9	9	16	2	24	37	14	25	12	19	9	27	4	9	5	6	26	7	24	18	1	12	7	15	6	4	9	21	0	17	11	14	2	11	4	12	16	1	4	6	0	27	1	4	2	3	0	1	60	4	40	12	2	4	10	21	2	4	0	4	11	18	10	12	0	7	7	2	18	18	4	18	1	8									
13	Число избирателей, проголосовавших по открепительным удостоверениям	957	16	8	8	6	11	14	14	18	5	6	3	8	3	20	43	3	13	10	14	11	7	12	9	13	5	7	9	0	12	4	11	9	14	29	3	9	15	16	8	16	4	21	8	19	2	10	12	1	11	7	5	38	19	14	19	0	6	0	24	11	60	8	24	12	13	8	5	14	3	3	2	7	10	17	3	7	7	7	3	4	11	14	2	27	7	6									
14	Число неиспользованных открепительных удостоверений	1945	19	18	41	32	30	32	37	38	30	27	10	41	31	31	34	8	16	13	36	15	48	31	51	33	26	21	25	24	34	23	36	32	29	28	23	25	24	36	21	29	30	13	19	26	8	19	26	48	4	19	16	24	20	3	9	16	8	17	10	29	0	16	0	8	28	16	20	39	8	6	10	6	39	22	20	38	20	23	23	18	12	12	16	12	9	22									
15	Число открепительных удостоверений, выданных в ТИК	15	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																																																																																	
18	. Глазьев Сергей Юрьевич	3434	52	17	75	60	75	65	86	79	51	26	49	65	71	57	51	9	47	43	84	55	59	53	106	66	25	46	17	36	48	16	56	70	23	56	42	80	25	50	52	92	28	45	59	55	11	51	16	56	16	16	20	51	30	13	3	14	3	7	9	18	104	18	35	15	23	4	12	65	13	27	6	7	42	41	35	84	13	36	19	6	62	29	11	35	6	30									
		4.56%	7.40%	5.23%	5.49%	4.73%	5.58%	5.59%	5.73%	5.33%	5.72%	4.21%	4.43%	5.67%	6.08%	5.39%	4.46%	3.18%	4.32%	2.76%	6.38%	5.00%	4.26%	4.87%	7.96%	5.01%	4.15%	5.82%	2.61%	3.92%	2.87%	2.42%	3.60%	5.18%	3.65%	5.05%	6.11%	5.61%	3.23%	5.54%	6.57%	6.53%	4.78%	5.87%	7.74%	4.63%	3.59%	6.42%	2.67%	3.96%	3.52%	3.64%	4.61%	4.52%	5.21%	2.20%	1.62%	3.26%	1.78%	1.41%	3.25%	2.72%	4.74%	3.35%	3.12%	2.76%	2.38%	1.13%	1.45%	4.22%	5.31%	3.97%	2.87%	2.89%	3.70%	3.46%	4.39%	7.03%	3.21%	5.51%	2.48%	1.59%	5.64%	4.67%	3.74%	4.10%	3.19%	2.22%									
19	. Малышкин Олег Александрович	1241	17	4	17	16	10	21	21	21	13	9	20	16	26	15	18	7	10	23	25	39	25	14	13	25	16	18	5	9	21	10	23	29	3	17	10	26	16	19	8	27	3	8	10	10	9	16	11	36	14	10	6	10	4	10	1	9	5	16	2	10	38	7	17	8	8	5	11	24	5	9	7	5	24	36	22	25	5	10	8	6	24	2	2	16	4	31									
