Выборы Президента Российской Федерации																																																																																																										
Дата голосования: 04.03.2012																																																																																																										
																																																																																																										
Наименование Избирательной комиссии:    Дмитровcкая																																																																																																										
																																																																																																										
Сводная таблица итогов голосования																																																																																																										
																																																																																																										
	Число участковых избирательных комиссий	95																																																																																																								
	Число участковых избирательных комиссий, приступивших к передаче сведений	95																																																																																																								
																																																																																																										
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317									
1	Число избирателей, включенных в список избирателей	123400	635	2040	2174	2171	1673	1639	953	1473	2019	2154	2400	2356	410	1176	2178	2237	2080	2067	2101	1299	1889	1046	1114	2227	1777	2782	1472	2205	1601	161	777	793	341	1961	759	548	1308	1347	371	1512	324	1330	794	500	928	1794	1236	752	1781	571	1360	915	817	302	871	303	1023	1274	1241	1572	418	2945	1767	2256	1685	1734	1089	2097	2257	1566	1553	916	1264	1008	651	2557	919	2162	995	835	323	1920	333	682	427	1205	547	535	908	291	764	1199	987	269	1422									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	115111	578	1892	2058	2079	1567	1568	882	1415	1907	2030	2290	2197	489	1081	2044	2142	1952	1979	2004	1210	1608	962	1047	2114	1651	2422	1410	2112	1435	173	729	729	286	1730	620	483	1235	1253	347	1439	318	1151	769	453	871	1708	1181	674	1673	523	1293	865	703	268	809	281	976	1180	1163	1420	365	2744	1598	1948	1408	1492	888	1897	2103	1474	1431	866	1164	1932	616	2279	837	2030	915	809	305	1784	310	662	397	1119	497	505	702	222	713	1159	940	266	1306									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	69356	318	1154	1128	1148	885	986	448	1052	1187	1236	1696	1475	155	626	1277	1319	1158	1420	1237	682	1122	552	689	1710	936	1549	808	1199	831	63	311	410	134	1083	480	250	666	699	179	744	139	899	422	239	433	935	615	320	942	265	670	450	297	181	416	113	607	779	740	799	176	1635	1080	1240	748	1033	867	1328	1363	1006	1055	550	774	566	390	1392	550	1225	760	437	218	978	156	306	72	554	200	253	586	149	382	474	532	118	940									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	12418	33	57	135	237	67	137	55	67	202	242	206	107	172	53	112	98	111	214	147	19	57	95	38	83	297	406	109	60	58	72	244	54	124	252	20	86	112	140	79	257	38	160	90	102	117	43	56	60	201	57	38	20	183	31	72	75	82	156	89	288	101	364	195	404	140	250	9	14	279	278	187	36	104	187	124	179	124	82	35	210	27	69	78	203	260	237	179	55	82	65	90	291	168	91	149									
6	Число погашенных избирательных бюллетеней	33337	227	681	795	694	615	445	379	296	518	552	388	615	162	402	655	725	683	345	620	509	429	315	320	321	418	467	493	853	546	38	174	265	28	395	120	147	457	414	89	438	141	92	257	112	321	730	510	294	530	201	585	395	223	56	321	93	287	245	334	333	88	745	323	304	520	209	12	555	461	190	189	280	286	1179	102	708	163	723	120	162	60	737	76	153	65	328	118	197	34	8	241	394	240	57	217									
7	Число избирательных бюллетеней в переносных ящиках для голосования	12418	33	57	135	237	67	137	55	67	202	242	206	107	172	53	112	98	111	214	147	19	57	95	38	83	297	406	109	60	58	72	244	54	124	252	20	86	112	140	79	257	38	160	90	102	117	43	56	60	201	57	38	20	183	31	72	75	82	156	89	288	101	364	195	404	140	250	9	14	279	278	187	36	104	187	124	179	124	82	35	210	27	69	78	203	260	237	179	55	82	65	90	291	168	91	149									
8	Число бюллетеней в стационарных ящиках для голосования	69324	318	1148	1128	1148	885	986	448	1052	1186	1236	1696	1475	155	626	1277	1319	1158	1415	1237	682	1122	552	689	1710	936	1549	808	1199	829	63	311	410	134	1082	480	250	666	699	179	744	139	899	422	239	433	931	615	320	942	265	670	450	297	181	416	113	607	779	740	799	176	1635	1080	1240	748	1033	867	1328	1363	1006	1055	550	774	566	390	1392	550	1220	760	437	218	970	156	306	72	554	200	253	586	149	382	474	532	118	940									
9	Число недействительных избирательных бюллетеней	1165	5	26	16	0	20	20	10	6	7	41	15	27	2	10	24	25	16	26	3	9	19	9	19	12	20	40	13	7	9	0	4	2	5	11	5	10	20	16	7	15	3	6	8	3	5	24	16	6	28	5	8	2	6	3	8	1	10	21	8	13	7	39	44	15	9	7	7	29	31	19	11	7	9	17	5	18	3	31	9	6	5	14	4	4	3	10	8	3	16	1	7	11	13	2	6									
10	Число действительных избирательных бюллетеней	80577	346	1179	1247	1385	932	1103	493	1113	1381	1437	1887	1555	325	669	1365	1392	1253	1603	1381	692	1160	638	708	1781	1213	1915	904	1252	878	135	551	462	253	1323	495	326	758	823	251	986	174	1053	504	338	545	950	655	374	1115	317	700	468	474	209	480	187	679	914	821	1074	270	1960	1231	1629	879	1276	869	1313	1611	1265	1231	579	869	736	509	1553	671	1271	786	641	240	1025	230	505	329	781	371	305	652	213	465	754	687	207	1083									
11	Число полученных открепительных  удостоверений	1863	5	30	30	30	25	31	5	25	31	32	32	30	2	15	35	36	25	35	38	10	25	10	15	40	25	40	30	35	12	2	5	6	3	40	20	5	10	15	6	20	3	10	16	16	13	45	25	10	32	15	35	10	20	7	5	5	20	20	25	30	5	35	25	25	20	25	13	35	35	50	25	15	35	40	15	25	10	30	10	10	5	15	5	10	5	10	5	5	15	5	10	26	11	2	23									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1844	5	30	30	30	25	31	5	25	31	32	32	30	1	15	35	36	25	35	38	10	25	8	15	40	25	40	30	35	12	2	5	5	2	40	20	5	10	15	6	20	2	10	16	16	13	45	25	10	32	15	34	10	20	6	5	5	20	19	25	30	5	35	25	25	20	25	13	35	35	50	25	14	35	40	15	25	10	30	10	10	5	15	5	10	0	10	5	5	15	1	10	26	11	2	23									
13	Число избирателей, проголосовавших по открепительным удостоверениям	2344	13	24	20	29	21	17	8	48	25	11	22	28	71	13	24	6	30	35	14	15	40	14	28	32	25	203	20	16	64	19	16	6	32	57	15	32	8	24	9	16	10	11	8	13	6	26	11	20	49	9	7	12	27	16	21	10	4	42	16	45	53	48	46	15	27	26	50	16	18	20	24	5	9	16	9	131	37	24	10	4	7	10	10	5	18	16	15	13	51	43	11	11	12	6	15									
14	Число неиспользованных открепительных удостоверений	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0									
