Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
"Наименование Избирательной комиссии:    Тольятти, Комсомольская"																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687					
1	"Число избирателей, внесенных в список избирателей"	94234	2496	2270	2235	2285	1934	2148	1998	1757	1907	2024	2247	2080	2148	2045	1888	1940	2348	2099	2372	2112	1776	1994	2337	2070	2825	2393	1449	1754	1857	2673	2685	2360	2446	2392	1826	2072	1946	2317	2083	1413	1828	2447	2386	2455	117					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90000	2400	2200	2100	2200	1800	2100	1900	1700	1800	1900	2200	2000	2100	1900	1800	1800	2200	2000	2200	2000	1700	1900	2200	1900	2700	2300	1400	1600	1800	2600	2600	2300	2300	2300	1700	2000	1900	2200	2000	1300	1700	2300	2300	2400	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47672	1330	1269	1245	1173	1152	1153	1189	977	952	975	1086	1071	1139	1076	1025	1067	1267	1122	1154	1108	980	1088	1273	750	1420	1035	699	975	894	1353	1163	1171	1285	1190	850	1012	970	1118	1030	593	715	1126	1173	1176	103					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1273	51	20	20	25	27	50	50	17	31	25	25	33	25	23	25	40	34	18	41	26	19	11	10	137	34	12	22	14	22	10	12	14	11	11	24	17	36	18	49	41	52	43	22	26	0					
6	Число погашенных избирательных бюллетеней	41055	1019	911	835	1002	621	897	661	706	817	900	1089	896	936	801	750	693	899	860	1005	866	701	801	917	1013	1246	1253	679	611	884	1237	1425	1115	1004	1099	826	971	894	1064	921	666	933	1131	1105	1198	197					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1273	51	20	20	25	27	50	50	17	31	25	25	33	25	23	25	40	34	18	41	26	19	11	10	137	34	12	22	14	22	10	12	14	11	11	24	17	36	18	49	41	52	43	22	26	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47632	1327	1268	1243	1170	1152	1149	1189	977	952	975	1083	1068	1139	1075	1023	1066	1266	1121	1153	1108	975	1088	1273	750	1420	1034	699	975	894	1352	1163	1171	1285	1187	850	1012	970	1118	1029	593	712	1126	1173	1176	103					
9	Число недействительных избирательных бюллетеней	1018	32	37	20	17	30	22	33	18	20	29	26	34	20	21	17	12	22	22	37	18	14	23	22	27	26	12	11	21	17	27	23	17	19	29	15	30	33	29	27	21	10	38	24	15	1					
10	Число действительных избирательных бюллетеней	47887	1346	1251	1243	1178	1149	1177	1206	976	963	971	1082	1067	1144	1077	1031	1094	1278	1117	1157	1116	980	1076	1261	860	1428	1034	710	968	899	1335	1152	1168	1277	1169	859	999	973	1107	1051	613	754	1131	1171	1187	102					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1058	24	21	30	32	17	29	22	17	22	32	20	34	26	17	22	20	23	22	24	24	26	22	36	27	43	17	11	17	15	40	26	32	15	34	20	20	20	30	19	10	22	22	26	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1036	24	21	30	31	16	29	22	16	21	30	20	34	26	17	22	20	20	21	23	24	26	22	36	26	43	17	11	17	15	39	26	32	14	34	20	18	19	30	17	10	20	21	26	30	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	322	4	2	8	9	5	10	8	4	5	7	2	8	9	9	13	20	6	7	7	9	6	7	11	15	5	4	7	9	4	11	5	0	8	3	5	5	6	11	10	9	10	2	7	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	22	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0	0	3	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	1	0	2	0	2	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	3	1	1	0	1	0	1	1	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8103	199	224	219	181	214	168	193	177	144	201	223	201	237	190	172	173	240	178	168	191	174	192	241	122	245	178	116	108	164	212	179	208	199	204	135	181	145	190	187	104	110	194	217	185	20					
		16.57%	14.44%	17.39%	17.34%	15.15%	18.15%	14.01%	15.58%	17.81%	14.65%	20.10%	20.13%	18.26%	20.36%	17.30%	16.41%	15.64%	18.46%	15.63%	14.07%	16.84%	17.51%	17.47%	18.78%	13.75%	16.85%	17.02%	16.09%	10.92%	17.90%	15.57%	15.23%	17.55%	15.35%	17.03%	15.45%	17.59%	14.41%	16.73%	17.35%	16.40%	14.40%	16.60%	18.16%	15.39%	19.42%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9000	232	185	187	225	174	189	193	162	193	149	181	180	202	201	178	189	240	196	228	167	162	183	217	212	331	254	140	218	196	317	282	199	266	281	174	226	152	205	191	99	165	220	187	256	16					
		18.40%	16.84%	14.36%	14.81%	18.83%	14.76%	15.76%	15.58%	16.30%	19.63%	14.90%	16.34%	16.35%	17.35%	18.31%	16.98%	17.09%	18.46%	17.21%	19.10%	14.73%	16.30%	16.65%	16.91%	23.90%	22.76%	24.28%	19.42%	22.04%	21.40%	23.27%	24.00%	16.79%	20.52%	23.46%	19.91%	21.96%	15.11%	18.05%	17.72%	15.62%	21.60%	18.82%	15.65%	21.30%	15.53%					
