Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Бузулукская																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356					
1	"Число избирателей, внесенных в списки"	25103	525	362	491	136	139	774	69	317	139	935	516	563	379	132	185	1538	1675	155	377	104	458	377	121	557	597	104	142	979	349	305	331	1323	356	688	212	548	623	552	536	936	157	384	405	590	1650	1388	642	160	122					
2	"Число бюллетеней, полученных участковыми комиссиями"	25108	527	355	492	136	139	772	74	334	139	915	518	547	375	148	189	1548	1671	148	378	106	459	518	117	554	600	109	144	942	339	311	331	1321	358	661	208	548	624	555	549	922	157	382	402	590	1608	1367	637	160	124					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14056	366	97	268	78	80	467	47	231	72	518	346	361	226	74	114	697	770	94	195	89	262	362	94	283	309	72	74	561	275	168	210	742	187	428	94	303	377	308	389	416	110	253	250	330	828	549	411	111	110					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1900	26	205	82	22	14	74	15	23	28	35	60	59	46	16	20	70	62	11	75	0	23	15	0	79	84	19	36	14	1	5	20	48	28	15	22	65	15	52	20	106	5	27	34	71	56	62	28	7	0					
6	Число погашенных бюллетеней	9152	135	53	142	36	45	231	12	80	39	362	112	127	103	58	55	781	839	43	108	17	174	141	23	192	207	18	34	367	63	138	101	531	143	218	92	180	232	195	140	400	42	102	118	189	724	756	198	42	14					
7	Число бюллетеней в переносных ящиках для голосования	1900	26	205	82	22	14	74	15	23	28	35	60	59	46	16	20	70	62	11	75	0	23	15	0	79	84	19	36	14	1	5	20	48	28	15	22	65	15	52	20	106	5	27	34	71	56	62	28	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	14056	366	97	268	78	80	467	47	231	72	518	346	361	226	74	114	697	770	94	195	89	262	362	94	283	309	72	74	561	275	168	210	742	187	428	94	303	377	308	389	416	110	253	250	330	828	549	411	111	110					
9	Число недействительных бюллетеней	328	11	3	10	4	5	3	0	2	2	8	5	7	11	2	6	13	3	1	10	1	8	18	5	6	9	1	3	9	6	7	10	12	6	4	2	9	7	3	9	13	1	9	8	11	27	9	8	0	1					
10	Число действительных бюллетеней	15628	381	299	340	96	89	538	62	252	98	545	401	413	261	88	128	754	829	104	260	88	277	359	89	356	384	90	107	566	270	166	220	778	209	439	114	359	385	357	400	509	114	271	276	390	857	602	431	118	109					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	197	5	3	4	2	2	5	2	3	2	5	4	4	3	2	2	10	10	2	3	2	4	5	2	5	5	2	2	5	3	3	3	10	3	5	2	4	5	4	4	5	2	3	3	5	10	10	4	3	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	42	2	2	2	0	1	0	0	3	0	4	3	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	3	1	3	1	2	0	0	0	2	0	0	0	1	0	2	0	0	0	2	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	3	2	1	1	1	1	0	2	1	3	2	0	1	2	0	0	2	0	0	0	2	3	2	2	1	0	0	4	0	10	2	1	1	1	3	0	1	2	0	3	1	1	1	0	11	8	6	1	0					
14	Число погашенных открепительных удостоверений	155	3	1	2	2	1	5	2	0	2	1	1	4	2	2	1	9	9	2	3	2	3	5	2	4	4	2	2	2	2	0	2	8	3	5	2	2	5	4	4	4	2	1	3	5	10	8	3	3	1					
15	Число открепительных удостоверений выданных ТИК	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	"1. ""ЕДИНЕНИЕ"""	244	5	7	5	1	4	9	0	3	2	1	10	5	1	2	7	11	14	6	2	4	5	0	2	6	11	1	2	11	8	2	2	10	1	11	1	8	8	5	4	7	2	7	10	7	4	5	4	0	1					
		1.52%	1.27%	2.31%	1.42%	1.0%	4.25%	1.66%	0.0%	1.18%	2.0%	0.18%	2.46%	1.19%	0.36%	2.22%	5.22%	1.43%	1.68%	5.71%	0.74%	4.49%	1.75%	0.0%	2.12%	1.65%	2.79%	1.09%	1.81%	1.91%	2.89%	1.15%	0.86%	1.26%	0.46%	2.48%	0.86%	2.17%	2.04%	1.38%	0.97%	1.34%	1.73%	2.49%	3.52%	1.74%	0.45%	0.81%	0.91%	0.0%	0.90%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	176	2	3	5	1	1	9	0	4	0	8	5	4	2	1	0	21	15	0	2	0	2	3	4	4	2	0	3	13	2	2	4	9	3	1	0	3	6	0	1	3	0	0	3	2	8	5	7	2	1					
		1.10%	0.51%	0.99%	1.42%	1.0%	1.06%	1.66%	0.0%	1.57%	0.0%	1.44%	1.23%	0.95%	0.73%	1.11%	0.0%	2.73%	1.80%	0.0%	0.74%	0.0%	0.70%	0.79%	4.25%	1.10%	0.50%	0.0%	2.72%	2.26%	0.72%	1.15%	1.73%	1.13%	1.39%	0.22%	0.0%	0.81%	1.53%	0.0%	0.24%	0.57%	0.0%	0.0%	1.05%	0.49%	0.90%	0.81%	1.59%	1.69%	0.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	354	4	12	14	8	5	11	3	9	4	20	5	10	4	0	1	18	15	5	1	0	7	4	1	5	11	4	6	8	3	3	4	16	9	9	2	12	7	2	4	8	4	4	11	10	29	14	3	1	4					
		2.21%	1.02%	3.97%	4.0%	8.0%	5.31%	2.03%	4.83%	3.54%	4.0%	3.61%	1.23%	2.38%	1.47%	0.0%	0.74%	2.34%	1.80%	4.76%	0.37%	0.0%	2.45%	1.06%	1.06%	1.38%	2.79%	4.39%	5.45%	1.39%	1.08%	1.73%	1.73%	2.02%	4.18%	2.03%	1.72%	3.26%	1.78%	0.55%	0.97%	1.53%	3.47%	1.42%	3.87%	2.49%	3.28%	2.29%	0.68%	0.84%	3.63%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	227	1	5	3	1	1	0	0	2	6	7	2	7	3	0	0	25	32	3	1	0	1	4	0	0	4	0	1	21	2	1	5	6	2	5	1	3	4	1	0	17	1	1	4	5	12	15	10	1	1					
		1.42%	0.25%	1.65%	0.85%	1.0%	1.06%	0.0%	0.0%	0.78%	6.0%	1.26%	0.49%	1.66%	1.10%	0.0%	0.0%	3.25%	3.84%	2.85%	0.37%	0.0%	0.35%	1.06%	0.0%	0.0%	1.01%	0.0%	0.90%	3.65%	0.72%	0.57%	2.17%	0.75%	0.93%	1.12%	0.86%	0.81%	1.02%	0.27%	0.0%	3.25%	0.86%	0.35%	1.40%	1.24%	1.35%	2.45%	2.27%	0.84%	0.90%					
22	"5. ""За Русь Святую"""	119	5	4	3	0	0	5	2	6	0	3	0	3	4	0	3	8	5	2	2	0	1	0	1	1	3	0	1	4	2	0	0	3	0	0	0	3	0	2	2	3	0	0	0	5	18	13	1	1	0					
		0.74%	1.27%	1.32%	0.85%	0.0%	0.0%	0.92%	3.22%	2.36%	0.0%	0.54%	0.0%	0.71%	1.47%	0.0%	2.23%	1.04%	0.60%	1.90%	0.74%	0.0%	0.35%	0.0%	1.06%	0.27%	0.76%	0.0%	0.90%	0.69%	0.72%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.81%	0.0%	0.55%	0.48%	0.57%	0.0%	0.0%	0.0%	1.24%	2.03%	2.12%	0.22%	0.84%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	38	0	0	1	1	1	4	0	1	0	2	0	0	0	0	0	4	2	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	3	0	1	1	1	1	3	0	1	1	0	1	3	1	0	0					
		0.23%	0.0%	0.0%	0.28%	1.0%	1.06%	0.73%	0.0%	0.39%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.24%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.17%	0.0%	0.57%	0.0%	0.12%	0.0%	0.67%	0.0%	0.27%	0.25%	0.27%	0.24%	0.57%	0.0%	0.35%	0.35%	0.0%	0.11%	0.49%	0.22%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	82	0	4	1	1	1	5	0	3	0	0	2	4	0	0	3	1	6	0	0	0	1	0	1	1	0	2	2	3	2	1	1	8	2	2	1	1	5	0	3	4	2	0	0	0	5	1	0	1	2					
		0.51%	0.0%	1.32%	0.28%	1.0%	1.06%	0.92%	0.0%	1.18%	0.0%	0.0%	0.49%	0.95%	0.0%	0.0%	2.23%	0.13%	0.72%	0.0%	0.0%	0.0%	0.35%	0.0%	1.06%	0.27%	0.0%	2.19%	1.81%	0.52%	0.72%	0.57%	0.43%	1.01%	0.93%	0.45%	0.86%	0.27%	1.27%	0.0%	0.73%	0.76%	1.73%	0.0%	0.0%	0.0%	0.56%	0.16%	0.0%	0.84%	1.81%					
25	"8. ""Народно-республиканская партия России"""	38	2	1	0	0	0	0	0	0	1	4	0	0	2	0	1	1	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	2	2	1	1	0	1	1	3	1	0	1	1	1	3	0	0	0	3					
		0.23%	0.51%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.72%	0.0%	0.0%	0.73%	0.0%	0.74%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	1.06%	0.55%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.25%	0.93%	0.22%	0.86%	0.0%	0.25%	0.27%	0.73%	0.19%	0.0%	0.35%	0.35%	0.24%	0.33%	0.0%	0.0%	0.0%	2.72%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	1	0	0	0	1	0	0	1	0	3	1	0	2	0	0	0	1	0	0	2	0	1	0	3	1	0	0	0	1	0	0	0	0	1	0	2	1	2	1	0	0	0	4	0	0	0	1	0	0					
