Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Щигровская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9978	298	541	325	138	508	349	161	213	555	390	203	242	384	337	89	378	652	669	663	360	678	393	233	380	322	172	296	49									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8030	246	432	262	110	416	282	126	173	458	314	158	196	306	270	68	306	524	536	534	290	544	315	187	308	257	138	237	37									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3321	106	184	133	49	177	127	46	94	205	102	47	119	114	129	33	132	184	217	194	91	289	108	111	133	74	20	93	10									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1216	39	60	49	15	79	39	21	39	34	76	44	22	38	68	21	63	58	57	33	71	15	16	16	49	59	72	55	8									
6	Число погашенных избирательных бюллетеней	3493	101	188	80	46	160	116	59	40	219	136	67	55	154	73	14	111	282	262	307	128	240	191	60	126	124	46	89	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1216	39	60	49	15	79	39	21	39	34	76	44	22	38	68	21	63	58	57	33	71	15	16	16	49	59	72	55	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3320	106	184	132	49	177	127	46	94	205	102	47	119	114	129	33	132	184	217	194	91	289	108	111	133	74	20	93	10									
9	Число недействительных избирательных бюллетеней	100	2	9	1	0	7	5	1	2	7	6	3	4	1	2	0	2	3	11	13	1	5	2	3	5	4	1	0	0									
10	Число действительных избирательных бюллетеней	4436	143	235	180	64	249	161	66	131	232	172	88	137	151	195	54	193	239	263	214	161	299	122	124	177	129	91	148	18									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	116	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	8	0	1	0	4	1	1	4	2	0	0	1	1	2	0	4	2	0	3	0	2	3	2	4	0	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	70	1	3	3	4	1	1	2	2	2	4	6	0	4	3	4	1	2	3	4	2	1	1	3	2	2	1	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	70	0	4	3	4	0	3	3	0	2	4	4	3	3	2	4	0	2	4	1	4	2	1	2	0	4	4	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	1	1	0	4	0	0	0	0	8	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	40	2	2	2	2	5	2	0	2	1	0	0	1	4	0	1	0	0	2	2	2	3	1	2	1	1	1	0	1									
		0.88%	1.38%	0.82%	1.10%	3.13%	1.95%	1.20%	0.00%	1.50%	0.42%	0.00%	0.00%	0.71%	2.63%	0.00%	1.85%	0.00%	0.00%	0.73%	0.88%	1.23%	0.99%	0.81%	1.57%	0.55%	0.75%	1.09%	0.00%	5.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	217	5	9	7	2	11	7	1	6	10	10	4	9	8	8	0	12	13	14	13	4	23	11	4	13	1	3	9	0									
		4.78%	3.45%	3.69%	3.87%	3.13%	4.30%	4.22%	1.49%	4.51%	4.18%	5.62%	4.40%	6.38%	5.26%	4.06%	0.00%	6.15%	5.37%	5.11%	5.73%	2.47%	7.57%	8.87%	3.15%	7.14%	0.75%	3.26%	6.08%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	59	1	8	2	2	0	0	1	0	4	3	0	2	1	2	0	2	1	6	5	0	7	4	0	1	6	1	0	0									
