Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Неманская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357					
1	"Число избирателей, внесенных в список"	16521	1138	1094	1149	1163	1147	1070	1047	1087	1020	522	406	550	653	417	954	516	426	1052	707	403					
2	Число полученных избирательных бюллетеней	14930	1020	980	1020	1040	1030	960	940	980	920	490	360	510	590	380	870	460	380	970	660	370					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8471	565	513	612	592	654	535	597	534	477	286	200	317	349	244	505	266	209	459	326	231					
5	"Число избирательных бюллетеней, выданных вне помещения"	618	35	26	19	28	29	8	12	21	41	19	13	44	34	17	39	35	28	81	57	32					
6	Число погашенных избирательных бюллетеней	5841	420	441	389	420	347	417	331	425	402	185	147	149	207	119	326	159	143	430	277	107					
7	Число избирательных бюллетеней в переносных ящиках	618	35	26	19	28	29	8	12	21	41	19	13	44	34	17	39	35	28	81	57	32					
8	Число бюллетеней в стационарных ящиках для голосования	8470	565	513	612	591	654	535	597	534	477	286	200	317	349	244	505	266	209	459	326	231					
9	Число недействительных избирательных бюллетеней	74	1	5	5	4	3	4	2	6	3	3	3	0	8	5	6	2	3	4	5	2					
10	Число действительных избирательных бюллетеней	9014	599	534	626	615	680	539	607	549	515	302	210	361	375	256	538	299	234	536	378	261					
11	Число полученных открепительных  удостоверений	169	8	13	8	8	8	8	8	8	8	8	8	8	8	8	12	8	8	8	8	8					
12	Число выданных открепительных удостоверений	93	8	9	4	4	5	3	8	1	5	8	2	3	1	8	7	0	2	6	4	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	1	3	3	3	1	2	6	0	2	2	1	0	7	0	3	0	0	4	2	1					
14	Число неиспользованных открепительных удостоверений	76	0	4	4	4	3	5	0	7	3	0	6	5	7	0	5	8	6	2	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	8	2	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	309	25	24	27	34	26	27	24	27	21	15	6	5	4	7	5	7	3	15	5	2					
		3.40%	4.17%	4.45%	4.28%	5.49%	3.81%	4.97%	3.94%	4.86%	4.05%	4.92%	2.82%	1.39%	1.04%	2.68%	0.92%	2.33%	1.27%	2.78%	1.31%	0.76%					
19	. Малышкин Олег Александрович	214	11	16	14	17	19	17	11	7	11	8	5	7	14	4	17	13	8	6	8	1					
		2.35%	1.83%	2.97%	2.22%	2.75%	2.78%	3.13%	1.81%	1.26%	2.12%	2.62%	2.35%	1.94%	3.66%	1.53%	3.12%	4.32%	3.38%	1.11%	2.09%	0.38%					
20	. Миронов Сергей Михайлович	79	12	8	6	7	9	7	6	4	5	1	0	1	2	2	3	2	1	0	3	0					
		0.87%	2.00%	1.48%	0.95%	1.13%	1.32%	1.29%	0.99%	0.72%	0.97%	0.33%	0.00%	0.28%	0.52%	0.77%	0.55%	0.66%	0.42%	0.00%	0.78%	0.00%					
21	. Путин Владимир Владимирович	6818	435	362	443	431	451	376	422	413	380	239	188	299	305	218	474	232	193	407	321	229					
		75.02%	72.50%	67.16%	70.21%	69.63%	66.03%	69.24%	69.29%	74.41%	73.36%	78.36%	88.26%	82.83%	79.63%	83.52%	87.13%	77.08%	81.43%	75.37%	83.81%	87.07%					
22	. Хакамада Ирина Муцуовна	179	14	19	18	13	14	10	15	14	14	7	4	4	4	2	4	3	2	7	7	4					
		1.97%	2.33%	3.53%	2.85%	2.10%	2.05%	1.84%	2.46%	2.52%	2.70%	2.30%	1.88%	1.11%	1.04%	0.77%	0.74%	1.00%	0.84%	1.30%	1.83%	1.52%					
23	. Харитонов Николай Михайлович	1127	77	80	93	87	133	76	99	65	68	27	6	38	39	21	30	36	18	88	25	21					
		12.40%	12.83%	14.84%	14.74%	14.05%	19.47%	14.00%	16.26%	11.71%	13.13%	8.85%	2.82%	10.53%	10.18%	8.05%	5.51%	11.96%	7.59%	16.30%	6.53%	7.98%					
																											
24	Против всех	288	25	25	25	26	28	26	30	19	16	5	1	7	7	2	5	6	9	13	9	4					
		3.17%	4.17%	4.64%	3.96%	4.20%	4.10%	4.79%	4.93%	3.42%	3.09%	1.64%	0.47%	1.94%	1.83%	0.77%	0.92%	1.99%	3.80%	2.41%	2.35%	1.52%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
