Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Дегтярская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240					
1	"Число избирателей, внесенных в списки избирателей"	12858	2608	2081	2568	2410	2134	1057					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12600	2550	2050	2500	2400	2100	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6048	1039	1127	1323	1222	937	400					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	437	82	87	68	70	71	59					
6	Число погашенных избирательных бюллетеней	6115	1429	836	1109	1108	1092	541					
7	Число избирательных бюллетеней в переносных ящиках для голосования	437	82	87	68	70	71	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6045	1039	1125	1323	1221	937	400					
9	Число недействительных избирательных бюллетеней	64	10	7	21	11	9	6					
10	Число действительных избирательных бюллетеней	6418	1111	1205	1370	1280	999	453					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	90	15	15	20	15	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	90	15	15	20	15	15	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	73	11	10	18	13	12	9					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	1	3	0	3	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	104	6	19	30	26	15	8					
		1.60%	0.54%	1.57%	2.16%	2.01%	1.49%	1.74%					
19	2.Всероссийская политическая партия «Гражданская Сила»	192	25	41	30	45	40	11					
		2.96%	2.23%	3.38%	2.16%	3.49%	3.97%	2.40%					
20	3.Политическая партия «Демократическая партия России»	11	1	4	5	1	0	0					
		0.17%	0.09%	0.33%	0.36%	0.08%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	555	88	135	125	117	59	31					
		8.56%	7.85%	11.14%	8.99%	9.06%	5.85%	6.75%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	22	1	4	5	9	2	1					
		0.34%	0.09%	0.33%	0.36%	0.70%	0.20%	0.22%					
23	6.Политическая партия «Партия социальной справедливости»	16	1	5	2	1	6	1					
		0.25%	0.09%	0.41%	0.14%	0.08%	0.60%	0.22%					
24	7.Политическая партия «Либерально-демократическая партия России»	713	107	119	140	152	134	61					
		10.99%	9.55%	9.82%	10.06%	11.77%	13.29%	13.29%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	612	102	117	141	123	87	42					
		9.44%	9.10%	9.65%	10.14%	9.53%	8.63%	9.15%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	31	3	7	4	8	9	0					
		0.48%	0.27%	0.58%	0.29%	0.62%	0.89%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4094	760	744	879	783	635	293					
		63.16%	67.80%	61.39%	63.19%	60.65%	62.99%	63.83%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	68	17	10	9	15	12	5					
		1.05%	1.52%	0.83%	0.65%	1.16%	1.19%	1.09%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
