Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Дегтярская городская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241					
1	"Число избирателей, внесенных в список избирателей"	12828	1023	2321	2333	2756	1658	1173	1564					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11500	1000	2000	2000	2500	1500	1000	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5268	339	1040	1054	1267	651	377	540					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	355	35	68	78	72	25	46	31					
6	Число погашенных избирательных бюллетеней	5877	626	892	868	1161	824	577	929					
7	Число избирательных бюллетеней в переносных ящиках для голосования	355	35	68	78	72	25	46	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5267	339	1040	1054	1267	651	376	540					
9	Число недействительных избирательных бюллетеней	165	12	33	36	33	22	16	13					
10	Число действительных избирательных бюллетеней	5457	362	1075	1096	1306	654	406	558					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	194	20	25	31	32	36	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	181	16	25	29	32	36	16	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	116	13	17	37	10	10	14	15					
14	Число погашенных неиспользованных открепительных удостоверений	13	4	0	2	0	0	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	2	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1689	90	371	347	417	178	124	162					
		30.04%	24.06%	33.48%	30.65%	31.14%	26.33%	29.38%	28.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	791	58	131	165	195	109	51	82					
		14.07%	15.51%	11.82%	14.58%	14.56%	16.12%	12.09%	14.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	6	5	9	12	5	0	4					
		0.73%	1.60%	0.45%	0.80%	0.90%	0.74%	0.00%	0.70%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1037	62	204	229	249	107	80	106					
		18.45%	16.58%	18.41%	20.23%	18.60%	15.83%	18.96%	18.56%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	132	8	23	29	35	15	11	11					
		2.35%	2.14%	2.08%	2.56%	2.61%	2.22%	2.61%	1.93%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1580	128	305	291	347	202	130	177					
		28.10%	34.22%	27.53%	25.71%	25.91%	29.88%	30.81%	30.99%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	187	10	36	26	51	38	10	16					
		3.33%	2.67%	3.25%	2.30%	3.81%	5.62%	2.37%	2.80%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
