Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Терская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489					
1	"Число избирателей, внесенных в списки"	5941	103	103	110	139	59	68	24	312	879	751	1103	844	1446					
2	"Число бюллетеней, полученных участковыми комиссиями"	5586	92	92	118	135	53	66	30	315	830	770	1000	770	1315					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	35	15	16	0	0	0	0	0	0	4	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3054	53	62	54	104	41	55	14	161	424	282	576	511	717					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	220	3	0	4	8	9	0	1	2	26	40	40	25	62					
6	Число погашенных бюллетеней	2277	21	14	60	23	3	11	15	152	376	448	384	234	536					
7	Число бюллетеней в переносных ящиках для голосования	255	18	16	4	8	9	0	1	2	30	40	40	25	62					
8	Число бюллетеней в стационарных ящиках для голосования	3054	53	62	54	104	41	55	14	161	424	282	576	511	717					
9	Число недействительных бюллетеней	44	0	1	3	4	0	0	0	5	8	8	1	2	12					
10	Число действительных бюллетеней	3265	71	77	55	108	50	55	15	158	446	314	615	534	767					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	162	5	5	5	5	5	5	7	5	20	25	25	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	0	2	0	3	0	1	0	1	4	5	7	6	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	0	0	0	0	0	0	0	2	1	0	7	5	3					
14	Число погашенных открепительных удостоверений	121	5	3	5	2	5	4	7	4	16	20	18	19	13					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	1	0	0	0	2	2	0	2	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
