Выборы Президента Российской Федерации																																																																										
																																																																										
"Наименование Избирательной комиссии:    Ростов-на-Дону, Ворошиловская"																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1759	УИК №2489	УИК №2541	УИК №2547	УИК №2548					
1	"Число избирателей, внесенных в список"	150240	1716	1288	1938	1401	2108	1577	1466	2200	1811	2057	1744	2131	1837	2117	2052	2284	2413	2011	2407	2409	2612	2460	2319	2429	2461	2001	2669	2885	2818	2426	2472	2640	2598	2443	2100	2484	2704	2335	2497	2437	2497	2640	2164	2408	2327	2250	2304	2561	2076	2623	2619	2328	2146	2730	2170	2611	2187	2827	580	704	2485	2147	2481	2069	2644	2061	2844					
2	Число полученных избирательных бюллетеней	150004	1700	1200	1800	1400	2100	1600	1500	2200	1800	2100	1700	2200	1900	2200	1914	2300	2300	2000	2400	2400	2600	2500	2300	2400	2400	1900	2600	2800	2700	2400	2500	2700	2500	2500	2200	2500	2700	2400	2500	2500	2500	2600	2200	2500	2400	2300	2200	2600	2100	2600	2600	2300	2200	2700	2300	2600	2200	2800	590	1000	2500	2100	2500	1900	3000	2100	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	93945	1300	900	936	943	1162	786	735	1409	1165	1333	991	1292	1268	1356	1221	1552	1271	1168	1581	1280	1400	1346	1285	1404	1601	1271	1638	1716	1889	1381	1490	1814	1864	1788	1207	1448	1766	1292	1815	1383	1760	1896	1453	1336	1256	1443	1653	1915	1462	1412	1578	1362	1188	1916	1605	1724	1180	1057	382	471	1371	1467	1734	1101	2405	1418	1953					
5	"Число избирательных бюллетеней, выданных вне помещения"	5050	53	92	182	71	112	119	110	22	56	86	52	90	48	75	64	96	84	140	36	170	264	284	61	53	59	34	60	43	109	74	32	68	38	66	95	56	99	51	54	45	36	35	53	60	38	74	18	34	36	89	51	38	30	135	15	53	48	206	26	227	43	63	18	21	56	53	91					
6	Число погашенных избирательных бюллетеней	51009	347	208	682	386	826	695	655	769	579	681	657	818	584	769	629	652	945	692	783	950	936	870	954	943	740	595	902	1041	702	945	978	818	598	646	898	996	835	1057	631	1072	704	669	694	1104	1106	783	529	651	602	1099	971	900	982	649	680	823	972	1537	182	302	1086	570	748	778	539	629	256					
7	Число избирательных бюллетеней в переносных ящиках	5050	53	92	182	71	112	119	110	22	56	86	52	90	48	75	64	96	84	140	36	170	264	284	61	53	59	34	60	43	109	74	32	68	38	66	95	56	99	51	54	45	36	35	53	60	38	74	18	34	36	89	51	38	30	135	15	53	48	206	26	227	43	63	18	21	56	53	91					
8	Число бюллетеней в стационарных ящиках для голосования	93852	1300	900	936	943	1162	785	735	1407	1165	1333	991	1292	1268	1352	1221	1552	1271	1168	1581	1278	1386	1346	1284	1404	1601	1271	1638	1716	1889	1381	1490	1814	1864	1788	1206	1448	1764	1292	1815	1383	1760	1896	1443	1328	1247	1442	1653	1915	1452	1412	1577	1362	1180	1916	1605	1724	1179	1057	382	470	1371	1467	1731	1101	2393	1418	1951					
9	Число недействительных избирательных бюллетеней	518	6	3	5	13	2	4	2	8	1	6	4	5	10	6	10	7	1	8	5	12	27	9	6	11	6	6	8	4	20	4	5	9	3	10	9	9	2	4	5	3	9	0	4	6	12	4	10	5	3	7	13	31	4	41	12	18	6	19	2	2	6	8	0	6	9	3	0					
10	Число действительных избирательных бюллетеней	98384	1347	989	1113	1001	1272	900	843	1421	1220	1413	1039	1377	1306	1421	1275	1641	1354	1300	1612	1436	1623	1621	1339	1446	1654	1299	1690	1755	1978	1451	1517	1873	1899	1844	1292	1495	1861	1339	1864	1425	1787	1931	1492	1382	1273	1512	1661	1944	1485	1494	1615	1369	1206	2010	1608	1759	1221	1244	406	695	1408	1522	1749	1116	2440	1468	2042					
11	Число полученных открепительных  удостоверений	5911	60	50	60	50	90	60	60	90	60	90	60	90	60	90	60	90	90	90	90	90	100	100	90	90	90	70	120	100	100	90	100	110	100	100	100	100	100	90	100	100	100	100	90	100	90	90	90	100	90	100	100	90	90	100	90	100	90	100	30	1	100	90	100	70	200	90	90					
