Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Мелеузовская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002					
1	"Число избирателей, внесенных в списки"	62528	1544	2786	929	891	1750	1558	1107	1737	855	2675	2803	2947	3087	2839	1975	3054	2641	894	2713	1688	1530	1640	194	704	689	399	422	736	486	734	212	136	139	726	299	246	290	228	144	1644	1267	347	358	463	293	940	574	740	587	561	545	444	165	808	261	241	254	191	877	242	299					
2	"Число бюллетеней, полученных участковыми комиссиями"	53919	1450	2600	800	750	1300	1200	1200	1300	700	2244	2150	2200	2500	2000	1500	2250	2050	1000	2400	1400	1200	1465	190	600	650	400	400	720	460	730	210	150	150	700	280	250	290	240	160	1500	1050	350	370	450	280	850	550	740	760	550	510	450	170	780	250	250	260	200	810	250	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44766	1124	1886	693	670	1099	1118	1055	1239	616	1856	1965	2008	2141	1949	1209	2051	1858	867	1805	1253	1081	1129	150	483	522	275	357	514	321	503	143	98	119	566	209	198	251	181	126	1148	904	271	280	373	214	713	378	517	511	417	422	380	129	591	211	192	213	161	614	193	246					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2447	27	96	63	18	58	52	52	15	34	30	78	54	34	19	94	44	33	27	39	21	54	14	17	49	27	70	13	80	88	24	27	3	7	38	35	22	13	11	2	56	63	13	23	65	49	24	66	69	76	67	80	32	13	136	12	15	16	13	40	11	26					
6	Число погашенных бюллетеней	6705	299	618	44	61	143	30	93	46	50	358	107	138	325	32	197	155	159	106	556	126	65	322	23	68	101	55	30	126	51	203	40	49	24	96	36	30	26	48	32	296	83	66	67	12	17	113	106	154	173	66	8	38	28	53	27	43	31	26	156	46	28					
7	Число бюллетеней в переносных ящиках для голосования	2447	27	96	63	18	58	52	52	15	34	30	78	54	34	19	94	44	33	27	39	21	54	14	17	49	27	70	13	80	88	24	27	3	7	38	35	22	13	11	2	56	63	13	23	65	49	24	66	69	76	67	80	32	13	136	12	15	16	13	40	11	26					
8	Число бюллетеней в стационарных ящиках для голосования	44654	1124	1882	693	670	1099	1118	1055	1237	616	1856	1962	2008	2079	1947	1209	2051	1858	867	1805	1253	1081	1128	150	481	522	275	356	514	321	501	143	98	119	566	209	198	251	181	126	1148	904	269	280	373	214	713	378	517	511	417	422	380	129	591	211	192	212	161	584	193	246					
9	Число недействительных бюллетеней	1215	21	54	6	18	11	38	32	13	18	35	43	57	66	28	89	38	30	7	0	28	9	36	5	23	22	9	7	38	12	16	8	3	8	22	13	7	39	14	11	21	36	10	3	5	10	28	14	0	26	9	5	2	5	12	2	7	33	11	25	2	15					
10	Число действительных бюллетеней	45886	1130	1924	750	670	1146	1132	1075	1239	632	1851	1997	2005	2047	1938	1214	2057	1861	887	1844	1246	1126	1106	162	507	527	336	362	556	397	509	162	98	118	582	231	213	225	178	117	1183	931	272	300	433	253	709	430	586	561	475	497	410	137	715	221	200	195	163	599	202	257					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1020	36	40	20	35	36	30	22	42	10	37	50	49	46	27	30	52	39	22	40	54	16	20	5	5	4	3	5	1	7	7	5	0	5	10	5	5	5	10	5	20	10	5	5	5	5	10	15	15	5	5	5	5	5	10	4	5	5	0	26	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	883	35	40	15	30	32	30	22	42	10	37	49	49	46	26	28	52	37	22	40	49	13	20	5	5	4	3	2	1	7	5	0	0	5	2	0	0	5	2	0	7	10	3	5	2	1	10	3	3	5	2	1	5	5	10	4	1	3	0	26	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	827	8	13	11	6	30	28	115	19	16	10	15	13	15	11	11	17	15	11	28	23	125	14	9	4	8	5	5	7	11	8	7	2	6	6	9	10	18	3	7	16	5	8	2	8	0	34	7	4	6	8	7	3	2	4	3	2	3	6	7	6	7					
14	Число погашенных открепительных удостоверений	137	1	0	5	5	4	0	0	0	0	0	1	0	0	1	2	0	2	0	0	5	3	0	0	0	0	0	3	0	0	2	5	0	0	8	5	5	0	8	5	13	0	2	0	3	4	0	12	12	0	3	4	0	0	0	0	4	2	0	0	7	1					
15	Число открепительных удостоверений выданных ТИК	13	0	0	1	0	1	2	0	0	0	2	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
18	"1. ""ЕДИНЕНИЕ"""	1072	26	31	14	12	20	3	11	18	21	39	28	30	47	42	21	29	31	14	24	31	18	35	4	28	21	12	20	26	11	9	6	5	4	11	21	8	10	13	10	30	33	11	13	6	5	17	9	16	48	7	8	8	2	26	11	11	12	3	13	5	14					
