Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Зеленодольская городская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	77036	395	894	2231	1629	2783	2887	1687	1437	2834	1560	1715	1498	2826	1784	1661	2868	1935	2808	2898	2207	1753	1455	1606	1395	1960	1915	2105	1842	1734	1496	1601	2920	2957	1911	2808	2819	2892	1330									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76960	400	890	2250	1620	2800	2900	1680	1430	2850	1550	1700	1470	2850	1760	1620	2850	1910	2800	2900	2200	1750	1450	1610	1400	1960	1910	2120	1830	1720	1500	1610	2920	2960	1910	2820	2830	2910	1320									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	66240	0	786	1949	1415	2359	2480	1439	1244	2465	1328	1578	1276	2450	1527	1441	2475	1674	2378	2547	1964	1618	1223	1383	1218	1629	1626	1817	1558	1500	1288	1321	2541	2537	1673	2439	2446	2504	1144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1039	395	9	10	9	38	61	12	8	12	35	17	12	20	7	20	20	11	16	34	26	12	14	14	24	41	22	14	26	9	4	1	29	10	9	6	7	12	13									
6	Число погашенных избирательных бюллетеней	9681	5	95	291	196	403	359	229	178	373	187	105	182	380	226	159	355	225	406	319	210	120	213	213	158	290	262	289	246	211	208	288	350	413	228	375	377	394	163									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1039	395	9	10	9	38	61	12	8	12	35	17	12	20	7	20	20	11	16	34	26	12	14	14	24	41	22	14	26	9	4	1	29	10	9	6	7	12	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	66227	0	786	1949	1415	2359	2480	1439	1244	2453	1328	1578	1276	2450	1527	1441	2475	1674	2378	2547	1964	1618	1223	1383	1218	1629	1626	1817	1558	1500	1288	1321	2540	2537	1673	2439	2446	2504	1144									
9	Число недействительных избирательных бюллетеней	216	0	0	2	15	2	5	1	0	0	0	0	2	12	0	10	11	28	6	1	0	3	0	0	0	0	0	0	0	8	18	21	20	12	0	15	11	9	4									
10	Число действительных избирательных бюллетеней	67050	395	795	1957	1409	2395	2536	1450	1252	2465	1363	1595	1286	2458	1534	1451	2484	1657	2388	2580	1990	1627	1237	1397	1242	1670	1648	1831	1584	1501	1274	1301	2549	2535	1682	2430	2442	2507	1153									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1441	0	20	40	35	50	50	40	30	45	35	40	35	45	38	38	50	45	45	45	42	35	35	40	36	40	40	45	35	40	30	35	45	46	35	38	38	40	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	572	0	4	29	17	21	30	9	5	28	12	10	11	17	13	8	18	11	16	26	18	7	10	14	16	20	5	28	13	9	12	12	16	21	19	26	18	16	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	203	0	1	3	10	9	10	4	4	7	6	2	0	4	12	8	22	4	3	11	7	2	2	0	6	2	9	3	5	7	2	3	5	9	2	6	0	8	5									
14	Число погашенных неиспользованных открепительных удостоверений	869	0	16	11	18	29	20	31	25	17	23	30	24	28	25	30	32	34	29	19	24	28	25	26	20	20	35	17	22	31	18	23	29	25	16	12	20	24	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	0	1	1	1	4	1	1	0	2	0	2	3	4	2	0	1	2	3	1	1	0	1	0	1	1	1	3	1	2	1	0	1	1	3	4	4	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
