Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Воскресенская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8909	353	495	190	1710	340	324	277	729	344	329	181	265	355	274	142	107	969	1525									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9000	343	578	181	1794	324	312	256	679	320	308	162	252	331	250	135	97	1060	1618									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4325	183	220	110	798	148	149	171	312	189	154	99	156	172	145	75	72	411	761									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	832	17	45	17	46	18	18	12	54	55	44	27	46	88	19	26	8	133	159									
6	Число погашенных избирательных бюллетеней	3843	143	313	54	950	158	145	73	313	76	110	36	50	71	86	34	17	516	698									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	832	17	45	17	46	18	18	12	54	55	44	27	46	88	19	26	8	133	159									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4325	183	220	110	798	148	149	171	312	189	154	99	156	172	145	75	72	411	761									
9	Число недействительных избирательных бюллетеней	101	3	4	4	21	2	3	4	6	0	0	2	0	6	1	2	4	15	24									
10	Число действительных избирательных бюллетеней	5056	197	261	123	823	164	164	179	360	244	198	124	202	254	163	99	76	529	896									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	262	20	12	10	15	15	12	10	15	15	15	15	20	17	10	8	8	20	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	166	20	12	10	15	15	11	0	8	1	4	0	20	1	3	1	0	20	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	4	9	3	18	13	1	2	7	3	2	2	2	0	2	1	2	5	8									
14	Число погашенных неиспользованных открепительных удостоверений	96	0	0	0	0	0	1	10	7	14	11	15	0	16	7	7	8	0	0									
