Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Угличская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38095	1258	1264	1201	1238	1217	1389	1534	1474	360	1465	1435	1637	1395	939	1337	1185	1525	1510	1391	1206	1191	182	290	487	223	615	701	116	276	421	464	390	515	290	316	552	830	244	852	557	448	202	415	142	167	602	560	87									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29650	1000	1000	1000	1000	1000	1000	1100	1100	300	1100	1000	1200	1000	700	1000	1000	1100	1100	1000	1000	1000	150	200	500	200	500	600	100	200	300	400	300	400	300	300	400	600	200	600	400	400	200	300	150	150	500	400	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12900	454	480	441	454	465	561	501	494	146	560	510	567	545	249	397	461	399	492	501	380	426	67	65	113	102	164	211	72	104	122	139	105	186	83	68	99	338	80	236	136	160	70	105	39	57	250	201	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2129	18	10	23	18	14	12	13	9	1	7	18	13	21	14	204	12	18	21	21	15	15	25	91	160	38	116	120	9	14	99	109	115	59	25	88	86	16	47	47	65	71	24	48	18	19	50	37	36									
6	Число погашенных избирательных бюллетеней	14621	528	510	536	528	521	427	586	597	153	533	472	620	434	437	399	527	683	587	478	605	559	58	44	227	60	220	269	19	82	79	152	80	155	192	144	215	246	73	317	199	169	106	147	93	74	200	162	119									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2129	18	10	23	18	14	12	13	9	1	7	18	13	21	14	204	12	18	21	21	15	15	25	91	160	38	116	120	9	14	99	109	115	59	25	88	86	16	47	47	65	71	24	48	18	19	50	37	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12883	454	480	441	454	465	561	501	494	146	560	510	567	545	249	397	461	399	492	501	380	426	67	65	113	102	164	211	72	104	122	139	105	186	83	68	99	322	80	235	136	160	70	105	39	57	250	201	45									
9	Число недействительных избирательных бюллетеней	263	12	5	9	5	9	8	10	13	3	4	11	13	12	6	15	11	6	10	4	9	11	0	0	5	1	7	3	7	3	2	2	5	3	0	2	4	4	0	6	0	5	2	4	0	1	8	2	1									
10	Число действительных избирательных бюллетеней	14749	460	485	455	467	470	565	504	490	144	563	517	567	554	257	586	462	411	503	518	386	430	92	156	268	139	273	328	74	115	219	246	215	242	108	154	181	334	127	276	201	226	92	149	57	75	292	236	80									
