Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Домодедовская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387					
1	"Число избирателей, внесенных в список"	101227	2299	2380	2603	2586	1770	1462	1901	2492	2389	2862	2688	2791	1763	2403	2463	2553	2303	2710	2779	1240	940	892	1266	1460	1037	614	2365	2637	2365	2297	1800	1261	1267	1535	292	182	2160	146	2572	1217	1519	435	1353	2763	321	908	1880	2844	756	1659	1965	906	1262	1210	1557	573	2579	1592	403					
2	Число полученных избирательных бюллетеней	93120	2100	2200	2400	2300	1600	1300	1700	2300	2200	2600	2500	2600	1600	2200	2200	2400	2100	2500	2500	1200	900	800	1100	1300	1000	500	2300	2600	2300	2300	1800	1100	1100	1400	250	150	1900	120	2300	1100	1400	400	1200	2600	300	900	1700	2600	700	1500	1800	900	1200	1100	1300	500	2400	1400	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	53141	1077	1038	1333	1309	864	663	1118	1062	1236	1397	1344	1426	883	1274	1187	1339	1291	1452	1498	646	506	613	760	790	538	306	1259	1471	1287	1190	990	532	537	836	97	84	1166	59	1286	629	838	160	750	1330	65	484	1118	1542	325	806	993	663	715	602	885	340	2007	972	173					
5	"Число избирательных бюллетеней, выданных вне помещения"	3763	33	47	37	61	41	29	43	105	47	73	32	24	13	29	196	100	58	48	14	130	34	7	36	38	41	68	30	18	36	30	37	99	125	67	114	38	146	51	155	65	80	115	17	232	141	75	52	44	105	65	39	34	59	75	14	13	0	0	208					
6	Число погашенных избирательных бюллетеней	36214	990	1115	1030	930	693	608	539	1133	917	1130	1124	1150	704	897	817	961	751	1000	988	424	360	180	304	472	421	126	1011	1111	977	1080	773	469	438	497	39	28	588	10	859	406	482	125	433	1038	94	341	530	1014	270	629	768	203	426	423	401	147	393	428	19					
7	Число избирательных бюллетеней в переносных ящиках	3762	33	47	37	61	41	29	43	105	47	73	32	24	13	29	196	100	57	48	14	130	34	7	36	38	41	68	30	18	36	30	37	99	125	67	114	38	146	51	155	65	80	115	17	232	141	75	52	44	105	65	39	34	59	75	14	13	0	0	208					
8	Число бюллетеней в стационарных ящиках для голосования	53115	1077	1038	1333	1308	864	661	1118	1058	1236	1395	1341	1426	881	1271	1187	1339	1291	1452	1498	646	506	613	760	790	538	306	1259	1471	1286	1190	989	532	537	836	97	84	1166	59	1285	629	838	160	750	1330	65	484	1117	1542	325	806	993	663	715	602	880	340	2007	972	173					
9	Число недействительных избирательных бюллетеней	554	7	15	13	18	12	15	3	12	9	5	11	12	6	9	10	15	16	11	12	4	7	7	11	13	7	6	10	11	4	15	10	3	5	14	1	0	10	0	21	6	13	1	4	8	0	20	28	18	4	6	15	22	13	4	9	0	7	2	4					
10	Число действительных избирательных бюллетеней	56323	1103	1070	1357	1351	893	675	1158	1151	1274	1463	1362	1438	888	1291	1373	1424	1332	1489	1500	772	533	613	785	815	572	368	1279	1478	1318	1205	1016	628	657	889	210	122	1302	110	1419	688	905	274	763	1554	206	539	1141	1568	426	865	1017	675	761	673	885	353	2000	970	377					
11	Число полученных открепительных  удостоверений	2800	70	70	50	50	40	40	50	50	50	70	70	70	40	70	50	50	50	70	70	40	40	40	50	40	40	40	70	70	70	70	50	40	40	50	30	30	50	30	40	40	40	30	40	50	30	30	40	50	30	50	50	30	30	40	40	40	90	40	0					
12	Число выданных открепительных удостоверений	945	20	14	17	16	10	15	27	12	21	16	22	23	15	16	26	29	17	22	28	10	7	11	23	16	3	4	17	22	28	14	19	5	9	30	3	4	22	1	16	4	8	2	28	28	1	9	34	19	5	4	9	11	13	5	14	11	73	37	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1143	7	11	5	16	3	7	18	3	22	21	6	22	15	16	23	30	21	12	10	34	5	7	5	18	13	26	57	39	35	5	10	35	18	18	12	17	140	7	15	12	8	8	9	33	4	12	30	42	19	9	14	27	17	18	23	2	8	7	57					
14	Число неиспользованных открепительных удостоверений	1855	50	56	33	34	30	25	23	38	29	54	48	47	25	54	24	21	33	48	42	30	33	29	27	24	37	36	53	48	42	56	31	35	31	20	27	26	28	29	24	36	32	28	12	22	29	21	6	31	25	46	41	19	17	35	26	29	17	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	3248	59	37	84	74	75	58	62	46	75	90	89	92	57	72	100	98	107	107	92	44	35	46	54	68	20	20	92	99	90	76	71	31	42	35	1	4	73	1	61	25	28	15	39	99	1	26	48	91	27	44	64	29	71	52	54	12	33	35	18					
		5.71%	5.32%	3.41%	6.13%	5.41%	8.29%	8.41%	5.34%	3.96%	5.85%	6.13%	6.48%	6.34%	6.38%	5.54%	7.23%	6.81%	7.94%	7.13%	6.08%	5.67%	6.48%	7.42%	6.78%	8.21%	3.45%	5.35%	7.14%	6.65%	6.81%	6.23%	6.92%	4.91%	6.34%	3.88%	0.47%	3.28%	5.56%	0.91%	4.24%	3.60%	3.05%	5.45%	5.08%	6.34%	0.49%	4.65%	4.11%	5.74%	6.28%	5.05%	6.20%	4.16%	9.17%	7.68%	6.04%	3.40%	1.64%	3.60%	4.72%					
