Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Алексеевская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164					
1	"Число избирателей, внесенных в списки избирателей"	10474	1187	974	1042	810	257	298	217	157	175	677	255	105	133	381	353	551	312	97	312	202	227	401	236	412	486	217					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10500	1184	973	1051	814	249	308	206	154	173	678	257	104	130	392	356	543	315	96	318	202	233	407	235	422	484	216					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6255	687	525	578	473	133	219	134	93	161	416	186	66	106	207	191	307	163	61	165	95	138	248	164	281	329	129					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	714	44	63	58	36	24	9	8	19	0	40	14	6	0	52	27	60	25	1	50	12	28	35	16	22	25	40					
6	Число погашенных избирательных бюллетеней	3531	453	385	415	305	92	80	64	42	12	222	57	32	24	133	138	176	127	34	103	95	67	124	55	119	130	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	714	44	63	58	36	24	9	8	19	0	40	14	6	0	52	27	60	25	1	50	12	28	35	16	22	25	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6255	687	525	578	473	133	219	134	93	161	416	186	66	106	207	191	307	163	61	165	95	138	248	164	281	329	129					
9	Число недействительных избирательных бюллетеней	79	16	10	6	3	2	2	6	0	0	10	0	1	0	2	1	1	1	3	3	1	5	2	2	1	1	0					
10	Число действительных избирательных бюллетеней	6890	715	578	630	506	155	226	136	112	161	446	200	71	106	257	217	366	187	59	212	106	161	281	178	302	353	169					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	199	35	27	30	25	3	4	3	2	2	7	3	2	3	4	7	4	3	3	4	3	3	5	3	5	5	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	79	19	5	9	5	1	4	1	0	0	6	0	2	1	3	5	1	2	0	3	0	1	4	1	5	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	46	4	8	1	3	3	1	2	2	1	6	0	1	1	1	1	2	0	1	1	0	0	0	2	1	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	120	16	22	21	20	2	0	2	2	2	1	3	0	2	1	2	3	1	3	1	3	2	1	2	0	4	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	1.Политическая партия «Аграрная партия России»	165	19	11	16	17	1	2	3	0	2	7	3	0	3	7	6	15	4	1	3	3	1	7	3	13	8	10					
