Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Тоджинская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153					
1	"Число избирателей, внесенных в списки избирателей"	3674	1431	321	721	847	248	106					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3360	1257	277	714	762	243	107					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	111	0	0	24	87	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2542	982	209	556	516	173	106					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	101	32	19	14	22	14	0					
6	Число погашенных избирательных бюллетеней	606	243	49	120	137	56	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	212	32	19	38	109	14	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2542	982	209	556	516	173	106					
9	Число недействительных избирательных бюллетеней	62	13	2	30	13	4	0					
10	Число действительных избирательных бюллетеней	2692	1001	226	564	612	183	106					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	36	20	5	2	9	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	24	17	2	2	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	7	4	0	0	2	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	12	3	3	0	6	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	15	4	1	5	1	4	0					
		0.54%	0.39%	0.44%	0.84%	0.16%	2.14%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	4	2	0	2	2	1					
		0.40%	0.39%	0.88%	0.00%	0.32%	1.07%	0.94%					
20	3.Политическая партия «Демократическая партия России»	3	1	0	1	1	0	0					
		0.11%	0.10%	0.00%	0.17%	0.16%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	82	50	5	6	5	13	3					
		2.98%	4.93%	2.19%	1.01%	0.80%	6.95%	2.83%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3	1	0	1	1	0	0					
		0.11%	0.10%	0.00%	0.17%	0.16%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	0	0	0	0	1					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%					
24	7.Политическая партия «Либерально-демократическая партия России»	59	27	13	4	0	13	2					
		2.14%	2.66%	5.70%	0.67%	0.00%	6.95%	1.89%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	74	41	9	8	7	7	2					
		2.69%	4.04%	3.95%	1.35%	1.12%	3.74%	1.89%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	17	2	3	5	6	1	0					
		0.62%	0.20%	1.32%	0.84%	0.96%	0.53%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2412	864	193	532	587	139	97					
		87.58%	85.21%	84.65%	89.56%	93.92%	74.33%	91.51%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	15	7	0	2	2	4	0					
		0.54%	0.69%	0.00%	0.34%	0.32%	2.14%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
