Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Тоджинская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154					
1	"Число избирателей, внесенных в список избирателей"	3181	1300	276	655	613	235	102					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3308	1387	277	652	616	272	104					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	249	83	0	61	78	27	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2671	1059	264	576	485	189	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	103	33	11	15	24	17	3					
6	Число погашенных избирательных бюллетеней	285	212	2	0	29	39	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	352	116	11	76	102	44	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2671	1059	264	576	485	189	98					
9	Число недействительных избирательных бюллетеней	66	18	5	36	5	2	0					
10	Число действительных избирательных бюллетеней	2957	1157	270	616	582	231	101					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	40	18	4	7	7	4	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	35	17	4	7	3	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	8	1	3	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	5	1	0	0	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	228	119	42	3	37	24	3					
		7.54%	10.13%	15.27%	0.46%	6.30%	10.30%	2.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	115	55	34	4	0	22	0					
		3.80%	4.68%	12.36%	0.61%	0.00%	9.44%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	8	4	3	3	5	0					
		0.76%	0.68%	1.45%	0.46%	0.51%	2.15%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	207	94	34	13	38	28	0					
		6.85%	8.00%	12.36%	1.99%	6.47%	12.02%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	14	5	1	2	4	0					
		0.86%	1.19%	1.82%	0.15%	0.34%	1.72%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2348	866	148	589	501	147	97					
		77.67%	73.70%	53.82%	90.34%	85.35%	63.09%	96.04%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	1	3	3	1	1	1					
		0.33%	0.09%	1.09%	0.46%	0.17%	0.43%	0.99%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
