Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Каратузская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12812	1147	1727	996	2200	256	231	388	410	495	896	48	93	377	460	456	241	515	443	561	103	47	135	82	210	295									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	1160	1750	990	2270	260	240	400	410	500	900	50	90	380	470	470	240	520	440	570	110	50	130	90	210	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5707	466	653	296	957	164	128	174	198	249	339	18	76	209	220	187	146	264	298	260	38	40	78	37	85	127									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	878	47	112	49	81	22	56	36	28	23	69	2	3	15	98	14	8	35	11	62	33	5	9	16	29	15									
6	Число погашенных избирательных бюллетеней	6415	647	985	645	1232	74	56	190	184	228	492	30	11	156	152	269	86	221	131	248	39	5	43	37	96	158									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	878	47	112	49	81	22	56	36	28	23	69	2	3	15	98	14	8	35	11	62	33	5	9	16	29	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5703	466	653	296	953	164	128	174	198	249	339	18	76	209	220	187	146	264	298	260	38	40	78	37	85	127									
9	Число недействительных избирательных бюллетеней	153	11	16	7	19	5	5	10	9	10	4	0	1	2	8	7	5	3	9	13	0	0	1	0	2	6									
10	Число действительных избирательных бюллетеней	6428	502	749	338	1015	181	179	200	217	262	404	20	78	222	310	194	149	296	300	309	71	45	86	53	112	136									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	25	25	25	40	15	15	15	15	15	20	5	5	15	20	10	10	15	15	15	5	5	5	5	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	83	5	19	6	23	1	1	5	0	0	1	3	0	1	2	4	1	3	3	1	0	0	0	0	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	6	6	11	8	1	2	3	2	3	2	2	3	2	2	0	1	0	2	2	0	0	1	0	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	277	20	6	19	17	14	14	10	15	15	19	2	5	14	18	6	9	12	12	14	5	5	5	5	10	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	1	1	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	87	4	16	6	14	2	1	3	0	1	13	1	2	2	0	2	3	2	7	5	0	0	0	0	3	0									
		1.32%	0.78%	2.09%	1.74%	1.35%	1.08%	0.54%	1.43%	0.00%	0.37%	3.19%	5.00%	2.53%	0.89%	0.00%	0.99%	1.95%	0.67%	2.27%	1.55%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	196	14	28	11	47	5	3	4	8	8	13	2	0	6	13	4	6	8	5	5	1	0	2	0	0	3									
		2.98%	2.73%	3.66%	3.19%	4.55%	2.69%	1.63%	1.90%	3.54%	2.94%	3.19%	10.00%	0.00%	2.68%	4.09%	1.99%	3.90%	2.68%	1.62%	1.55%	1.41%	0.00%	2.30%	0.00%	0.00%	2.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	145	13	20	16	28	13	0	3	5	2	15	0	0	3	5	1	0	5	1	4	0	0	3	2	2	4									
		2.20%	2.53%	2.61%	4.64%	2.71%	6.99%	0.00%	1.43%	2.21%	0.74%	3.68%	0.00%	0.00%	1.34%	1.57%	0.50%	0.00%	1.67%	0.32%	1.24%	0.00%	0.00%	3.45%	3.77%	1.75%	2.82%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3347	217	292	132	418	86	93	121	140	141	197	11	46	132	196	139	82	192	235	177	42	34	47	35	69	73									
		50.86%	42.30%	38.17%	38.26%	40.43%	46.24%	50.54%	57.62%	61.95%	51.84%	48.28%	55.00%	58.23%	58.93%	61.64%	69.15%	53.25%	64.21%	76.05%	54.97%	59.15%	75.56%	54.02%	66.04%	60.53%	51.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	23	2	4	3	5	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	3	0	0	1									
		0.35%	0.39%	0.52%	0.87%	0.48%	0.00%	0.00%	0.00%	0.44%	0.00%	0.49%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	3.45%	0.00%	0.00%	0.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	0	9	0	3	0	1	0	0	1	1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	1									
		0.32%	0.00%	1.18%	0.00%	0.29%	0.00%	0.54%	0.00%	0.00%	0.37%	0.25%	0.00%	0.00%	0.45%	0.63%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1478	152	210	110	288	18	35	39	26	51	94	5	14	53	49	25	39	49	39	66	22	6	18	11	29	30									
		22.46%	29.63%	27.45%	31.88%	27.85%	9.68%	19.02%	18.57%	11.50%	18.75%	23.04%	25.00%	17.72%	23.66%	15.41%	12.44%	25.32%	16.39%	12.62%	20.50%	30.99%	13.33%	20.69%	20.75%	25.44%	21.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	5	9	2	1	0	0	0	0	3	1	1	0	0	1	0	0	0	0	2	0	0	1	0	0	2									
		0.43%	0.97%	1.18%	0.58%	0.10%	0.00%	0.00%	0.00%	0.00%	1.10%	0.25%	5.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	1.15%	0.00%	0.00%	1.41%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	0	6	1	7	1	0	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0									
		0.35%	0.00%	0.78%	0.29%	0.68%	0.54%	0.00%	0.48%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.99%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	1.89%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.10%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	3	7	2	7	0	1	0	2	1	2	0	0	0	5	2	0	0	1	1	0	0	1	0	0	0									
		0.53%	0.58%	0.92%	0.58%	0.68%	0.00%	0.54%	0.00%	0.88%	0.37%	0.49%	0.00%	0.00%	0.00%	1.57%	0.99%	0.00%	0.00%	0.32%	0.31%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	906	78	125	50	160	53	43	26	33	48	52	0	15	19	36	16	11	38	9	46	6	5	7	3	8	19									
		13.77%	15.20%	16.34%	14.49%	15.47%	28.49%	23.37%	12.38%	14.60%	17.65%	12.75%	0.00%	18.99%	8.48%	11.32%	7.96%	7.14%	12.71%	2.91%	14.29%	8.45%	11.11%	8.05%	5.66%	7.02%	13.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	7	0	1	6	0	1	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0									
		0.32%	1.36%	0.00%	0.29%	0.58%	0.00%	0.54%	0.00%	0.00%	0.37%	0.49%	0.00%	0.00%	0.45%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	115	7	23	4	30	3	0	3	2	5	10	0	1	4	2	3	5	1	3	2	0	0	2	1	1	3									
		1.75%	1.36%	3.01%	1.16%	2.90%	1.61%	0.00%	1.43%	0.88%	1.84%	2.45%	0.00%	1.27%	1.79%	0.63%	1.49%	3.25%	0.33%	0.97%	0.62%	0.00%	0.00%	2.30%	1.89%	0.88%	2.11%									
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
