Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
"Наименование Избирательной комиссии:    Барнаул, Октябрьская"																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206					
1	"Число избирателей, внесенных в списки избирателей"	81533	252	2738	2707	1953	1969	2144	2505	2124	2845	2235	2426	2330	2271	1306	2530	2361	2346	2463	2994	2617	2392	2213	2335	3028	2965	2824	2345	2721	2115	1955	2344	2328	2667	2267	625	486	443	200	164					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	70710	250	2458	2285	1541	1735	1925	2033	1898	2550	1995	2120	2085	1921	1135	2237	2122	2056	2173	2568	2300	1688	1940	2075	2642	2660	2364	2087	1957	1896	1713	2069	2027	2363	1997	548	450	410	260	177					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47276	245	1660	1577	1237	845	1297	1390	1288	1580	1312	1465	1415	1336	917	1455	1587	1368	1533	1624	1491	1529	1309	1314	1746	1851	1352	1299	1698	1178	993	1324	1116	1357	1154	260	446	410	200	118					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2602	0	43	66	52	102	52	64	57	41	101	74	48	184	55	73	79	86	71	72	68	41	49	45	99	64	173	102	159	93	34	121	82	45	40	22	0	0	0	45					
6	Число погашенных избирательных бюллетеней	20832	5	755	642	252	788	576	579	553	929	582	581	622	401	163	709	456	602	569	872	741	118	582	716	797	745	839	686	100	625	686	624	829	961	803	266	4	0	60	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2602	0	43	66	52	102	52	64	57	41	101	74	48	184	55	73	79	86	71	72	68	41	49	45	99	64	173	102	159	93	34	121	82	45	40	22	0	0	0	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47235	245	1660	1573	1237	845	1295	1388	1288	1580	1312	1464	1413	1336	917	1449	1584	1368	1533	1618	1486	1527	1309	1314	1745	1851	1352	1299	1693	1178	993	1322	1116	1357	1154	260	446	410	200	118					
9	Число недействительных избирательных бюллетеней	473	4	18	18	16	10	11	13	21	22	9	17	9	13	12	25	12	19	7	15	17	7	7	8	19	20	17	14	17	14	7	14	10	7	16	0	2	4	2	0					
10	Число действительных избирательных бюллетеней	49364	241	1685	1621	1273	937	1336	1439	1324	1599	1404	1521	1452	1507	960	1497	1651	1435	1597	1675	1537	1561	1351	1351	1825	1895	1508	1387	1835	1257	1020	1429	1188	1395	1178	282	444	406	198	163					
