Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Богучанская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009					
1	"Число избирателей, внесенных в список"	33155	61	412	1623	689	72	41	195	420	1422	1529	155	1583	1126	1106	1252	1095	1373	1032	756	1262	1137	364	2031	2023	229	582	2404	99	2093	1320	635	1491	516	1004	23					
2	Число полученных избирательных бюллетеней	33176	70	400	1619	691	75	43	198	413	1420	1527	160	1619	1130	1100	1250	1015	1285	1000	782	1276	1142	372	1998	2016	229	646	2432	101	2193	1330	629	1483	507	1000	25					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15368	61	255	695	333	72	32	122	243	656	729	52	635	495	455	560	444	549	467	430	594	534	175	879	801	117	369	1252	74	949	569	337	643	291	485	14					
5	"Число избирательных бюллетеней, выданных вне помещения"	1216	0	5	145	19	0	3	2	17	98	68	38	39	22	15	15	105	8	35	1	49	46	42	81	72	0	0	36	11	30	69	44	45	21	35	0					
6	Число погашенных избирательных бюллетеней	16592	9	140	779	339	3	8	74	153	666	730	70	945	613	630	675	466	728	498	351	633	562	155	1038	1143	112	277	1144	16	1214	692	248	795	195	480	11					
7	Число избирательных бюллетеней в переносных ящиках	1216	0	5	145	19	0	3	2	17	98	68	38	39	22	15	15	105	8	35	1	49	46	42	81	72	0	0	36	11	30	69	44	45	21	35	0					
8	Число бюллетеней в стационарных ящиках для голосования	15367	61	255	695	333	72	32	122	243	656	729	52	635	495	455	560	444	548	467	430	594	534	175	879	801	117	369	1252	74	949	569	337	643	291	485	14					
9	Число недействительных избирательных бюллетеней	82	0	3	0	2	1	2	0	4	8	4	0	0	5	6	1	1	1	0	1	5	3	0	4	3	0	2	3	0	7	8	1	1	4	2	0					
10	Число действительных избирательных бюллетеней	16501	61	257	840	350	71	33	124	256	746	793	90	674	512	464	574	548	555	502	430	638	577	217	956	870	117	367	1285	85	972	630	380	687	308	518	14					
11	Число полученных открепительных  удостоверений	315	4	8	15	10	3	3	5	5	10	10	5	20	10	10	10	10	10	10	10	10	10	5	10	10	5	10	20	3	20	10	7	10	7	10	0					
12	Число выданных открепительных удостоверений	88	0	0	5	1	0	0	0	0	0	6	0	10	5	4	7	3	3	2	0	1	2	1	6	7	2	1	8	0	2	1	1	5	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	0	1	1	1	0	0	1	0	2	4	1	2	0	1	2	2	1	3	1	0	2	0	4	5	0	3	3	0	3	4	1	1	1	1	0					
14	Число неиспользованных открепительных удостоверений	227	4	8	10	9	3	3	5	5	10	4	5	10	5	6	3	7	7	8	10	9	8	4	4	3	3	9	12	3	18	9	6	5	5	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
