Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Ирбейская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329					
1	"Число избирателей, внесенных в списки избирателей"	12231	447	292	34	186	38	447	110	297	428	211	549	120	2337	925	261	183	166	322	148	22	139	46	126	624	415	65	58	92	491	118	150	513	174	204	65	32	290	94	595	177	121	119					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11725	434	295	34	190	42	457	109	287	439	211	543	118	2000	865	257	178	165	324	152	22	143	47	124	613	395	59	55	89	480	118	149	517	169	195	65	31	287	92	577	170	117	111					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6942	242	145	21	103	20	241	69	180	202	127	274	76	1211	501	154	134	108	184	78	17	86	38	63	304	220	46	43	60	284	99	83	325	134	125	54	27	201	76	320	100	88	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	499	27	22	0	12	1	21	6	19	3	15	9	5	57	44	10	0	2	31	5	0	7	0	18	14	48	5	1	7	21	3	12	31	4	11	4	0	5	0	15	1	0	3					
6	Число погашенных избирательных бюллетеней	4284	165	128	13	75	21	195	34	88	234	69	260	37	732	320	93	44	55	109	69	5	50	9	43	295	127	8	11	22	175	16	54	161	31	59	7	4	81	16	242	69	29	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	499	27	22	0	12	1	21	6	19	3	15	9	5	57	44	10	0	2	31	5	0	7	0	18	14	48	5	1	7	21	3	12	31	4	11	4	0	5	0	15	1	0	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6942	242	145	21	103	20	241	69	180	202	127	274	76	1211	501	154	134	108	184	78	17	86	38	63	304	220	46	43	60	284	99	83	325	134	125	54	27	201	76	320	100	88	79					
9	Число недействительных избирательных бюллетеней	70	4	3	0	0	0	4	1	3	1	0	0	0	11	5	3	2	2	3	1	0	1	0	0	8	6	0	0	2	0	0	0	2	0	1	0	0	2	0	4	0	0	1					
10	Число действительных избирательных бюллетеней	7371	265	164	21	115	21	258	74	196	204	142	283	81	1257	540	161	132	108	212	82	17	92	38	81	310	262	51	44	65	305	102	95	354	138	135	58	27	204	76	331	101	88	81					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	198	5	5	2	2	4	20	3	3	5	3	5	2	30	10	3	5	3	3	10	2	2	2	2	5	12	2	2	2	5	2	2	5	3	3	2	2	3	3	5	5	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	93	1	5	0	0	3	17	0	2	0	0	3	1	28	8	0	0	1	2	2	0	0	1	0	3	7	1	0	0	0	0	1	3	0	1	0	0	0	0	2	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	69	0	2	0	1	0	2	2	3	1	0	0	0	7	6	3	1	0	3	2	0	2	0	1	0	0	4	3	0	2	1	1	1	1	1	1	1	3	3	5	2	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	105	4	0	2	2	1	3	3	1	5	3	2	1	2	2	3	5	2	1	8	2	2	1	2	2	5	1	2	2	5	2	1	2	3	2	2	2	3	3	3	4	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	1.Политическая партия «Аграрная партия России»	239	5	6	0	0	2	12	3	4	14	7	5	3	23	18	9	6	7	12	3	0	13	1	3	3	7	0	3	4	8	1	7	12	5	2	1	0	7	2	16	3	0	2					
		3.21%	1.86%	3.59%	0.00%	0.00%	9.52%	4.58%	4.00%	2.01%	6.83%	4.93%	1.77%	3.70%	1.81%	3.30%	5.49%	4.48%	6.36%	5.58%	3.61%	0.00%	13.98%	2.63%	3.70%	0.94%	2.61%	0.00%	6.82%	5.97%	2.62%	0.98%	7.37%	3.37%	3.62%	1.47%	1.72%	0.00%	3.40%	2.63%	4.78%	2.97%	0.00%	2.44%					
