Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Черноярская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406					
1	"Число избирателей, внесенных в списки избирателей"	14771	1380	1536	2306	987	1246	949	841	840	491	303	739	755	1280	1118					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15293	1499	1574	2289	1009	1278	992	874	868	501	325	802	788	1306	1188					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8414	792	731	1240	546	763	557	429	491	321	197	420	488	727	712					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	970	95	94	110	65	48	54	86	63	27	26	48	79	125	50					
6	Число погашенных избирательных бюллетеней	5909	612	749	939	398	467	381	359	314	153	102	334	221	454	426					
7	Число избирательных бюллетеней в переносных ящиках для голосования	970	95	94	110	65	48	54	86	63	27	26	48	79	125	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8413	791	731	1240	546	763	557	429	491	321	197	420	488	727	712					
9	Число недействительных избирательных бюллетеней	81	6	4	9	5	11	6	5	3	6	2	1	9	2	12					
10	Число действительных избирательных бюллетеней	9302	880	821	1341	606	800	605	510	551	342	221	467	558	850	750					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	161	20	16	11	8	8	10	11	10	5	9	14	4	18	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	160	20	16	10	8	8	10	11	10	5	9	14	4	18	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	78	8	4	15	3	8	2	4	4	8	5	3	4	4	6					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	2	3	14	5	7	1	3	1	1	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	343	49	24	49	13	20	15	20	11	20	4	16	30	40	32					
		3.66%	5.53%	2.91%	3.63%	2.13%	2.47%	2.45%	3.88%	1.99%	5.75%	1.79%	3.42%	5.29%	4.69%	4.20%					
19	2.Всероссийская политическая партия «Гражданская Сила»	42	7	4	12	3	6	1	0	3	1	2	0	0	1	2					
