Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Хайбуллинская																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3366	УИК №3367	УИК №3368	УИК №3369	УИК №3370	УИК №3371	УИК №3372	УИК №3373	УИК №3374	УИК №3375	УИК №3376	УИК №3377	УИК №3378	УИК №3379	УИК №3380	УИК №3381	УИК №3382	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413					
1	"Число избирателей, внесенных в список"	22340	328	228	133	106	104	87	127	327	155	335	442	59	381	334	90	115	660	104	444	206	229	798	520	250	425	1033	896	691	1189	399	347	212	838	197	146	239	233	138	156	765	190	175	713	309	112	1041	1167	1018	634	260	167	151	205	411	629	326	136	230					
2	Число полученных избирательных бюллетеней	21961	335	231	134	108	106	88	129	338	157	335	437	59	381	334	92	115	655	104	444	211	229	805	520	250	426	1003	856	661	1100	399	347	214	830	199	144	239	235	138	161	765	193	175	695	309	114	970	1093	970	634	260	166	151	205	406	614	324	138	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21471	321	225	133	106	104	87	127	327	155	328	425	59	381	334	87	113	643	103	444	201	229	767	518	247	425	942	840	652	1077	394	347	212	813	192	143	237	230	138	156	711	190	174	687	309	112	946	1065	915	634	260	166	151	205	391	603	324	136	230					
5	"Число избирательных бюллетеней, выданных вне помещения"	284	7	3	0	0	0	0	0	0	0	7	3	0	0	0	3	2	7	1	0	5	0	17	2	0	0	61	16	9	17	5	0	0	0	0	0	2	3	0	0	11	0	0	7	0	0	24	28	20	0	0	0	0	0	14	10	0	0	0					
6	Число погашенных избирательных бюллетеней	206	7	3	1	2	2	1	2	11	2	0	9	0	0	0	2	0	5	0	0	5	0	21	0	3	1	0	0	0	6	0	0	2	17	7	1	0	2	0	5	43	3	1	1	0	2	0	0	35	0	0	0	0	0	1	1	0	2	0					
7	Число избирательных бюллетеней в переносных ящиках	284	7	3	0	0	0	0	0	0	0	7	3	0	0	0	3	2	7	1	0	5	0	17	2	0	0	61	16	9	17	5	0	0	0	0	0	2	3	0	0	11	0	0	7	0	0	24	28	20	0	0	0	0	0	14	10	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	21471	321	225	133	106	104	87	127	327	155	328	425	59	381	334	87	113	643	103	444	201	229	767	518	247	425	942	840	652	1077	394	347	212	813	192	143	237	230	138	156	711	190	174	687	309	112	946	1065	915	634	260	166	151	205	391	603	324	136	230					
9	Число недействительных избирательных бюллетеней	119	0	19	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	3	19	6	3	2	5	2	0	0	0	1	3	0	7	0	1	0	0	2	0	0	1	6	2	4	6	1	0	0	0	4	5	0	1	8	0	0					
10	Число действительных избирательных бюллетеней	21636	328	209	133	106	104	85	127	327	155	335	427	59	381	334	90	115	650	101	442	206	229	781	501	241	422	1001	851	659	1094	399	347	211	810	192	136	239	232	138	156	720	190	174	693	303	110	966	1087	934	634	260	166	147	200	405	612	316	136	230					
