Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Майминская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
1	"Число избирателей, внесенных в список"	18856	1003	1138	1098	1014	800	1122	911	622	890	516	500	537	267	304	900	742	402	461	384	303	364	1107	1129	492	209	259	164	187	1031					
2	Число полученных избирательных бюллетеней	18100	970	1100	1070	1000	830	1080	880	570	860	440	470	520	270	300	880	720	410	450	370	300	350	1000	1000	470	200	250	160	180	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10177	463	546	589	523	416	645	481	330	546	261	327	302	162	171	448	417	203	262	229	197	210	453	591	281	146	187	139	136	516					
5	"Число избирательных бюллетеней, выданных вне помещения"	1442	65	119	44	32	42	14	42	79	25	86	33	41	13	29	51	45	68	66	29	26	12	239	70	40	37	23	2	15	55					
6	Число погашенных избирательных бюллетеней	6481	442	435	437	445	372	421	357	161	289	93	110	177	95	100	381	258	139	122	112	77	128	308	339	149	17	40	19	29	429					
7	Число избирательных бюллетеней в переносных ящиках	1442	65	119	44	32	42	14	42	79	25	86	33	41	13	29	51	45	68	66	29	26	12	239	70	40	37	23	2	15	55					
8	Число бюллетеней в стационарных ящиках для голосования	10176	463	546	589	523	416	644	481	330	546	261	327	302	162	171	448	417	203	262	229	197	210	453	591	281	146	187	139	136	516					
9	Число недействительных избирательных бюллетеней	68	2	2	4	1	0	1	3	3	0	0	0	0	5	2	11	2	0	2	2	1	6	7	5	3	1	1	0	0	4					
10	Число действительных избирательных бюллетеней	11550	526	663	629	554	458	657	520	406	571	347	360	343	170	198	488	460	271	326	256	222	216	685	656	318	182	209	141	151	567					
11	Число полученных открепительных  удостоверений	245	15	15	10	10	10	15	10	5	10	15	5	5	5	5	10	5	5	5	5	5	5	15	15	5	5	5	5	5	15					
12	Число выданных открепительных удостоверений	94	7	6	2	7	5	5	4	0	8	3	4	2	2	2	5	2	4	4	0	4	1	5	4	4	0	0	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	1	1	1	0	2	2	1	3	0	2	3	2	3	1	5	5	2	3	2	1	2	4	4	2	2	0	1	1	2					
14	Число неиспользованных открепительных удостоверений	151	8	9	8	3	5	10	6	5	2	12	1	3	3	3	5	3	1	1	5	1	4	10	11	1	5	5	5	4	12					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
